SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22024,1630811,0022400100,"Oct 27, 2024",ATL @ OKC,L,3,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,-4,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400103,"Oct 28, 2024",ATL vs. WAS,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400121,"Oct 30, 2024",ATL @ WAS,L,15,3,3,1.0,2,2,1.0,0,0,0.0,0,1,1,2,0,0,0,0,8,-4,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400135,"Nov 01, 2024",ATL vs. SAC,L,29,5,9,0.556,4,8,0.5,0,0,0.0,0,3,3,3,1,1,1,3,14,-2,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400152,"Nov 03, 2024",ATL @ NOP,W,22,3,7,0.429,0,1,0.0,0,0,0.0,1,1,2,1,2,0,2,2,6,-3,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400157,"Nov 04, 2024",ATL vs. BOS,L,21,2,5,0.4,0,1,0.0,2,2,1.0,0,4,4,2,4,2,2,1,6,-4,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400171,"Nov 06, 2024",ATL vs. NYK,W,13,3,7,0.429,1,3,0.333,0,0,0.0,0,0,0,0,1,0,1,1,7,-1,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400185,"Nov 08, 2024",ATL @ DET,L,7,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,2,0,2,-15,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400198,"Nov 09, 2024",ATL vs. CHI,L,19,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,2,0,1,1,2,4,-5,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400001,"Nov 12, 2024",ATL @ BOS,W,32,3,13,0.231,1,6,0.167,0,0,0.0,0,2,2,8,0,0,2,1,7,-6,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400012,"Nov 15, 2024",ATL vs. WAS,W,15,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,2,1,1,0,0,0,12,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400239,"Nov 17, 2024",ATL @ POR,L,17,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,2,1,0,1,3,0,11,1,2024-25,Regular Season,1630811,Keaton Wallace
22024,1630811,0022400378,"Dec 21, 2024",ATL vs. MEM,L,23,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,4,0,0,3,0,5,-4,1,2024-25,Regular Season,1630811,Keaton Wallace
