SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22025,1641869,0022500969,"Mar 14, 2026",BKN @ PHI,L,23,2,5,0.4,0,0,0.0,0,0,0.0,1,2,3,1,1,2,5,0,4,8,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022500985,"Mar 16, 2026",BKN vs. POR,L,18,1,6,0.167,0,2,0.0,1,1,1.0,2,2,4,4,0,0,1,2,3,7,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501000,"Mar 18, 2026",BKN vs. OKC,L,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-5,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501016,"Mar 20, 2026",BKN vs. NYK,L,19,3,4,0.75,1,1,1.0,0,0,0.0,1,1,2,4,0,0,0,0,7,3,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501033,"Mar 22, 2026",BKN @ SAC,L,29,7,9,0.778,3,4,0.75,1,1,1.0,1,1,2,4,3,0,0,2,18,-3,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501045,"Mar 23, 2026",BKN @ POR,L,24,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,3,1,1,3,1,5,-20,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501060,"Mar 25, 2026",BKN @ GSW,L,18,5,8,0.625,2,4,0.5,0,0,0.0,0,3,3,1,0,0,0,0,12,0,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501084,"Mar 29, 2026",BKN vs. SAC,W,16,3,5,0.6,1,1,1.0,0,0,0.0,2,1,3,1,1,0,1,0,7,9,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501100,"Mar 31, 2026",BKN vs. CHA,L,14,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,2,2,1,0,0,2,-9,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501122,"Apr 03, 2026",BKN vs. ATL,L,17,5,8,0.625,4,5,0.8,1,1,1.0,0,2,2,0,1,0,0,0,15,-5,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501133,"Apr 05, 2026",BKN vs. WAS,W,21,1,6,0.167,0,4,0.0,0,0,0.0,0,4,4,3,1,0,1,1,2,-13,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501150,"Apr 07, 2026",BKN vs. MIL,W,37,4,5,0.8,1,1,1.0,2,2,1.0,1,4,5,4,1,0,1,1,11,2,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501167,"Apr 09, 2026",BKN vs. IND,L,40,4,13,0.308,0,6,0.0,3,3,1.0,1,7,8,6,0,0,0,2,11,-22,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501179,"Apr 10, 2026",BKN @ MIL,L,43,7,11,0.636,5,7,0.714,0,0,0.0,2,6,8,10,0,0,0,1,19,-12,1,2025-26,Regular Season,1641869,Malachi Smith
22025,1641869,0022501192,"Apr 12, 2026",BKN @ TOR,L,36,3,9,0.333,2,6,0.333,0,0,0.0,1,4,5,6,0,0,2,3,8,-30,1,2025-26,Regular Season,1641869,Malachi Smith
