SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22017,1628401,0021700011,"Oct 18, 2017",SAS vs. MIN,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700071,"Oct 27, 2017",SAS @ ORL,L,12,0,2,0.0,0,0,0.0,1,2,0.5,1,2,3,2,0,0,0,1,1,4,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700092,"Oct 30, 2017",SAS @ BOS,L,5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,1,0,0,0,3,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700117,"Nov 02, 2017",SAS vs. GSW,L,3,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,0,0,-3,2,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700337,"Dec 03, 2017",SAS @ OKC,L,17,1,3,0.333,0,0,0.0,2,2,1.0,0,2,2,1,2,1,1,3,4,14,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700383,"Dec 09, 2017",SAS @ PHX,W,9,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,4,-1,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700435,"Dec 16, 2017",SAS vs. DAL,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700555,"Jan 03, 2018",SAS @ PHI,L,8,1,2,0.5,0,1,0.0,2,2,1.0,2,0,2,1,0,0,0,0,4,6,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700573,"Jan 05, 2018",SAS vs. PHX,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,0,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700596,"Jan 08, 2018",SAS @ SAC,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-1,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700617,"Jan 11, 2018",SAS @ LAL,L,7,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,0,4,7,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700633,"Jan 13, 2018",SAS vs. DEN,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,5,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700686,"Jan 21, 2018",SAS vs. IND,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,2,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700810,"Feb 07, 2018",SAS @ PHX,W,12,3,5,0.6,3,3,1.0,1,2,0.5,0,0,0,1,0,0,1,0,10,1,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700831,"Feb 10, 2018",SAS @ GSW,L,28,3,8,0.375,0,2,0.0,5,6,0.833,1,6,7,2,1,0,0,1,11,-7,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021700852,"Feb 13, 2018",SAS @ DEN,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-2,1,2017-18,Regular Season,1628401,Derrick White
22017,1628401,0021701001,"Mar 12, 2018",SAS @ HOU,L,19,4,8,0.5,4,5,0.8,2,2,1.0,0,4,4,1,0,1,0,0,14,4,1,2017-18,Regular Season,1628401,Derrick White
42017,1628401,0041700151,"Apr 14, 2018",SAS @ GSW,L,13,3,6,0.5,1,2,0.5,0,0,0.0,0,0,0,1,1,1,0,0,7,-1,1,2017-18,Playoffs,1628401,Derrick White
42017,1628401,0041700152,"Apr 16, 2018",SAS @ GSW,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2017-18,Playoffs,1628401,Derrick White
42017,1628401,0041700153,"Apr 19, 2018",SAS vs. GSW,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,5,1,2017-18,Playoffs,1628401,Derrick White
22018,1628401,0021800156,"Nov 07, 2018",SAS @ MIA,L,16,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,3,1,0,2,1,0,-9,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800180,"Nov 10, 2018",SAS vs. HOU,W,30,4,9,0.444,1,2,0.5,5,6,0.833,0,4,4,8,2,0,2,2,14,20,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800197,"Nov 12, 2018",SAS @ SAC,L,26,4,10,0.4,1,3,0.333,2,2,1.0,0,0,0,5,1,0,1,0,11,-15,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800211,"Nov 14, 2018",SAS @ PHX,L,29,6,12,0.5,1,5,0.2,3,4,0.75,1,3,4,3,0,0,5,0,16,-20,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800215,"Nov 15, 2018",SAS @ LAC,L,17,0,5,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,2,0,-28,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800238,"Nov 18, 2018",SAS vs. GSW,W,18,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,2,2,-8,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800246,"Nov 19, 2018",SAS @ NOP,L,13,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,3,0,0,1,1,2,7,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800262,"Nov 21, 2018",SAS vs. MEM,L,10,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,0,2,0,5,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800272,"Nov 23, 2018",SAS @ IND,W,7,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,2,1,-5,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800284,"Nov 24, 2018",SAS @ MIL,L,5,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,2,14,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800297,"Nov 26, 2018",SAS @ CHI,W,24,3,8,0.375,2,4,0.5,0,0,0.0,0,6,6,1,2,0,1,2,8,6,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800311,"Nov 28, 2018",SAS @ MIN,L,23,3,6,0.5,0,0,0.0,0,0,0.0,0,2,2,4,0,0,2,1,6,-22,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800326,"Nov 30, 2018",SAS vs. HOU,L,33,5,8,0.625,1,3,0.333,0,0,0.0,1,4,5,9,0,0,2,1,11,-10,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800342,"Dec 02, 2018",SAS vs. POR,W,33,4,7,0.571,1,1,1.0,1,2,0.5,1,4,5,6,0,0,1,5,10,21,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800354,"Dec 04, 2018",SAS @ UTA,L,21,5,11,0.455,0,1,0.0,0,0,0.0,2,3,5,2,1,0,3,3,10,-7,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800364,"Dec 05, 2018",SAS @ LAL,L,19,1,5,0.2,0,3,0.0,0,0,0.0,0,4,4,5,0,0,1,2,2,4,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800375,"Dec 07, 2018",SAS vs. LAL,W,8,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,2,-9,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800390,"Dec 09, 2018",SAS vs. UTA,W,30,3,6,0.5,0,0,0.0,0,0,0.0,0,2,2,4,3,0,2,1,6,7,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800403,"Dec 11, 2018",SAS vs. PHX,W,27,1,8,0.125,0,3,0.0,2,2,1.0,0,3,3,7,3,0,1,1,4,12,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800417,"Dec 13, 2018",SAS vs. LAC,W,25,5,9,0.556,1,2,0.5,0,0,0.0,0,4,4,2,1,0,2,0,11,20,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800433,"Dec 15, 2018",SAS vs. CHI,L,18,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,1,0,5,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800448,"Dec 17, 2018",SAS vs. PHI,W,17,4,9,0.444,0,1,0.0,0,0,0.0,0,3,3,4,0,3,2,1,8,7,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800456,"Dec 19, 2018",SAS @ ORL,W,34,4,6,0.667,1,2,0.5,0,0,0.0,0,1,1,6,0,1,3,1,9,29,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800475,"Dec 21, 2018",SAS vs. MIN,W,25,3,6,0.5,0,3,0.0,1,1,1.0,0,3,3,4,1,0,2,3,7,15,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800483,"Dec 22, 2018",SAS @ HOU,L,28,2,6,0.333,1,2,0.5,0,0,0.0,1,4,5,5,1,3,3,3,5,3,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800510,"Dec 26, 2018",SAS vs. DEN,W,28,2,7,0.286,1,3,0.333,2,2,1.0,1,0,1,4,1,2,1,3,7,3,1,2018-19,Regular Season,1628401,Derrick White
22018,1628401,0021800524,"Dec 28, 2018",SAS @ DEN,L,28,4,9,0.444,1,4,0.25,1,2,0.5,3,3,6,3,6,0,1,3,10,2,1,2018-19,Regular Season,1628401,Derrick White
