SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22019,1629622,0021900219,"Nov 22, 2019",CHI vs. MIA,L,5,2,3,0.667,0,1,0.0,1,1,1.0,1,0,1,0,0,0,0,1,5,13,1,2019-20,Regular Season,1629622,Max Strus
22019,1629622,0021900278,"Nov 29, 2019",CHI @ POR,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2019-20,Regular Season,1629622,Max Strus
22020,1629622,0022000051,"Dec 29, 2020",MIA vs. MIL,L,12,3,5,0.6,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,0,7,-7,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000157,"Jan 12, 2021",MIA @ PHI,L,24,3,7,0.429,2,6,0.333,0,0,0.0,0,1,1,1,0,0,0,1,8,1,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000174,"Jan 14, 2021",MIA @ PHI,L,28,4,8,0.5,2,6,0.333,1,3,0.333,1,6,7,1,1,0,0,3,11,-5,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000192,"Jan 16, 2021",MIA vs. DET,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-2,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000220,"Jan 20, 2021",MIA @ TOR,W,11,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,0,0,0,0,2,3,5,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000234,"Jan 22, 2021",MIA @ TOR,L,15,1,5,0.2,0,4,0.0,0,0,0.0,0,1,1,1,0,0,1,0,2,-11,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000260,"Jan 25, 2021",MIA @ BKN,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000275,"Jan 27, 2021",MIA vs. DEN,L,17,1,5,0.2,1,5,0.2,2,2,1.0,0,1,1,1,0,0,0,2,5,-22,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000285,"Jan 28, 2021",MIA vs. LAC,L,21,4,6,0.667,4,6,0.667,0,0,0.0,0,0,0,0,0,0,1,3,12,-1,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000301,"Jan 30, 2021",MIA vs. SAC,W,13,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,7,-3,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000314,"Feb 01, 2021",MIA vs. CHA,L,20,7,11,0.636,5,9,0.556,0,0,0.0,0,2,2,0,1,0,1,4,19,7,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000331,"Feb 03, 2021",MIA vs. WAS,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000347,"Feb 05, 2021",MIA vs. WAS,W,8,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,-13,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000392,"Feb 11, 2021",MIA @ HOU,W,25,6,9,0.667,5,8,0.625,4,4,1.0,0,0,0,0,0,0,0,2,21,-8,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000410,"Feb 13, 2021",MIA @ UTA,L,20,6,9,0.667,3,6,0.5,0,0,0.0,0,1,1,2,0,0,0,0,15,2,1,2020-21,Regular Season,1629622,Max Strus
22020,1629622,0022000425,"Feb 15, 2021",MIA @ LAC,L,9,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,1,3,-3,1,2020-21,Regular Season,1629622,Max Strus
