SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22020,1630241,0022001029,"May 10, 2021",MIL @ SAS,L,5,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,3,1,2020-21,Regular Season,1630241,Sam Merrill
22020,1630241,0022001062,"May 15, 2021",MIL vs. MIA,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2020-21,Regular Season,1630241,Sam Merrill
22020,1630241,0022001068,"May 16, 2021",MIL @ CHI,L,28,1,9,0.111,0,5,0.0,0,0,0.0,0,3,3,1,3,0,0,2,2,-15,1,2020-21,Regular Season,1630241,Sam Merrill
42020,1630241,0042000122,"May 24, 2021",MIL vs. MIA,W,7,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,1,3,3,1,2020-21,Playoffs,1630241,Sam Merrill
42020,1630241,0042000123,"May 27, 2021",MIL @ MIA,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-1,1,2020-21,Playoffs,1630241,Sam Merrill
42020,1630241,0042000124,"May 29, 2021",MIL @ MIA,W,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-2,1,2020-21,Playoffs,1630241,Sam Merrill
42023,1630241,0042300137,"May 05, 2024",CLE vs. ORL,W,11,2,2,1.0,2,2,1.0,2,2,1.0,0,2,2,1,0,0,0,0,8,6,1,2023-24,Playoffs,1630241,Sam Merrill
42023,1630241,0042300201,"May 07, 2024",CLE @ BOS,L,17,0,5,0.0,0,4,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-14,1,2023-24,Playoffs,1630241,Sam Merrill
42023,1630241,0042300202,"May 09, 2024",CLE @ BOS,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-3,1,2023-24,Playoffs,1630241,Sam Merrill
42023,1630241,0042300203,"May 11, 2024",CLE vs. BOS,L,11,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,1,2023-24,Playoffs,1630241,Sam Merrill
42023,1630241,0042300204,"May 13, 2024",CLE vs. BOS,L,17,2,7,0.286,2,7,0.286,1,1,1.0,1,1,2,2,0,0,0,1,7,-4,1,2023-24,Playoffs,1630241,Sam Merrill
42023,1630241,0042300205,"May 15, 2024",CLE @ BOS,L,28,3,5,0.6,3,5,0.6,0,0,0.0,0,2,2,0,0,0,0,2,9,4,1,2023-24,Playoffs,1630241,Sam Merrill
42024,1630241,0042400201,"May 04, 2025",CLE vs. IND,L,18,2,5,0.4,2,5,0.4,0,0,0.0,1,3,4,4,0,0,0,2,6,-10,1,2024-25,Playoffs,1630241,Sam Merrill
42024,1630241,0042400202,"May 06, 2025",CLE vs. IND,L,26,5,10,0.5,4,9,0.444,0,0,0.0,2,2,4,0,2,0,0,3,14,0,1,2024-25,Playoffs,1630241,Sam Merrill
42024,1630241,0042400203,"May 09, 2025",CLE @ IND,W,20,1,5,0.2,1,5,0.2,0,1,0.0,0,1,1,2,0,0,0,3,3,18,1,2024-25,Playoffs,1630241,Sam Merrill
42024,1630241,0042400204,"May 11, 2025",CLE @ IND,L,14,0,2,0.0,0,2,0.0,2,2,1.0,1,2,3,1,0,0,0,4,2,-10,1,2024-25,Playoffs,1630241,Sam Merrill
22020,1630241,0022000905,"Apr 24, 2021",MIL vs. PHI,W,6,3,3,1.0,2,2,1.0,0,0,0.0,0,0,0,1,0,0,0,1,8,11,1,2020-21,Regular Season,1630241,Sam Merrill
22020,1630241,0022000894,"Apr 22, 2021",MIL vs. PHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1,2020-21,Regular Season,1630241,Sam Merrill
