SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,203932,0021500004,"Oct 28, 2015",ORL vs. WAS,L,17,4,8,0.5,0,2,0.0,4,6,0.667,4,3,7,1,0,1,0,0,12,2,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500022,"Oct 30, 2015",ORL vs. OKC,L,18,4,4,1.0,1,1,1.0,6,8,0.75,1,2,3,0,1,1,1,5,15,-6,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500043,"Nov 01, 2015",ORL @ CHI,L,25,2,7,0.286,0,1,0.0,0,0,0.0,2,5,7,1,2,2,3,1,4,-4,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500056,"Nov 03, 2015",ORL @ NOP,W,4,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,2,3,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500064,"Nov 04, 2015",ORL @ HOU,L,32,7,11,0.636,0,0,0.0,5,7,0.714,4,4,8,1,0,1,1,1,19,-4,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500075,"Nov 06, 2015",ORL vs. TOR,W,12,2,8,0.25,1,3,0.333,0,0,0.0,2,2,4,1,0,1,1,2,5,4,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500087,"Nov 07, 2015",ORL @ PHI,W,22,4,7,0.571,1,3,0.333,1,2,0.5,3,3,6,2,1,0,0,1,10,3,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500099,"Nov 09, 2015",ORL @ IND,L,17,1,5,0.2,0,2,0.0,2,3,0.667,1,1,2,2,0,1,3,4,4,-2,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500114,"Nov 11, 2015",ORL vs. LAL,W,16,1,3,0.333,1,2,0.5,1,2,0.5,3,2,5,1,0,0,1,2,4,1,1,2015-16,Regular Season,203932,Aaron Gordon
22015,203932,0021500128,"Nov 13, 2015",ORL vs. UTA,W,27,3,9,0.333,0,1,0.0,4,5,0.8,3,2,5,3,1,4,0,4,10,-11,1,2015-16,Regular Season,203932,Aaron Gordon
