SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22024,1642384,0022400357,"Dec 08, 2024",SAC vs. UTA,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,3,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400448,"Dec 30, 2024",SAC vs. DAL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400598,"Jan 19, 2025",SAC vs. WAS,W,3,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,4,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400727,"Feb 05, 2025",SAC vs. ORL,L,5,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,9,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400805,"Feb 21, 2025",SAC vs. GSW,L,4,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-5,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400828,"Feb 24, 2025",SAC vs. CHA,W,7,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,1,1,0,0,2,5,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400910,"Mar 07, 2025",SAC vs. SAS,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400939,"Mar 10, 2025",SAC vs. NYK,L,6,2,2,1.0,1,1,1.0,0,0,0.0,1,0,1,0,0,0,1,0,5,0,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400957,"Mar 13, 2025",SAC @ GSW,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400967,"Mar 14, 2025",SAC @ PHX,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022400992,"Mar 17, 2025",SAC vs. MEM,W,0,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,3,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022401044,"Mar 24, 2025",SAC vs. BOS,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022401052,"Mar 25, 2025",SAC vs. OKC,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,9,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022401066,"Mar 27, 2025",SAC vs. POR,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,2024-25,Regular Season,1642384,Isaiah Crawford
22024,1642384,0022401074,"Mar 29, 2025",SAC @ ORL,L,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2024-25,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500290,"Nov 24, 2025",HOU @ PHX,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500356,"Dec 06, 2025",HOU @ DAL,L,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500682,"Jan 29, 2026",HOU @ ATL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500728,"Feb 04, 2026",HOU vs. BOS,L,6,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,2,0,0,2,7,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500737,"Feb 05, 2026",HOU vs. CHA,L,16,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,2,2,0,0,0,5,9,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500830,"Feb 23, 2026",HOU vs. UTA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500845,"Feb 25, 2026",HOU vs. SAC,W,17,1,2,0.5,1,2,0.5,0,0,0.0,1,3,4,1,0,1,2,2,3,7,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500864,"Feb 28, 2026",HOU @ MIA,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500927,"Mar 08, 2026",HOU @ SAS,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500940,"Mar 10, 2026",HOU vs. TOR,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-4,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022500950,"Mar 11, 2026",HOU @ DEN,L,12,1,5,0.2,0,2,0.0,3,4,0.75,1,2,3,1,0,0,0,0,5,-12,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022501018,"Mar 20, 2026",HOU vs. ATL,W,6,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-7,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022501088,"Mar 29, 2026",HOU @ NOP,W,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,1,2025-26,Regular Season,1642384,Isaiah Crawford
22025,1642384,0022501194,"Apr 12, 2026",HOU vs. MEM,W,16,4,6,0.667,1,3,0.333,2,2,1.0,1,5,6,1,0,0,1,1,11,-8,1,2025-26,Regular Season,1642384,Isaiah Crawford
