SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22022,1629614,0022200018,"Oct 21, 2022",IND vs. SAS,L,30,5,12,0.417,2,7,0.286,2,2,1.0,1,2,3,3,2,0,0,4,14,11,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200029,"Oct 22, 2022",IND vs. DET,W,9,3,6,0.5,2,3,0.667,0,0,0.0,1,1,2,3,0,0,1,1,8,8,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200044,"Oct 24, 2022",IND @ PHI,L,22,2,6,0.333,1,5,0.2,0,0,0.0,0,3,3,4,0,0,0,0,5,-2,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200061,"Oct 26, 2022",IND @ CHI,L,9,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,2,1,0,0,1,3,-5,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200074,"Oct 28, 2022",IND @ WAS,W,16,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,2,0,0,1,2,3,-12,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200083,"Oct 29, 2022",IND @ BKN,W,17,1,6,0.167,1,3,0.333,2,2,1.0,0,2,2,5,0,0,0,3,5,-2,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200098,"Oct 31, 2022",IND @ BKN,L,7,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,1,1,1,0,-13,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200121,"Nov 04, 2022",IND vs. MIA,W,28,2,8,0.25,0,4,0.0,0,0,0.0,0,3,3,6,0,0,1,4,4,13,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200147,"Nov 07, 2022",IND vs. NOP,W,34,6,11,0.545,3,4,0.75,0,0,0.0,1,2,3,5,2,0,3,3,15,6,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200160,"Nov 09, 2022",IND vs. DEN,L,29,3,6,0.5,1,3,0.333,1,1,1.0,0,4,4,4,2,0,4,2,8,-12,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200187,"Nov 12, 2022",IND vs. TOR,W,22,3,5,0.6,2,3,0.667,0,0,0.0,0,2,2,3,0,0,1,3,8,5,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200211,"Nov 16, 2022",IND @ CHA,W,22,5,6,0.833,1,2,0.5,2,2,1.0,0,2,2,0,3,0,0,4,13,20,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200228,"Nov 18, 2022",IND @ HOU,W,21,3,6,0.5,2,4,0.5,0,0,0.0,0,1,1,4,0,0,0,4,8,-2,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200236,"Nov 19, 2022",IND vs. ORL,W,18,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,2,1,0,0,1,0,-16,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200308,"Nov 28, 2022",IND @ LAL,W,29,4,8,0.5,4,7,0.571,0,0,0.0,1,3,4,1,1,2,2,4,12,0,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200323,"Nov 30, 2022",IND @ SAC,L,27,3,7,0.429,0,3,0.0,0,0,0.0,0,2,2,4,0,0,2,3,6,-17,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200335,"Dec 02, 2022",IND @ UTA,L,35,4,10,0.4,2,5,0.4,3,3,1.0,2,2,4,10,2,0,2,5,13,-11,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200351,"Dec 04, 2022",IND @ POR,L,37,7,12,0.583,2,6,0.333,0,0,0.0,1,5,6,8,1,0,3,2,16,-15,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200359,"Dec 05, 2022",IND @ GSW,W,41,13,21,0.619,5,7,0.714,0,1,0.0,0,8,8,13,1,0,4,3,31,16,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200370,"Dec 07, 2022",IND @ MIN,L,32,3,10,0.3,1,4,0.25,0,0,0.0,1,5,6,3,2,0,3,3,7,-19,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200378,"Dec 09, 2022",IND vs. WAS,W,29,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,2,1,0,0,6,3,10,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200388,"Dec 10, 2022",IND vs. BKN,L,32,2,6,0.333,1,4,0.25,0,0,0.0,0,2,2,7,2,0,2,2,5,-5,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200402,"Dec 12, 2022",IND vs. MIA,L,34,6,12,0.5,3,7,0.429,3,4,0.75,0,5,5,2,1,1,3,3,18,1,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200415,"Dec 14, 2022",IND vs. GSW,W,31,4,6,0.667,0,1,0.0,0,0,0.0,0,3,3,3,1,0,1,3,8,-7,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200431,"Dec 16, 2022",IND @ CLE,L,29,2,5,0.4,0,1,0.0,1,1,1.0,0,1,1,2,0,1,2,4,5,5,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200446,"Dec 18, 2022",IND vs. NYK,L,27,2,5,0.4,0,3,0.0,0,0,0.0,0,2,2,1,1,0,1,5,4,-7,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200469,"Dec 21, 2022",IND @ BOS,W,34,4,9,0.444,0,1,0.0,0,0,0.0,2,3,5,5,1,1,2,4,8,4,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200486,"Dec 23, 2022",IND @ MIA,W,34,4,11,0.364,2,8,0.25,0,0,0.0,1,3,4,3,2,0,2,4,10,-1,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200502,"Dec 26, 2022",IND @ NOP,L,22,2,4,0.5,1,2,0.5,0,0,0.0,0,5,5,2,1,0,3,2,5,-8,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200508,"Dec 27, 2022",IND vs. ATL,W,27,2,6,0.333,1,2,0.5,0,0,0.0,0,3,3,5,2,0,1,1,5,-5,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200524,"Dec 29, 2022",IND vs. CLE,W,28,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,4,0,0,1,1,3,-7,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200538,"Dec 31, 2022",IND vs. LAC,W,35,3,5,0.6,0,1,0.0,0,0,0.0,1,3,4,4,0,1,3,3,6,5,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200553,"Jan 02, 2023",IND vs. TOR,W,20,2,4,0.5,1,2,0.5,0,0,0.0,2,0,2,3,0,0,1,3,5,-13,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200567,"Jan 04, 2023",IND @ PHI,L,41,5,11,0.455,1,4,0.25,1,1,1.0,1,3,4,2,0,0,3,3,12,2,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200580,"Jan 06, 2023",IND vs. POR,W,36,4,7,0.571,1,1,1.0,0,0,0.0,0,4,4,1,2,0,1,0,9,3,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200598,"Jan 08, 2023",IND vs. CHA,W,32,7,11,0.636,4,5,0.8,1,1,1.0,0,0,0,4,4,1,4,4,19,25,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200622,"Jan 11, 2023",IND @ NYK,L,34,4,10,0.4,1,3,0.333,2,2,1.0,1,2,3,4,0,0,1,5,11,-1,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200633,"Jan 13, 2023",IND vs. ATL,L,34,2,16,0.125,1,6,0.167,1,1,1.0,2,4,6,5,1,1,1,1,6,0,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200643,"Jan 14, 2023",IND vs. MEM,L,24,2,9,0.222,2,6,0.333,1,1,1.0,0,1,1,7,0,0,2,1,7,-24,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200657,"Jan 16, 2023",IND @ MIL,L,33,3,9,0.333,1,6,0.167,0,0,0.0,0,2,2,9,2,0,4,1,7,-11,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200674,"Jan 18, 2023",IND @ OKC,L,27,7,16,0.438,2,4,0.5,2,2,1.0,2,3,5,7,2,0,1,4,18,-16,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200688,"Jan 20, 2023",IND @ DEN,L,25,2,10,0.2,1,8,0.125,0,0,0.0,0,1,1,6,1,0,5,5,5,-13,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200697,"Jan 21, 2023",IND @ PHX,L,21,2,9,0.222,0,5,0.0,0,0,0.0,1,0,1,4,1,0,1,5,4,2,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200736,"Jan 27, 2023",IND vs. MIL,L,20,4,9,0.444,0,1,0.0,1,2,0.5,0,0,0,4,1,0,4,0,9,-24,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200753,"Jan 29, 2023",IND @ MEM,L,28,5,13,0.385,1,7,0.143,1,1,1.0,2,1,3,3,0,0,3,1,12,-5,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200778,"Feb 02, 2023",IND vs. LAL,L,33,3,8,0.375,1,2,0.5,0,0,0.0,0,4,4,6,1,0,3,1,7,7,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200786,"Feb 03, 2023",IND vs. SAC,W,35,4,10,0.4,1,5,0.2,0,0,0.0,0,1,1,5,3,0,1,2,9,14,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200803,"Feb 05, 2023",IND vs. CLE,L,28,2,4,0.5,1,2,0.5,1,1,1.0,0,2,2,7,1,0,1,1,6,-9,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200825,"Feb 08, 2023",IND @ MIA,L,28,4,9,0.444,1,2,0.5,1,2,0.5,1,0,1,1,0,1,2,2,10,-10,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200836,"Feb 10, 2023",IND vs. PHX,L,26,0,5,0.0,0,1,0.0,0,0,0.0,0,1,1,10,0,0,3,1,0,-4,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200849,"Feb 11, 2023",IND @ WAS,L,20,3,7,0.429,1,3,0.333,0,0,0.0,0,2,2,2,1,0,1,2,7,4,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200859,"Feb 13, 2023",IND vs. UTA,L,23,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,3,1,0,0,3,2,-3,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200874,"Feb 15, 2023",IND vs. CHI,W,21,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,5,1,0,0,4,4,7,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200887,"Feb 23, 2023",IND vs. BOS,L,23,2,7,0.286,1,5,0.2,0,0,0.0,0,0,0,1,0,0,1,0,5,7,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200905,"Feb 25, 2023",IND @ ORL,W,24,5,11,0.455,3,6,0.5,0,0,0.0,0,2,2,3,2,0,0,2,13,1,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200929,"Feb 28, 2023",IND @ DAL,W,32,1,6,0.167,1,5,0.2,0,2,0.0,1,2,3,5,0,1,0,1,3,-5,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200944,"Mar 02, 2023",IND @ SAS,L,21,0,8,0.0,0,3,0.0,4,4,1.0,0,2,2,2,0,0,1,0,4,-15,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200963,"Mar 05, 2023",IND @ CHI,W,20,2,5,0.4,0,3,0.0,0,0,0.0,0,0,0,1,1,1,0,2,4,-1,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200972,"Mar 06, 2023",IND vs. PHI,L,19,3,4,0.75,1,2,0.5,0,0,0.0,0,4,4,1,2,0,0,0,7,-6,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022200993,"Mar 09, 2023",IND vs. HOU,W,26,6,7,0.857,2,2,1.0,0,0,0.0,0,2,2,1,2,0,1,3,14,6,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022201006,"Mar 11, 2023",IND @ DET,W,33,6,15,0.4,2,6,0.333,5,6,0.833,0,3,3,8,0,0,2,0,19,-2,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022201020,"Mar 13, 2023",IND @ DET,L,36,6,14,0.429,1,3,0.333,2,3,0.667,1,3,4,7,0,0,3,3,15,-15,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022201045,"Mar 16, 2023",IND @ MIL,W,28,10,21,0.476,4,9,0.444,0,2,0.0,1,0,1,5,0,0,0,2,24,-7,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022201057,"Mar 18, 2023",IND vs. PHI,L,37,9,14,0.643,2,4,0.5,2,2,1.0,0,1,1,2,0,0,1,1,22,-21,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022201071,"Mar 20, 2023",IND @ CHA,L,29,1,6,0.167,0,0,0.0,0,0,0.0,0,2,2,6,0,0,3,3,2,-23,1,2022-23,Regular Season,1629614,Andrew Nembhard
22022,1629614,0022201085,"Mar 22, 2023",IND @ TOR,W,35,11,17,0.647,3,5,0.6,0,0,0.0,0,2,2,10,0,0,2,5,25,8,1,2022-23,Regular Season,1629614,Andrew Nembhard
