SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22021,1630643,0022100138,"Nov 06, 2021",LAL @ POR,L,8,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,17,1,2021-22,Regular Season,1630643,Jay Huff
22021,1630643,0022100436,"Dec 17, 2021",LAL @ MIN,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,3,1,2021-22,Regular Season,1630643,Jay Huff
22021,1630643,0022100469,"Dec 21, 2021",LAL vs. PHX,L,3,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,2,1,2021-22,Regular Season,1630643,Jay Huff
22021,1630643,0022100487,"Dec 23, 2021",LAL vs. SAS,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-7,1,2021-22,Regular Season,1630643,Jay Huff
22022,1630643,0022201028,"Mar 14, 2023",WAS vs. DET,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-3,1,2022-23,Regular Season,1630643,Jay Huff
22022,1630643,0022201059,"Mar 18, 2023",WAS vs. SAC,L,6,1,1,1.0,0,0,0.0,3,3,1.0,0,3,3,0,0,0,0,0,5,8,1,2022-23,Regular Season,1630643,Jay Huff
22022,1630643,0022201083,"Mar 22, 2023",WAS vs. DEN,L,4,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,6,1,2022-23,Regular Season,1630643,Jay Huff
22022,1630643,0022201168,"Apr 02, 2023",WAS @ NYK,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,9,1,2022-23,Regular Season,1630643,Jay Huff
22022,1630643,0022201179,"Apr 04, 2023",WAS vs. MIL,L,27,5,10,0.5,3,6,0.5,4,5,0.8,2,7,9,2,2,0,0,5,17,7,1,2022-23,Regular Season,1630643,Jay Huff
22022,1630643,0022201191,"Apr 05, 2023",WAS @ ATL,L,30,5,6,0.833,2,3,0.667,2,2,1.0,2,2,4,3,1,3,1,4,14,-16,1,2022-23,Regular Season,1630643,Jay Huff
22022,1630643,0022201204,"Apr 07, 2023",WAS vs. MIA,W,23,4,7,0.571,1,2,0.5,4,4,1.0,2,2,4,2,0,1,2,5,13,-18,1,2022-23,Regular Season,1630643,Jay Huff
22023,1630643,0022300252,"Nov 26, 2023",DEN vs. SAS,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-4,1,2023-24,Regular Season,1630643,Jay Huff
22023,1630643,0022300257,"Nov 27, 2023",DEN @ LAC,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2023-24,Regular Season,1630643,Jay Huff
22023,1630643,0022300502,"Jan 07, 2024",DEN vs. DET,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,1,2023-24,Regular Season,1630643,Jay Huff
