SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22021,1630543,0022100028,"Oct 23, 2021",IND vs. MIA,W,2,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,1,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100058,"Oct 27, 2021",IND @ TOR,L,10,1,2,0.5,0,0,0.0,0,0,0.0,1,3,4,0,1,0,0,3,2,-2,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100257,"Nov 22, 2021",IND @ CHI,W,4,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,0,1,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100301,"Nov 28, 2021",IND vs. MIL,L,9,2,4,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,2,4,2,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100309,"Nov 29, 2021",IND @ MIN,L,5,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,3,2,-9,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100369,"Dec 08, 2021",IND vs. NYK,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100421,"Dec 15, 2021",IND @ MIL,L,3,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,5,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100465,"Dec 21, 2021",IND @ MIA,L,12,2,3,0.667,0,0,0.0,2,4,0.5,2,2,4,0,1,0,0,0,6,0,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100499,"Dec 26, 2021",IND @ CHI,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,4,1,2021-22,Regular Season,1630543,Isaiah Jackson
22021,1630543,0022100618,"Jan 12, 2022",IND vs. BOS,L,5,1,1,1.0,0,0,0.0,1,2,0.5,0,2,2,0,0,1,0,0,3,3,1,2021-22,Regular Season,1630543,Isaiah Jackson
