SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22017,1628381,0021700009,"Oct 18, 2017",ATL @ DAL,W,22,6,10,0.6,0,0,0.0,2,3,0.667,3,2,5,1,2,0,1,1,14,8,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700017,"Oct 20, 2017",ATL @ CHA,L,15,2,4,0.5,0,0,0.0,1,2,0.5,0,2,2,0,1,2,2,6,5,-16,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700038,"Oct 22, 2017",ATL @ BKN,L,21,5,11,0.455,0,0,0.0,4,4,1.0,6,7,13,0,0,1,2,5,14,1,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700042,"Oct 23, 2017",ATL @ MIA,L,18,6,11,0.545,0,0,0.0,2,2,1.0,4,7,11,2,0,1,0,2,14,0,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700065,"Oct 26, 2017",ATL @ CHI,L,25,5,6,0.833,0,0,0.0,3,5,0.6,1,4,5,0,0,1,1,3,13,-2,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700072,"Oct 27, 2017",ATL vs. DEN,L,14,2,11,0.182,0,0,0.0,2,2,1.0,5,3,8,0,0,0,0,5,6,-5,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700085,"Oct 29, 2017",ATL vs. MIL,L,25,5,7,0.714,0,0,0.0,4,7,0.571,1,6,7,0,0,1,0,2,14,9,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700107,"Nov 01, 2017",ATL @ PHI,L,14,3,7,0.429,0,1,0.0,1,2,0.5,6,1,7,2,0,1,1,6,7,0,2,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700123,"Nov 03, 2017",ATL vs. HOU,L,28,3,7,0.429,0,0,0.0,2,2,1.0,4,8,12,1,2,4,3,2,8,-5,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700136,"Nov 05, 2017",ATL @ CLE,W,24,3,10,0.3,0,0,0.0,6,8,0.75,7,6,13,1,0,2,3,3,12,15,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700146,"Nov 06, 2017",ATL vs. BOS,L,16,3,4,0.75,0,0,0.0,2,2,1.0,1,0,1,0,0,0,1,5,8,-6,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700169,"Nov 10, 2017",ATL @ DET,L,27,8,13,0.615,0,0,0.0,0,0,0.0,2,6,8,1,0,2,3,5,16,5,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700177,"Nov 11, 2017",ATL @ WAS,L,22,1,4,0.25,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,5,2,-5,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700195,"Nov 13, 2017",ATL @ NOP,L,22,6,10,0.6,0,0,0.0,0,0,0.0,4,2,6,1,0,0,2,4,12,-16,2,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700204,"Nov 15, 2017",ATL vs. SAC,W,22,7,9,0.778,0,0,0.0,0,0,0.0,2,6,8,0,0,0,3,5,14,19,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700230,"Nov 18, 2017",ATL vs. BOS,L,25,7,8,0.875,0,0,0.0,4,4,1.0,3,4,7,1,1,0,1,3,18,-6,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700250,"Nov 20, 2017",ATL @ SAS,L,36,10,12,0.833,0,0,0.0,1,2,0.5,4,5,9,0,0,2,2,5,21,-1,1,2017-18,Regular Season,1628381,John Collins
22017,1628381,0021700256,"Nov 22, 2017",ATL vs. LAC,L,38,7,9,0.778,0,0,0.0,0,0,0.0,3,7,10,3,4,0,2,4,14,-13,2,2017-18,Regular Season,1628381,John Collins
