SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22019,1629637,0021900047,"Oct 28, 2019",NOP vs. GSW,L,24,9,11,0.818,0,1,0.0,1,3,0.333,1,2,3,1,1,1,0,3,19,0,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900067,"Oct 31, 2019",NOP vs. DEN,W,9,2,2,1.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,1,4,5,-4,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900077,"Nov 02, 2019",NOP @ OKC,L,14,2,5,0.4,0,0,0.0,0,0,0.0,4,1,5,3,1,0,0,5,4,-4,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900092,"Nov 04, 2019",NOP @ BKN,L,16,0,3,0.0,0,1,0.0,3,3,1.0,3,2,5,1,2,0,2,6,3,12,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900121,"Nov 08, 2019",NOP vs. TOR,L,15,2,3,0.667,0,0,0.0,0,3,0.0,1,5,6,0,0,1,0,1,4,5,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900128,"Nov 09, 2019",NOP @ CHA,W,18,3,3,1.0,0,0,0.0,3,4,0.75,0,1,1,0,0,2,0,2,9,-2,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900142,"Nov 11, 2019",NOP vs. HOU,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-5,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900164,"Nov 14, 2019",NOP vs. LAC,W,13,3,6,0.5,0,0,0.0,3,4,0.75,2,1,3,1,1,0,0,4,9,-8,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900178,"Nov 16, 2019",NOP @ MIA,L,24,6,6,1.0,0,0,0.0,0,0,0.0,2,1,3,0,1,2,3,1,12,4,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900187,"Nov 17, 2019",NOP vs. GSW,W,32,3,5,0.6,0,0,0.0,4,6,0.667,2,8,10,0,1,3,2,2,10,12,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900199,"Nov 19, 2019",NOP vs. POR,W,21,3,8,0.375,0,0,0.0,3,4,0.75,4,3,7,0,2,3,0,2,9,10,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900214,"Nov 21, 2019",NOP @ PHX,W,21,3,5,0.6,0,0,0.0,1,2,0.5,2,2,4,0,1,1,0,5,7,21,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900234,"Nov 23, 2019",NOP @ UTA,L,30,5,9,0.556,0,0,0.0,3,3,1.0,2,3,5,1,0,1,2,5,13,-6,1,2019-20,Regular Season,1629637,Jaxson Hayes
22019,1629637,0021900239,"Nov 24, 2019",NOP @ LAC,L,29,3,5,0.6,0,0,0.0,1,4,0.25,1,2,3,3,0,0,1,5,7,1,1,2019-20,Regular Season,1629637,Jaxson Hayes
