SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22025,1642942,0022500265,"Nov 20, 2025",MEM vs. SAC,W,6,2,4,0.5,2,4,0.5,0,0,0.0,0,2,2,0,0,0,0,0,6,1,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500360,"Dec 07, 2025",MEM vs. POR,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022501226,"Dec 15, 2025",MEM @ LAC,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-3,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500368,"Dec 17, 2025",MEM @ MIN,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-7,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500406,"Dec 22, 2025",MEM @ OKC,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,2,0,0,-9,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500419,"Dec 23, 2025",MEM @ UTA,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500524,"Jan 07, 2026",MEM vs. PHX,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500731,"Feb 04, 2026",MEM @ SAC,W,23,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,5,3,0,0,4,2,-5,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500745,"Feb 06, 2026",MEM @ POR,L,20,2,6,0.333,1,3,0.333,0,0,0.0,1,0,1,1,3,0,1,3,5,-8,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500755,"Feb 07, 2026",MEM @ POR,L,30,3,9,0.333,2,7,0.286,0,0,0.0,0,1,1,1,6,0,2,1,8,-1,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500768,"Feb 09, 2026",MEM @ GSW,L,22,8,10,0.8,1,2,0.5,0,0,0.0,0,2,2,1,2,0,3,2,17,0,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500787,"Feb 11, 2026",MEM @ DEN,L,22,4,11,0.364,1,5,0.2,0,0,0.0,1,2,3,2,2,1,0,3,9,2,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500804,"Feb 20, 2026",MEM vs. UTA,W,31,4,9,0.444,2,4,0.5,1,4,0.25,0,5,5,2,2,1,4,0,11,8,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500813,"Feb 21, 2026",MEM @ MIA,L,22,0,6,0.0,0,3,0.0,0,0,0.0,2,1,3,1,0,2,0,4,0,-7,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500829,"Feb 23, 2026",MEM vs. SAC,L,22,2,6,0.333,0,1,0.0,0,0,0.0,1,0,1,1,1,0,1,4,4,5,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500861,"Feb 27, 2026",MEM @ DAL,W,23,3,7,0.429,0,1,0.0,2,2,1.0,1,2,3,1,1,1,0,3,8,3,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500872,"Mar 01, 2026",MEM @ IND,W,23,2,7,0.286,0,2,0.0,0,0,0.0,1,1,2,1,0,3,3,0,4,12,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500896,"Mar 04, 2026",MEM vs. POR,L,21,5,8,0.625,3,4,0.75,0,0,0.0,1,0,1,1,1,0,2,6,13,-5,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500918,"Mar 07, 2026",MEM vs. LAC,L,25,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,4,4,1,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500932,"Mar 09, 2026",MEM @ BKN,L,31,3,6,0.5,0,1,0.0,1,2,0.5,3,3,6,2,2,3,1,2,7,-7,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500936,"Mar 10, 2026",MEM @ PHI,L,27,2,4,0.5,0,1,0.0,3,5,0.6,0,1,1,1,0,0,0,5,7,-18,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022501111,"Mar 12, 2026",MEM vs. DAL,L,31,3,11,0.273,1,4,0.25,1,2,0.5,2,2,4,6,2,0,1,4,8,5,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500961,"Mar 13, 2026",MEM @ DET,L,23,1,5,0.2,0,2,0.0,1,2,0.5,1,2,3,2,2,0,0,0,3,1,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022500987,"Mar 16, 2026",MEM @ CHI,L,26,1,6,0.167,1,2,0.5,0,0,0.0,2,4,6,2,1,1,2,2,3,-9,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022501079,"Mar 28, 2026",MEM vs. CHI,W,30,8,12,0.667,0,1,0.0,1,1,1.0,1,1,2,2,1,0,2,2,17,1,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022501093,"Mar 30, 2026",MEM vs. PHX,L,37,5,11,0.455,1,5,0.2,3,4,0.75,0,3,3,2,2,0,4,1,14,-32,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022501003,"Apr 01, 2026",MEM vs. NYK,L,23,2,5,0.4,1,3,0.333,2,2,1.0,2,2,4,0,3,0,4,4,7,-15,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022501125,"Apr 03, 2026",MEM vs. TOR,L,14,0,4,0.0,0,1,0.0,2,6,0.333,1,0,1,1,0,0,2,0,2,-13,1,2025-26,Regular Season,1642942,Jahmai Mashack
22025,1642942,0022501162,"Apr 08, 2026",MEM @ DEN,L,33,4,12,0.333,1,4,0.25,0,2,0.0,0,3,3,7,0,0,1,3,9,-30,1,2025-26,Regular Season,1642942,Jahmai Mashack
