SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22025,1642383,0022500087,"Oct 22, 2025",UTA vs. LAC,W,18,4,8,0.5,1,3,0.333,1,1,1.0,3,3,6,5,2,0,2,2,10,3,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500098,"Oct 24, 2025",UTA @ SAC,L,20,4,7,0.571,1,3,0.333,1,1,1.0,1,4,5,3,1,0,2,1,10,-8,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500120,"Oct 27, 2025",UTA vs. PHX,W,23,2,7,0.286,2,6,0.333,0,0,0.0,1,2,3,2,0,0,2,6,6,-9,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500135,"Oct 29, 2025",UTA vs. POR,L,16,1,4,0.25,0,2,0.0,2,2,1.0,0,1,1,2,0,0,1,0,4,0,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500025,"Oct 31, 2025",UTA @ PHX,L,9,1,3,0.333,1,1,1.0,0,0,0.0,0,0,0,2,0,0,0,1,3,-22,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500150,"Nov 02, 2025",UTA @ CHA,L,19,1,4,0.25,0,1,0.0,2,2,1.0,0,2,2,2,0,0,0,3,4,-9,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500158,"Nov 03, 2025",UTA @ BOS,W,16,3,4,0.75,1,2,0.5,0,0,0.0,0,3,3,6,2,0,0,0,7,7,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500172,"Nov 05, 2025",UTA @ DET,L,15,2,4,0.5,1,2,0.5,1,1,1.0,0,0,0,6,0,0,4,3,6,3,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500036,"Nov 07, 2025",UTA @ MIN,L,12,1,2,0.5,0,1,0.0,2,2,1.0,1,2,3,2,0,1,1,2,4,-12,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500205,"Nov 10, 2025",UTA vs. MIN,L,18,2,8,0.25,2,5,0.4,0,0,0.0,0,3,3,2,0,2,1,0,6,10,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500211,"Nov 11, 2025",UTA vs. IND,W,12,1,3,0.333,1,3,0.333,5,5,1.0,0,0,0,3,0,0,2,2,8,7,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500055,"Nov 21, 2025",UTA vs. OKC,L,12,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,3,1,0,3,2,2,-10,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500291,"Nov 24, 2025",UTA @ GSW,L,17,0,5,0.0,0,4,0.0,0,0,0.0,0,1,1,4,0,1,0,1,0,2,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500077,"Nov 28, 2025",UTA vs. SAC,W,9,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,1,1,0,4,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500301,"Nov 30, 2025",UTA vs. HOU,L,18,3,6,0.5,0,2,0.0,2,2,1.0,0,2,2,5,1,0,2,0,8,-4,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500316,"Dec 01, 2025",UTA vs. HOU,W,21,3,8,0.375,1,3,0.333,1,1,1.0,0,5,5,6,1,0,1,4,8,10,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500335,"Dec 04, 2025",UTA @ BKN,W,24,4,7,0.571,1,3,0.333,4,4,1.0,1,2,3,3,0,0,2,3,13,22,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500343,"Dec 05, 2025",UTA @ NYK,L,19,4,9,0.444,3,6,0.5,0,0,0.0,0,1,1,4,0,0,1,3,11,1,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500363,"Dec 07, 2025",UTA vs. OKC,L,29,8,12,0.667,2,5,0.4,2,3,0.667,1,1,2,9,0,0,2,3,20,-5,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501213,"Dec 12, 2025",UTA @ MEM,W,8,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,3,0,-5,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501224,"Dec 15, 2025",UTA vs. DAL,W,13,1,3,0.333,0,2,0.0,0,0,0.0,1,3,4,2,1,0,3,1,2,4,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500379,"Dec 18, 2025",UTA vs. LAL,L,14,3,5,0.6,1,2,0.5,1,1,1.0,0,1,1,1,0,0,0,2,8,-16,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500393,"Dec 20, 2025",UTA vs. ORL,L,8,0,2,0.0,0,2,0.0,1,2,0.5,0,0,0,0,1,0,1,0,1,-6,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500405,"Dec 22, 2025",UTA @ DEN,L,17,2,7,0.286,2,6,0.333,0,0,0.0,0,2,2,4,1,0,0,1,6,0,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500419,"Dec 23, 2025",UTA vs. MEM,L,15,1,6,0.167,0,2,0.0,8,8,1.0,0,1,1,2,0,0,0,2,10,-9,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500430,"Dec 26, 2025",UTA vs. DET,W,9,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,1,0,-7,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500440,"Dec 27, 2025",UTA @ SAS,W,22,6,6,1.0,2,2,1.0,3,3,1.0,0,2,2,5,1,0,0,0,17,22,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500459,"Dec 30, 2025",UTA vs. BOS,L,21,3,7,0.429,1,4,0.25,0,0,0.0,0,0,0,1,0,1,0,4,7,-16,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500475,"Jan 01, 2026",UTA @ LAC,L,30,2,6,0.333,1,3,0.333,4,4,1.0,0,2,2,3,1,0,0,0,9,-9,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500492,"Jan 03, 2026",UTA @ GSW,L,17,2,6,0.333,2,5,0.4,2,2,1.0,0,3,3,2,0,0,0,2,8,-6,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500509,"Jan 05, 2026",UTA @ POR,L,13,2,6,0.333,1,3,0.333,0,0,0.0,0,1,1,3,0,1,1,1,5,0,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500525,"Jan 07, 2026",UTA @ OKC,L,27,5,11,0.455,4,7,0.571,1,1,1.0,1,5,6,4,0,1,3,4,15,1,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500531,"Jan 08, 2026",UTA vs. DAL,W,21,4,10,0.4,4,9,0.444,0,0,0.0,0,0,0,3,2,0,0,2,12,10,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500547,"Jan 10, 2026",UTA vs. CHA,L,30,4,9,0.444,3,7,0.429,2,2,1.0,0,0,0,4,1,0,2,5,13,-28,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500573,"Jan 14, 2026",UTA @ CHI,L,21,1,6,0.167,1,5,0.2,2,2,1.0,0,4,4,5,2,0,3,1,5,3,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500583,"Jan 15, 2026",UTA @ DAL,L,31,5,11,0.455,1,5,0.2,4,4,1.0,0,2,2,7,1,0,2,0,15,-8,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500593,"Jan 17, 2026",UTA @ DAL,L,27,1,4,0.25,0,3,0.0,3,4,0.75,0,3,3,8,0,0,2,5,5,2,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500611,"Jan 19, 2026",UTA @ SAS,L,32,4,11,0.364,0,5,0.0,0,0,0.0,2,1,3,7,2,0,3,0,8,-7,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500616,"Jan 20, 2026",UTA vs. MIN,W,13,2,5,0.4,0,0,0.0,1,1,1.0,0,3,3,0,0,0,0,0,5,16,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500632,"Jan 22, 2026",UTA vs. SAS,L,24,2,5,0.4,0,3,0.0,0,0,0.0,0,0,0,1,0,0,1,0,4,-24,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500649,"Jan 24, 2026",UTA vs. MIA,L,15,1,3,0.333,1,2,0.5,2,2,1.0,0,1,1,2,1,2,1,2,5,-18,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500670,"Jan 27, 2026",UTA vs. LAC,L,19,2,5,0.4,1,2,0.5,0,0,0.0,1,1,2,2,0,1,2,2,5,-13,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500678,"Jan 28, 2026",UTA vs. GSW,L,7,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,2,1,0,2,0,3,15,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500694,"Jan 30, 2026",UTA vs. BKN,L,13,0,3,0.0,0,1,0.0,1,2,0.5,0,1,1,1,0,1,1,1,1,-9,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500706,"Feb 01, 2026",UTA @ TOR,L,18,3,9,0.333,1,5,0.2,0,0,0.0,1,1,2,2,0,0,3,2,7,-1,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500745,"Feb 06, 2026",MEM @ POR,L,22,5,11,0.455,1,3,0.333,0,0,0.0,0,3,3,4,1,0,3,2,11,-9,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500755,"Feb 07, 2026",MEM @ POR,L,28,3,8,0.375,0,5,0.0,2,2,1.0,0,4,4,7,3,0,2,1,8,0,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500813,"Feb 21, 2026",MEM @ MIA,L,25,4,11,0.364,1,6,0.167,0,0,0.0,0,4,4,6,0,0,2,6,9,-1,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500829,"Feb 23, 2026",MEM vs. SAC,L,21,3,7,0.429,2,5,0.4,1,1,1.0,0,1,1,6,1,0,2,1,9,5,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500844,"Feb 25, 2026",MEM vs. GSW,L,22,1,8,0.125,1,4,0.25,1,2,0.5,0,0,0,3,0,0,1,3,4,-6,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500861,"Feb 27, 2026",MEM @ DAL,W,26,3,10,0.3,0,3,0.0,5,7,0.714,0,2,2,5,0,1,2,1,11,4,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500872,"Mar 01, 2026",MEM @ IND,W,34,2,5,0.4,1,3,0.333,2,2,1.0,0,3,3,14,4,1,2,1,7,17,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500890,"Mar 03, 2026",MEM @ MIN,L,24,2,6,0.333,1,3,0.333,4,4,1.0,0,1,1,9,2,0,2,0,9,9,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500896,"Mar 04, 2026",MEM vs. POR,L,27,3,7,0.429,0,1,0.0,6,7,0.857,0,2,2,8,2,0,3,4,12,-2,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500918,"Mar 07, 2026",MEM vs. LAC,L,18,1,5,0.2,0,1,0.0,0,0,0.0,0,2,2,6,0,0,4,1,2,7,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500932,"Mar 09, 2026",MEM @ BKN,L,29,4,12,0.333,1,4,0.25,4,4,1.0,0,0,0,4,1,0,4,1,13,-3,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500987,"Mar 16, 2026",MEM @ CHI,L,26,5,11,0.455,2,5,0.4,0,0,0.0,1,1,2,7,0,1,3,1,12,-35,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022500651,"Mar 18, 2026",MEM vs. DEN,W,20,1,6,0.167,0,3,0.0,2,2,1.0,0,2,2,4,0,0,1,2,4,0,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501019,"Mar 20, 2026",MEM vs. BOS,L,27,1,7,0.143,0,4,0.0,2,2,1.0,1,2,3,2,0,0,2,0,4,-16,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501023,"Mar 21, 2026",MEM @ CHA,L,22,4,9,0.444,3,6,0.5,0,0,0.0,0,4,4,2,2,0,1,4,11,-19,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501037,"Mar 23, 2026",MEM @ ATL,L,28,4,13,0.308,4,12,0.333,4,5,0.8,0,1,1,6,1,1,4,1,16,-37,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501056,"Mar 25, 2026",MEM vs. SAS,L,22,3,8,0.375,2,4,0.5,2,4,0.5,0,2,2,6,0,1,2,1,10,-5,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501069,"Mar 27, 2026",MEM vs. HOU,L,23,1,8,0.125,0,2,0.0,5,6,0.833,1,1,2,1,0,1,1,2,7,-11,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501079,"Mar 28, 2026",MEM vs. CHI,W,30,3,9,0.333,1,6,0.167,0,0,0.0,1,2,3,6,2,0,5,2,7,1,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501093,"Mar 30, 2026",MEM vs. PHX,L,30,4,6,0.667,1,1,1.0,2,2,1.0,2,1,3,7,1,1,4,2,11,-22,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501003,"Apr 01, 2026",MEM vs. NYK,L,23,3,7,0.429,2,4,0.5,2,2,1.0,1,0,1,5,0,0,2,3,10,-23,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501135,"Apr 05, 2026",MEM @ MIL,L,25,6,11,0.545,4,6,0.667,4,4,1.0,2,1,3,4,0,0,3,0,20,-15,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501145,"Apr 06, 2026",MEM vs. CLE,L,25,4,10,0.4,2,5,0.4,0,0,0.0,1,0,1,11,0,0,3,2,10,-19,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
22025,1642383,0022501162,"Apr 08, 2026",MEM @ DEN,L,22,5,10,0.5,2,5,0.4,3,3,1.0,0,2,2,3,0,0,1,0,15,14,1,2025-26,Regular Season,1642383,Walter Clayton Jr.
