SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22021,1630558,0022100013,"Oct 20, 2021",SAC @ POR,W,24,1,6,0.167,0,2,0.0,0,0,0.0,0,3,3,3,0,0,0,3,2,-10,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100026,"Oct 22, 2021",SAC vs. UTA,L,32,1,8,0.125,0,4,0.0,1,2,0.5,0,1,1,4,4,0,0,2,3,-11,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100039,"Oct 24, 2021",SAC vs. GSW,L,32,9,16,0.563,3,8,0.375,1,2,0.5,0,1,1,4,0,0,2,0,22,-14,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100062,"Oct 27, 2021",SAC @ PHX,W,19,2,7,0.286,1,4,0.25,0,0,0.0,0,3,3,3,0,0,0,2,5,9,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100074,"Oct 29, 2021",SAC @ NOP,W,29,3,9,0.333,2,7,0.286,0,0,0.0,0,2,2,1,2,0,1,1,8,0,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100089,"Oct 31, 2021",SAC @ DAL,L,26,3,8,0.375,0,3,0.0,0,0,0.0,0,0,0,3,0,1,2,4,6,-2,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100105,"Nov 02, 2021",SAC @ UTA,L,30,7,15,0.467,2,7,0.286,2,4,0.5,0,4,4,2,0,1,2,4,18,-1,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100118,"Nov 03, 2021",SAC vs. NOP,W,26,6,12,0.5,0,2,0.0,0,0,0.0,0,2,2,8,0,0,0,2,12,12,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100132,"Nov 05, 2021",SAC vs. CHA,W,25,6,11,0.545,4,5,0.8,3,3,1.0,2,2,4,4,0,0,1,4,19,15,1,2021-22,Regular Season,1630558,Davion Mitchell
22021,1630558,0022100143,"Nov 07, 2021",SAC vs. IND,L,28,1,7,0.143,0,1,0.0,0,0,0.0,2,1,3,6,1,1,1,2,2,6,1,2021-22,Regular Season,1630558,Davion Mitchell
