SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22019,1629675,0021900342,"Dec 08, 2019",MIN @ LAL,L,3,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,2,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900349,"Dec 09, 2019",MIN @ PHX,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,2,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900494,"Dec 30, 2019",MIN vs. BKN,W,20,5,16,0.313,3,10,0.3,0,0,0.0,1,3,4,1,1,1,2,3,13,4,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900506,"Jan 01, 2020",MIN @ MIL,L,18,4,10,0.4,2,7,0.286,1,2,0.5,0,2,2,1,0,1,1,5,11,3,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900512,"Jan 02, 2020",MIN vs. GSW,W,20,5,11,0.455,3,6,0.5,0,3,0.0,2,4,6,1,0,1,1,1,13,2,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900536,"Jan 05, 2020",MIN @ CLE,W,11,4,7,0.571,0,1,0.0,0,0,0.0,1,1,2,3,3,0,2,2,8,-11,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900551,"Jan 07, 2020",MIN @ MEM,L,11,3,6,0.5,1,3,0.333,3,3,1.0,3,2,5,1,0,0,1,3,10,7,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900565,"Jan 09, 2020",MIN vs. POR,W,17,0,5,0.0,0,2,0.0,0,0,0.0,0,6,6,1,0,1,0,5,0,-1,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900577,"Jan 11, 2020",MIN @ HOU,L,18,5,14,0.357,1,8,0.125,3,4,0.75,1,1,2,1,0,1,0,2,14,-8,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900594,"Jan 13, 2020",MIN vs. OKC,L,18,7,13,0.538,4,8,0.5,2,2,1.0,0,1,1,1,0,1,0,4,20,3,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900608,"Jan 15, 2020",MIN vs. IND,L,8,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,2,2,6,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900632,"Jan 18, 2020",MIN vs. TOR,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,8,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900683,"Jan 25, 2020",MIN vs. OKC,L,7,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,2,1,0,0,1,2,5,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900696,"Jan 27, 2020",MIN vs. SAC,L,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900727,"Feb 01, 2020",MIN @ LAC,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,5,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900759,"Feb 05, 2020",MIN vs. ATL,L,13,4,6,0.667,2,3,0.667,0,0,0.0,0,2,2,0,0,2,1,5,10,5,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900782,"Feb 08, 2020",MIN vs. LAC,W,14,5,13,0.385,4,6,0.667,0,0,0.0,2,7,9,1,0,0,1,3,14,2,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900796,"Feb 10, 2020",MIN @ TOR,L,10,2,5,0.4,1,1,1.0,3,3,1.0,1,2,3,0,0,1,1,1,8,-2,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900813,"Feb 12, 2020",MIN vs. CHA,L,22,4,7,0.571,0,2,0.0,4,4,1.0,1,5,6,0,1,1,0,5,12,0,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900830,"Feb 21, 2020",MIN vs. BOS,L,33,7,15,0.467,2,5,0.4,3,4,0.75,4,5,9,1,3,0,0,5,19,3,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900844,"Feb 23, 2020",MIN @ DEN,L,22,5,12,0.417,1,4,0.25,2,3,0.667,1,4,5,1,1,0,2,5,13,2,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900854,"Feb 24, 2020",MIN @ DAL,L,27,2,10,0.2,1,3,0.333,1,1,1.0,0,5,5,2,0,3,0,2,6,-3,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900868,"Feb 26, 2020",MIN @ MIA,W,19,4,7,0.571,0,3,0.0,1,3,0.333,0,3,3,0,1,1,0,5,9,2,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900877,"Feb 28, 2020",MIN @ ORL,L,23,3,6,0.5,1,2,0.5,0,1,0.0,0,1,1,2,0,2,0,4,7,7,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900896,"Mar 01, 2020",MIN vs. DAL,L,27,4,13,0.308,0,2,0.0,1,2,0.5,5,7,12,2,0,0,0,1,9,1,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900911,"Mar 03, 2020",MIN @ NOP,W,27,5,12,0.417,1,4,0.25,2,2,1.0,3,11,14,3,3,2,1,4,13,3,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900922,"Mar 04, 2020",MIN vs. CHI,W,25,5,10,0.5,3,3,1.0,3,6,0.5,5,6,11,3,0,2,0,2,16,12,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900935,"Mar 06, 2020",MIN vs. ORL,L,28,5,14,0.357,1,5,0.2,5,6,0.833,1,2,3,3,1,1,2,4,16,-14,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900947,"Mar 08, 2020",MIN vs. NOP,L,25,4,14,0.286,0,5,0.0,2,2,1.0,1,4,5,1,3,1,2,3,10,-26,1,2019-20,Regular Season,1629675,Naz Reid
22019,1629675,0021900963,"Mar 10, 2020",MIN @ HOU,L,23,5,8,0.625,0,0,0.0,1,2,0.5,0,4,4,3,1,0,3,4,11,-7,1,2019-20,Regular Season,1629675,Naz Reid
22020,1629675,0022000018,"Dec 23, 2020",MIN vs. DET,W,18,2,5,0.4,0,1,0.0,4,6,0.667,2,3,5,1,0,3,0,0,8,-1,1,2020-21,Regular Season,1629675,Naz Reid
22020,1629675,0022000028,"Dec 26, 2020",MIN @ UTA,W,18,3,8,0.375,2,4,0.5,0,0,0.0,0,2,2,2,1,0,1,1,8,-9,1,2020-21,Regular Season,1629675,Naz Reid
22020,1629675,0022000040,"Dec 27, 2020",MIN @ LAL,L,28,5,13,0.385,1,4,0.25,0,0,0.0,1,4,5,4,2,0,1,5,11,-21,1,2020-21,Regular Season,1629675,Naz Reid
