SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22017,1628384,0021700014,"Oct 19, 2017",TOR vs. CHI,W,17,3,6,0.5,1,3,0.333,2,2,1.0,2,1,3,2,0,0,0,1,9,26,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700027,"Oct 21, 2017",TOR vs. PHI,W,15,1,3,0.333,1,2,0.5,0,0,0.0,0,3,3,2,1,0,0,3,3,4,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700046,"Oct 23, 2017",TOR @ SAS,L,15,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,4,4,3,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700063,"Oct 25, 2017",TOR @ GSW,L,18,3,6,0.5,2,4,0.5,0,0,0.0,4,0,4,2,0,0,1,0,8,8,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700076,"Oct 27, 2017",TOR @ LAL,W,19,2,8,0.25,1,3,0.333,2,3,0.667,0,1,1,1,1,0,0,1,7,-3,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700099,"Oct 30, 2017",TOR @ POR,W,22,2,8,0.25,0,5,0.0,0,0,0.0,2,1,3,0,2,0,0,1,4,5,2,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700114,"Nov 01, 2017",TOR @ DEN,L,17,2,5,0.4,2,3,0.667,0,0,0.0,0,1,1,2,2,0,0,2,6,4,2,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700128,"Nov 03, 2017",TOR @ UTA,W,18,2,3,0.667,1,2,0.5,1,2,0.5,0,3,3,2,0,0,0,1,6,5,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700139,"Nov 05, 2017",TOR vs. WAS,L,14,0,2,0.0,0,0,0.0,0,2,0.0,0,2,2,1,1,1,0,3,0,4,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700153,"Nov 07, 2017",TOR vs. CHI,W,12,2,4,0.5,2,3,0.667,1,2,0.5,1,2,3,2,2,0,2,0,7,-4,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700165,"Nov 09, 2017",TOR vs. NOP,W,14,3,4,0.75,1,2,0.5,1,2,0.5,0,2,2,0,1,0,1,1,8,8,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700188,"Nov 12, 2017",TOR @ BOS,L,22,2,3,0.667,0,1,0.0,3,4,0.75,1,3,4,0,1,0,1,4,7,-10,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700202,"Nov 14, 2017",TOR @ HOU,W,30,6,8,0.75,3,4,0.75,1,2,0.5,0,2,2,1,1,0,0,4,16,22,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700211,"Nov 15, 2017",TOR @ NOP,W,14,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,1,0,1,3,5,-9,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700221,"Nov 17, 2017",TOR vs. NYK,W,30,5,10,0.5,1,6,0.167,0,0,0.0,0,1,1,0,0,0,0,1,11,25,2,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700237,"Nov 19, 2017",TOR vs. WAS,W,20,2,5,0.4,1,4,0.25,0,0,0.0,1,1,2,0,1,0,0,2,5,-7,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700258,"Nov 22, 2017",TOR @ NYK,L,16,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,1,3,-4,2,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700271,"Nov 24, 2017",TOR @ IND,L,27,3,5,0.6,0,2,0.0,2,2,1.0,0,1,1,0,0,0,0,2,8,-20,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700280,"Nov 25, 2017",TOR @ ATL,W,17,4,4,1.0,3,3,1.0,0,0,0.0,0,1,1,2,2,0,0,3,11,17,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700307,"Nov 29, 2017",TOR vs. CHA,W,19,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,1,0,0,3,1,2017-18,Regular Season,1628384,OG Anunoby
22017,1628384,0021700319,"Dec 01, 2017",TOR vs. IND,W,20,2,5,0.4,0,2,0.0,1,1,1.0,0,1,1,1,1,0,1,2,5,3,1,2017-18,Regular Season,1628384,OG Anunoby
