SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22024,1642349,0022400075,"Oct 24, 2024",OKC @ DEN,W,7,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-1,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400091,"Oct 26, 2024",OKC @ CHI,W,16,2,5,0.4,0,0,0.0,0,0,0.0,0,1,1,3,2,0,1,2,4,0,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400100,"Oct 27, 2024",OKC vs. ATL,W,14,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,3,0,1,0,1,0,12,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400125,"Oct 30, 2024",OKC vs. SAS,W,22,5,6,0.833,1,1,1.0,1,2,0.5,0,4,4,0,2,0,0,0,12,7,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400140,"Nov 01, 2024",OKC @ POR,W,17,3,6,0.5,2,3,0.667,0,0,0.0,2,0,2,2,0,0,1,4,8,11,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400150,"Nov 02, 2024",OKC @ LAC,W,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,4,0,-5,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400163,"Nov 04, 2024",OKC vs. ORL,W,12,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,4,-2,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400177,"Nov 06, 2024",OKC @ DEN,L,9,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,2,3,-4,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400192,"Nov 08, 2024",OKC vs. HOU,W,20,5,6,0.833,1,2,0.5,1,1,1.0,0,2,2,7,3,0,0,2,12,18,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400207,"Nov 10, 2024",OKC vs. GSW,L,21,5,9,0.556,0,1,0.0,2,2,1.0,0,2,2,1,1,0,1,1,12,5,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400215,"Nov 11, 2024",OKC vs. LAC,W,11,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,1,2,2,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400221,"Nov 13, 2024",OKC vs. NOP,W,26,2,4,0.5,0,0,0.0,2,2,1.0,0,2,2,3,2,0,0,2,6,18,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400018,"Nov 15, 2024",OKC vs. PHX,W,23,3,7,0.429,1,2,0.5,0,0,0.0,2,2,4,3,0,0,1,2,7,-2,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400242,"Nov 17, 2024",OKC vs. DAL,L,19,1,5,0.2,0,2,0.0,1,2,0.5,0,1,1,2,1,0,0,3,3,-3,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400025,"Nov 19, 2024",OKC @ SAS,L,13,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,2,2,3,4,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400256,"Nov 20, 2024",OKC vs. POR,W,22,4,8,0.5,2,3,0.667,0,0,0.0,2,2,4,1,2,0,2,1,10,12,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400285,"Nov 25, 2024",OKC @ SAC,W,18,5,7,0.714,1,1,1.0,2,2,1.0,0,0,0,1,0,0,0,1,13,0,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400299,"Nov 27, 2024",OKC @ GSW,W,16,1,8,0.125,0,3,0.0,0,0,0.0,1,0,1,0,1,0,1,2,2,-4,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400048,"Nov 29, 2024",OKC @ LAL,W,18,1,3,0.333,1,3,0.333,1,2,0.5,0,0,0,0,1,0,0,1,4,1,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400310,"Dec 01, 2024",OKC @ HOU,L,7,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,-5,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400055,"Dec 03, 2024",OKC vs. UTA,W,17,2,3,0.667,1,2,0.5,0,0,0.0,1,1,2,1,1,0,1,4,5,1,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400328,"Dec 05, 2024",OKC @ TOR,W,19,6,9,0.667,1,1,1.0,0,0,0.0,0,0,0,3,2,0,0,4,13,8,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400342,"Dec 07, 2024",OKC @ NOP,W,19,4,8,0.5,0,1,0.0,2,2,1.0,0,3,3,4,0,1,1,1,10,11,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022401203,"Dec 10, 2024",OKC vs. DAL,W,10,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,2,1,0,1,2,2,-8,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022401230,"Dec 14, 2024",OKC vs. HOU,W,9,0,0,0.0,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,1,2,8,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400361,"Dec 19, 2024",OKC @ ORL,W,9,1,2,0.5,1,1,1.0,2,2,1.0,0,1,1,2,0,0,1,1,5,7,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400375,"Dec 20, 2024",OKC @ MIA,W,13,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,1,0,0,3,2,2,-15,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400400,"Dec 23, 2024",OKC vs. WAS,W,22,6,7,0.857,2,3,0.667,2,3,0.667,3,9,12,2,1,1,2,2,16,20,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400410,"Dec 26, 2024",OKC @ IND,W,16,4,5,0.8,1,2,0.5,0,1,0.0,0,1,1,0,1,0,0,1,9,1,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400428,"Dec 28, 2024",OKC @ CHA,W,32,4,8,0.5,1,2,0.5,1,1,1.0,1,4,5,4,0,0,1,1,10,7,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400440,"Dec 29, 2024",OKC vs. MEM,W,22,6,11,0.545,3,5,0.6,2,2,1.0,0,1,1,3,1,0,0,3,17,20,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400452,"Dec 31, 2024",OKC vs. MIN,W,18,1,4,0.25,0,3,0.0,1,1,1.0,1,2,3,0,0,0,0,2,3,2,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400466,"Jan 02, 2025",OKC vs. LAC,W,25,3,6,0.5,1,3,0.333,4,4,1.0,1,1,2,3,0,0,2,1,11,-8,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022400473,"Jan 03, 2025",OKC vs. NYK,W,13,3,6,0.5,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,2,8,-4,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022401181,"Apr 11, 2025",OKC @ UTA,W,18,4,8,0.5,0,2,0.0,1,2,0.5,0,0,0,5,1,0,0,5,9,11,1,2024-25,Regular Season,1642349,Ajay Mitchell
22024,1642349,0022401196,"Apr 13, 2025",OKC @ NOP,W,18,3,10,0.3,1,7,0.143,0,0,0.0,1,0,1,2,0,1,1,4,7,2,1,2024-25,Regular Season,1642349,Ajay Mitchell
42024,1642349,0042400141,"Apr 20, 2025",OKC vs. MEM,W,14,2,6,0.333,1,4,0.25,0,0,0.0,0,1,1,2,0,0,0,2,5,-1,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400143,"Apr 24, 2025",OKC @ MEM,W,2,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,1,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400222,"May 07, 2025",OKC vs. DEN,W,13,4,7,0.571,2,2,1.0,0,0,0.0,0,0,0,0,1,0,1,2,10,2,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400226,"May 15, 2025",OKC @ DEN,L,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400227,"May 18, 2025",OKC vs. DEN,W,8,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,1,5,-6,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400311,"May 20, 2025",OKC vs. MIN,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,6,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400313,"May 24, 2025",OKC @ MIN,L,19,6,11,0.545,1,4,0.25,1,1,1.0,0,0,0,1,1,0,0,2,14,-12,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400315,"May 28, 2025",OKC vs. MIN,W,5,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-4,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400401,"Jun 05, 2025",OKC vs. IND,L,4,0,3,0.0,0,1,0.0,0,0,0.0,3,0,3,0,0,0,0,0,0,-3,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400402,"Jun 08, 2025",OKC vs. IND,W,3,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,-1,1,2024-25,Playoffs,1642349,Ajay Mitchell
42024,1642349,0042400406,"Jun 19, 2025",OKC @ IND,L,12,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,4,0,0,2,0,2,13,1,2024-25,Playoffs,1642349,Ajay Mitchell
