SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1641717,0022300070,"Oct 25, 2023",OKC @ CHI,W,19,5,5,1.0,3,3,1.0,0,0,0.0,0,2,2,1,0,1,1,3,13,9,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300081,"Oct 27, 2023",OKC @ CLE,W,19,3,4,0.75,1,1,1.0,2,2,1.0,1,1,2,0,0,0,0,0,9,3,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300095,"Oct 29, 2023",OKC vs. DEN,L,22,3,3,1.0,1,1,1.0,0,0,0.0,1,2,3,1,1,1,0,1,7,-11,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300109,"Oct 30, 2023",OKC vs. DET,W,22,1,2,0.5,0,1,0.0,2,2,1.0,0,4,4,2,0,0,1,2,4,-2,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300121,"Nov 01, 2023",OKC vs. NOP,L,18,1,2,0.5,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,4,4,-4,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300005,"Nov 03, 2023",OKC vs. GSW,L,36,6,10,0.6,1,2,0.5,0,0,0.0,1,1,2,1,0,0,1,1,13,4,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300155,"Nov 06, 2023",OKC vs. ATL,W,24,3,6,0.5,0,3,0.0,0,0,0.0,0,2,2,4,4,0,1,1,6,3,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300167,"Nov 08, 2023",OKC vs. CLE,W,24,5,7,0.714,2,3,0.667,2,2,1.0,1,2,3,2,0,0,2,3,14,6,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300016,"Nov 10, 2023",OKC @ SAC,L,24,3,7,0.429,2,5,0.4,0,0,0.0,1,2,3,2,0,1,0,1,8,3,1,2023-24,Regular Season,1641717,Cason Wallace
22023,1641717,0022300185,"Nov 12, 2023",OKC @ PHX,W,17,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,3,0,2,1,2023-24,Regular Season,1641717,Cason Wallace
