SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22022,1631213,0022200038,"Oct 23, 2022",ATL vs. CHA,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200070,"Oct 28, 2022",ATL @ DET,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,2,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200099,"Oct 31, 2022",ATL @ TOR,L,6,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,-6,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200110,"Nov 02, 2022",ATL @ NYK,W,1,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-2,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200149,"Nov 07, 2022",ATL vs. MIL,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200204,"Nov 14, 2022",ATL @ MIL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200214,"Nov 16, 2022",ATL vs. BOS,L,5,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,4,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200404,"Dec 12, 2022",ATL @ MEM,L,12,1,7,0.143,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200428,"Dec 16, 2022",ATL @ CHA,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-2,1,2022-23,Regular Season,1631213,Tyrese Martin
22022,1631213,0022200481,"Dec 23, 2022",ATL vs. DET,W,3,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,1,4,0,1,2022-23,Regular Season,1631213,Tyrese Martin
