SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22022,1631123,0022200840,"Feb 10, 2023",MIA vs. HOU,W,14,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,1,0,2,2,2,2,1,2022-23,Regular Season,1631123,Jamaree Bouyea
22022,1631123,0022200848,"Feb 11, 2023",MIA @ ORL,W,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0,-8,1,2022-23,Regular Season,1631123,Jamaree Bouyea
22022,1631123,0022200861,"Feb 13, 2023",MIA vs. DEN,L,28,4,8,0.5,2,4,0.5,0,0,0.0,1,1,2,3,3,1,1,0,10,-10,1,2022-23,Regular Season,1631123,Jamaree Bouyea
22022,1631123,0022200878,"Feb 15, 2023",MIA @ BKN,L,13,1,2,0.5,0,0,0.0,1,2,0.5,0,3,3,1,0,0,0,2,3,-5,1,2022-23,Regular Season,1631123,Jamaree Bouyea
22022,1631123,0022201016,"Mar 12, 2023",WAS @ PHI,L,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,4,1,2022-23,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022300187,"Nov 12, 2023",POR @ LAL,L,12,3,6,0.5,0,1,0.0,0,0,0.0,1,3,4,3,0,0,1,0,6,-3,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022300023,"Nov 14, 2023",POR @ UTA,L,17,0,5,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,4,2,0,-17,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022300199,"Nov 15, 2023",POR vs. CLE,L,9,1,6,0.167,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,1,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022300036,"Nov 17, 2023",POR vs. LAL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022300215,"Nov 19, 2023",POR vs. OKC,L,16,1,4,0.25,0,2,0.0,0,0,0.0,1,1,2,5,0,0,2,0,2,-6,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022300041,"Nov 21, 2023",POR @ PHX,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,3,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022301151,"Apr 09, 2024",SAS @ MEM,W,3,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,4,-1,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022301163,"Apr 10, 2024",SAS @ OKC,L,12,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2,-4,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22023,1631123,0022301197,"Apr 14, 2024",SAS vs. DET,W,22,2,4,0.5,1,1,1.0,0,0,0.0,1,7,8,2,0,0,1,5,5,12,1,2023-24,Regular Season,1631123,Jamaree Bouyea
22024,1631123,0022400897,"Mar 05, 2025",MIL vs. DAL,W,5,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,2,-1,1,2024-25,Regular Season,1631123,Jamaree Bouyea
22024,1631123,0022401083,"Mar 30, 2025",MIL vs. ATL,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-2,1,2024-25,Regular Season,1631123,Jamaree Bouyea
22024,1631123,0022401115,"Apr 03, 2025",MIL @ PHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2024-25,Regular Season,1631123,Jamaree Bouyea
22024,1631123,0022401161,"Apr 10, 2025",MIL vs. NOP,W,6,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,2,1,0,1,1,0,2,1,2024-25,Regular Season,1631123,Jamaree Bouyea
22024,1631123,0022401192,"Apr 13, 2025",MIL vs. DET,W,47,5,10,0.5,1,4,0.25,4,6,0.667,0,3,3,7,2,2,5,1,15,5,1,2024-25,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500254,"Nov 18, 2025",PHX @ POR,W,3,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,1,0,1,0,0,3,-3,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500290,"Nov 24, 2025",PHX vs. HOU,L,3,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,-2,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500068,"Nov 26, 2025",PHX @ SAC,W,19,4,6,0.667,3,5,0.6,0,0,0.0,0,1,1,0,0,0,0,0,11,-6,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500075,"Nov 28, 2025",PHX @ OKC,L,14,4,6,0.667,1,3,0.333,0,0,0.0,0,2,2,0,0,0,0,1,9,2,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500299,"Nov 29, 2025",PHX vs. DEN,L,15,1,4,0.25,0,1,0.0,1,2,0.5,1,1,2,3,1,1,0,1,3,7,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500317,"Dec 01, 2025",PHX @ LAL,W,23,3,3,1.0,1,1,1.0,0,0,0.0,0,1,1,5,3,0,1,2,7,19,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500346,"Dec 05, 2025",PHX @ HOU,L,18,7,11,0.636,2,3,0.667,2,2,1.0,1,1,2,1,1,0,0,1,18,-3,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500365,"Dec 08, 2025",PHX @ MIN,W,12,2,2,1.0,1,1,1.0,0,0,0.0,1,0,1,1,0,0,0,2,5,11,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022501203,"Dec 10, 2025",PHX @ OKC,L,28,6,9,0.667,2,3,0.667,0,0,0.0,0,2,2,6,1,1,2,0,14,-8,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022501228,"Dec 14, 2025",PHX vs. LAL,L,6,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-2,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500378,"Dec 18, 2025",PHX vs. GSW,W,14,1,4,0.25,0,1,0.0,2,2,1.0,0,4,4,1,1,1,0,0,4,2,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500392,"Dec 20, 2025",PHX @ GSW,L,16,2,5,0.4,0,2,0.0,1,1,1.0,1,1,2,2,1,2,1,0,5,-2,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500418,"Dec 23, 2025",PHX vs. LAL,W,24,7,10,0.7,0,3,0.0,0,0,0.0,0,4,4,2,0,1,1,0,14,4,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500429,"Dec 26, 2025",PHX @ NOP,W,12,1,6,0.167,0,3,0.0,1,2,0.5,1,1,2,2,0,0,0,1,3,-4,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500434,"Dec 27, 2025",PHX @ NOP,W,12,5,6,0.833,2,2,1.0,0,0,0.0,1,2,3,0,0,0,0,1,12,6,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500448,"Dec 29, 2025",PHX @ WAS,W,13,0,6,0.0,0,3,0.0,2,2,1.0,0,1,1,3,0,0,2,0,2,-8,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500465,"Dec 31, 2025",PHX @ CLE,L,15,7,12,0.583,2,3,0.667,2,2,1.0,2,1,3,4,0,0,0,0,18,-4,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500483,"Jan 02, 2026",PHX vs. SAC,W,23,6,9,0.667,0,2,0.0,0,1,0.0,1,5,6,1,4,0,0,2,12,20,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500499,"Jan 04, 2026",PHX vs. OKC,W,9,0,0,0.0,0,0,0.0,0,2,0.0,1,1,2,1,0,0,0,2,0,-8,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500655,"Jan 25, 2026",PHX vs. MIA,L,13,2,6,0.333,0,2,0.0,1,2,0.5,1,1,2,0,0,0,2,2,5,-12,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500669,"Jan 27, 2026",PHX vs. BKN,W,24,5,11,0.455,0,2,0.0,0,0,0.0,0,3,3,1,1,1,2,2,10,9,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500685,"Jan 29, 2026",PHX vs. DET,W,20,3,8,0.375,0,3,0.0,0,0,0.0,0,2,2,1,2,0,1,0,6,15,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500693,"Jan 30, 2026",PHX vs. CLE,W,21,3,6,0.5,1,3,0.333,0,0,0.0,0,0,0,5,1,1,2,1,7,1,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500709,"Feb 01, 2026",PHX vs. LAC,L,10,1,4,0.25,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,2,-13,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500725,"Feb 03, 2026",PHX @ POR,W,15,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,1,0,1,0,4,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500739,"Feb 05, 2026",PHX vs. GSW,L,20,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,4,2,0,1,1,4,4,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500754,"Feb 07, 2026",PHX vs. PHI,L,8,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,2,0,2,-15,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500785,"Feb 11, 2026",PHX vs. OKC,L,27,4,12,0.333,1,2,0.5,2,2,1.0,0,3,3,6,0,1,1,1,11,-12,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500798,"Feb 19, 2026",PHX @ SAS,L,18,3,7,0.429,1,3,0.333,0,0,0.0,1,2,3,2,1,1,2,1,7,-11,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500811,"Feb 21, 2026",PHX vs. ORL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500826,"Feb 22, 2026",PHX vs. POR,L,21,3,8,0.375,0,1,0.0,2,2,1.0,0,2,2,3,2,1,1,3,8,-5,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500839,"Feb 24, 2026",PHX vs. BOS,L,19,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,2,1,0,0,2,0,-6,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500855,"Feb 26, 2026",PHX vs. LAL,W,14,1,3,0.333,0,2,0.0,4,7,0.571,1,1,2,3,2,1,0,2,6,16,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500954,"Mar 12, 2026",PHX @ IND,W,4,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2025-26,Regular Season,1631123,Jamaree Bouyea
22025,1631123,0022500996,"Mar 17, 2026",PHX @ MIN,L,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2025-26,Regular Season,1631123,Jamaree Bouyea
