SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22019,1629640,0021900218,"Nov 22, 2019",SAS @ PHI,L,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021900531,"Jan 04, 2020",SAS @ MIL,L,4,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,9,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021900734,"Feb 01, 2020",SAS vs. CHA,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,5,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021900754,"Feb 04, 2020",SAS @ LAL,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021900846,"Feb 23, 2020",SAS @ OKC,L,13,4,10,0.4,0,1,0.0,1,2,0.5,2,1,3,3,0,0,1,2,9,-5,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021900909,"Mar 03, 2020",SAS @ CHA,W,15,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,1,1,1,1,0,7,5,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021900931,"Mar 06, 2020",SAS @ BKN,L,21,4,6,0.667,1,2,0.5,4,6,0.667,0,5,5,0,1,0,1,3,13,11,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021900954,"Mar 08, 2020",SAS @ CLE,L,17,2,3,0.667,0,0,0.0,2,2,1.0,1,3,4,1,2,0,0,2,6,5,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021900965,"Mar 10, 2020",SAS vs. DAL,W,13,1,3,0.333,0,0,0.0,0,0,0.0,2,0,2,1,1,0,0,2,2,-1,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021901237,"Jul 31, 2020",SAS vs. SAC,W,30,3,7,0.429,2,4,0.5,0,2,0.0,1,5,6,2,1,0,0,1,8,7,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021901246,"Aug 02, 2020",SAS @ MEM,W,25,4,6,0.667,1,2,0.5,0,2,0.0,2,4,6,0,1,0,1,2,9,-2,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021901254,"Aug 03, 2020",SAS @ PHI,L,22,4,6,0.667,1,1,1.0,6,7,0.857,0,3,3,1,0,0,0,2,15,3,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021901264,"Aug 05, 2020",SAS vs. DEN,L,26,7,10,0.7,2,2,1.0,4,4,1.0,1,5,6,2,1,0,0,2,20,8,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021901274,"Aug 07, 2020",SAS vs. UTA,W,24,1,2,0.5,0,1,0.0,2,2,1.0,0,5,5,1,3,1,2,2,4,5,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021901287,"Aug 09, 2020",SAS @ NOP,W,26,2,3,0.667,1,1,1.0,4,4,1.0,0,1,1,0,2,0,2,5,9,-4,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021901298,"Aug 11, 2020",SAS vs. HOU,W,26,8,12,0.667,3,3,1.0,5,5,1.0,1,10,11,3,0,0,2,1,24,21,1,2019-20,Regular Season,1629640,Keldon Johnson
22019,1629640,0021901314,"Aug 13, 2020",SAS @ UTA,L,30,8,12,0.667,1,3,0.333,7,8,0.875,0,2,2,0,1,0,3,4,24,4,1,2019-20,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000017,"Dec 23, 2020",SAS @ MEM,W,32,5,10,0.5,1,3,0.333,5,7,0.714,0,5,5,3,3,0,2,1,16,3,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000027,"Dec 26, 2020",SAS vs. TOR,W,28,5,15,0.333,0,2,0.0,2,2,1.0,2,7,9,0,1,1,2,2,12,-10,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000034,"Dec 27, 2020",SAS @ NOP,L,31,5,10,0.5,2,5,0.4,2,2,1.0,2,9,11,5,1,2,2,3,14,3,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000060,"Dec 30, 2020",SAS vs. LAL,L,24,3,9,0.333,1,2,0.5,0,0,0.0,1,2,3,3,0,0,2,3,7,-4,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000075,"Jan 01, 2021",SAS vs. LAL,L,35,7,11,0.636,5,9,0.556,7,8,0.875,1,9,10,1,2,1,4,3,26,-12,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000089,"Jan 03, 2021",SAS vs. UTA,L,28,10,16,0.625,0,0,0.0,2,2,1.0,2,5,7,2,2,0,3,2,22,-20,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000105,"Jan 05, 2021",SAS @ LAC,W,30,4,11,0.364,1,3,0.333,0,0,0.0,4,7,11,4,0,1,0,4,9,-14,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000121,"Jan 07, 2021",SAS @ LAL,W,31,2,10,0.2,1,2,0.5,0,0,0.0,1,1,2,2,1,0,1,2,5,9,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000138,"Jan 09, 2021",SAS @ MIN,W,42,6,12,0.5,2,5,0.4,3,4,0.75,3,6,9,4,1,0,0,3,17,4,1,2020-21,Regular Season,1629640,Keldon Johnson
22020,1629640,0022000147,"Jan 10, 2021",SAS @ MIN,L,34,1,6,0.167,0,2,0.0,1,2,0.5,0,7,7,1,1,3,2,4,3,-17,1,2020-21,Regular Season,1629640,Keldon Johnson
