SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22017,1628436,0021700812,"Feb 08, 2018",NYK @ TOR,L,22,4,9,0.444,3,7,0.429,0,0,0.0,1,9,10,0,0,4,0,0,11,-10,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021700836,"Feb 11, 2018",NYK @ IND,L,13,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,2,2,0,0,0,0,-14,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021700842,"Feb 12, 2018",NYK @ PHI,L,4,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021700868,"Feb 22, 2018",NYK @ ORL,W,8,0,5,0.0,0,3,0.0,0,0,0.0,2,0,2,1,0,0,0,1,0,1,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021700935,"Mar 02, 2018",NYK @ LAC,L,7,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,1,0,0,2,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021700962,"Mar 06, 2018",NYK @ POR,L,3,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,1,0,0,3,-1,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021700981,"Mar 09, 2018",NYK @ MIL,L,3,1,5,0.2,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,-6,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021700992,"Mar 11, 2018",NYK vs. TOR,L,34,7,15,0.467,3,7,0.429,1,2,0.5,4,0,4,2,0,1,1,2,18,-13,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021701038,"Mar 17, 2018",NYK vs. CHA,W,16,2,5,0.4,2,5,0.4,0,0,0.0,0,5,5,1,1,1,0,1,6,-9,1,2017-18,Regular Season,1628436,Luke Kornet
22017,1628436,0021701055,"Mar 19, 2018",NYK vs. CHI,W,9,4,7,0.571,1,4,0.25,0,0,0.0,1,2,3,1,0,1,0,2,9,6,1,2017-18,Regular Season,1628436,Luke Kornet
