SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22024,1641989,0022400533,"Jan 11, 2025",UTA @ PHX,L,9,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,2,0,-3,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400546,"Jan 12, 2025",UTA vs. BKN,W,19,1,5,0.2,1,4,0.25,0,2,0.0,1,2,3,1,1,0,1,5,3,15,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400569,"Jan 15, 2025",UTA vs. CHA,L,22,3,8,0.375,2,6,0.333,0,0,0.0,0,1,1,2,2,0,1,1,8,11,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400581,"Jan 17, 2025",UTA @ NOP,L,18,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,2,0,0,1,1,13,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400605,"Jan 20, 2025",UTA @ NOP,L,10,0,2,0.0,0,1,0.0,2,2,1.0,2,0,2,1,1,0,0,0,2,-7,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400618,"Jan 22, 2025",UTA @ OKC,L,18,2,5,0.4,1,4,0.25,0,0,0.0,2,0,2,1,1,0,0,2,5,-6,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400643,"Jan 25, 2025",UTA @ MEM,L,22,4,9,0.444,3,7,0.429,0,0,0.0,2,2,4,2,3,1,1,3,11,5,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400658,"Jan 27, 2025",UTA vs. MIL,L,10,1,3,0.333,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,3,2,5,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400661,"Jan 28, 2025",UTA @ GSW,L,6,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,0,0,-7,1,2024-25,Regular Season,1641989,Elijah Harkless
22024,1641989,0022400768,"Feb 10, 2025",UTA @ LAL,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,5,1,2024-25,Regular Season,1641989,Elijah Harkless
22025,1641989,0022500135,"Oct 29, 2025",UTA vs. POR,L,12,0,1,0.0,0,1,0.0,1,2,0.5,1,2,3,1,2,0,0,1,1,17,1,2025-26,Regular Season,1641989,Elijah Harkless
22025,1641989,0022500025,"Oct 31, 2025",UTA @ PHX,L,12,2,5,0.4,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,2,5,0,1,2025-26,Regular Season,1641989,Elijah Harkless
22025,1641989,0022500158,"Nov 03, 2025",UTA @ BOS,W,21,1,4,0.25,0,2,0.0,1,1,1.0,1,0,1,2,1,0,3,5,3,5,1,2025-26,Regular Season,1641989,Elijah Harkless
22025,1641989,0022500172,"Nov 05, 2025",UTA @ DET,L,10,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,3,-9,1,2025-26,Regular Season,1641989,Elijah Harkless
22025,1641989,0022500036,"Nov 07, 2025",UTA @ MIN,L,7,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,1,-1,1,2025-26,Regular Season,1641989,Elijah Harkless
22025,1641989,0022500211,"Nov 11, 2025",UTA vs. IND,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1,2025-26,Regular Season,1641989,Elijah Harkless
22025,1641989,0022500253,"Nov 18, 2025",UTA @ LAL,L,3,0,0,0.0,0,0,0.0,4,4,1.0,0,0,0,1,1,0,0,0,4,5,1,2025-26,Regular Season,1641989,Elijah Harkless
