SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1631131,0022300315,"Dec 13, 2023",IND @ MIL,L,6,0,1,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,1,4,1,2023-24,Regular Season,1631131,Oscar Tshiebwe
22023,1631131,0022300328,"Dec 15, 2023",IND @ WAS,L,4,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,3,1,2023-24,Regular Season,1631131,Oscar Tshiebwe
22023,1631131,0022300338,"Dec 16, 2023",IND @ MIN,L,7,3,6,0.5,0,0,0.0,2,2,1.0,2,2,4,1,0,0,0,0,8,8,1,2023-24,Regular Season,1631131,Oscar Tshiebwe
22023,1631131,0022300493,"Jan 06, 2024",IND vs. BOS,L,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1,2023-24,Regular Season,1631131,Oscar Tshiebwe
22023,1631131,0022300533,"Jan 12, 2024",IND @ ATL,W,4,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,4,-2,1,2023-24,Regular Season,1631131,Oscar Tshiebwe
22023,1631131,0022300564,"Jan 15, 2024",IND @ UTA,L,12,1,5,0.2,0,0,0.0,2,2,1.0,4,2,6,0,2,0,0,0,4,-1,1,2023-24,Regular Season,1631131,Oscar Tshiebwe
22023,1631131,0022300782,"Feb 14, 2024",IND @ TOR,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,-6,1,2023-24,Regular Season,1631131,Oscar Tshiebwe
22023,1631131,0022300863,"Mar 01, 2024",IND @ NOP,L,5,1,3,0.333,0,0,0.0,1,2,0.5,2,0,2,0,0,1,0,1,3,8,1,2023-24,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022400298,"Nov 27, 2024",UTA vs. DEN,L,16,0,0,0.0,0,0,0.0,3,4,0.75,3,6,9,0,2,0,1,3,3,-6,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022400546,"Jan 12, 2025",UTA vs. BKN,W,18,1,1,1.0,0,0,0.0,1,2,0.5,1,4,5,0,2,0,0,6,3,4,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022400581,"Jan 17, 2025",UTA @ NOP,L,12,3,5,0.6,0,0,0.0,2,2,1.0,1,5,6,0,0,0,0,1,8,13,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022400751,"Feb 08, 2025",UTA @ LAC,L,8,0,0,0.0,0,0,0.0,2,2,1.0,2,1,3,1,1,0,0,2,2,-9,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022400872,"Mar 02, 2025",UTA vs. NOP,L,20,8,9,0.889,0,0,0.0,0,0,0.0,4,9,13,1,1,0,0,1,16,25,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022400881,"Mar 03, 2025",UTA vs. DET,L,6,0,2,0.0,0,0,0.0,1,2,0.5,1,2,3,1,0,0,1,1,1,-5,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022400894,"Mar 05, 2025",UTA @ WAS,L,19,3,6,0.5,0,0,0.0,0,0,0.0,4,9,13,0,0,0,0,0,6,0,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022400627,"Mar 19, 2025",UTA vs. WAS,W,18,1,3,0.333,0,0,0.0,2,2,1.0,2,8,10,2,0,0,1,0,4,10,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022401050,"Mar 25, 2025",UTA vs. MEM,L,18,2,4,0.5,0,0,0.0,2,3,0.667,0,3,3,0,0,0,0,1,6,-5,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022401073,"Mar 28, 2025",UTA @ DEN,L,26,2,5,0.4,0,0,0.0,3,3,1.0,7,3,10,1,1,0,2,2,7,-31,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022401089,"Mar 31, 2025",UTA @ CHA,L,24,3,4,0.75,0,0,0.0,0,0,0.0,5,6,11,1,2,0,1,1,6,2,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022401162,"Apr 09, 2025",UTA vs. POR,W,19,7,14,0.5,0,0,0.0,3,5,0.6,7,3,10,0,0,0,0,3,17,-2,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022401181,"Apr 11, 2025",UTA vs. OKC,L,25,5,9,0.556,0,0,0.0,0,1,0.0,5,9,14,0,1,0,1,1,10,-15,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22024,1631131,0022401195,"Apr 13, 2025",UTA @ MIN,L,25,7,8,0.875,0,0,0.0,4,5,0.8,4,8,12,2,3,1,3,2,18,8,1,2024-25,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500475,"Jan 01, 2026",UTA @ LAC,L,15,1,4,0.25,0,0,0.0,0,1,0.0,2,4,6,1,1,0,0,2,2,-3,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500735,"Feb 05, 2026",UTA @ ATL,L,10,2,2,1.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,1,1,4,-1,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500790,"Feb 12, 2026",UTA vs. POR,L,5,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,3,0,0,0,0,0,8,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500804,"Feb 20, 2026",UTA @ MEM,L,14,1,2,0.5,0,0,0.0,0,0,0.0,1,5,6,0,0,0,0,5,2,6,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500856,"Feb 26, 2026",UTA vs. NOP,L,10,4,4,1.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,8,8,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500867,"Feb 28, 2026",UTA vs. NOP,L,9,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,1,0,6,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500881,"Mar 02, 2026",UTA vs. DEN,L,18,4,5,0.8,0,0,0.0,0,0,0.0,2,6,8,1,0,1,0,1,8,-2,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500895,"Mar 04, 2026",UTA @ PHI,L,5,1,1,1.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,1,2,0,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500919,"Mar 07, 2026",UTA @ MIL,L,12,3,4,0.75,0,0,0.0,0,1,0.0,1,4,5,1,0,0,0,4,6,-9,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500934,"Mar 09, 2026",UTA vs. GSW,W,20,4,6,0.667,0,0,0.0,2,2,1.0,4,4,8,1,1,0,0,1,10,10,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500949,"Mar 11, 2026",UTA vs. NYK,L,15,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,1,1,0,2,1,2,5,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500967,"Mar 13, 2026",UTA @ POR,L,20,4,8,0.5,0,0,0.0,0,0,0.0,2,3,5,1,1,0,0,0,8,-16,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022500982,"Mar 15, 2026",UTA @ SAC,L,23,3,5,0.6,0,0,0.0,3,6,0.5,4,4,8,1,3,0,0,0,9,5,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
22025,1631131,0022501004,"Mar 18, 2026",UTA @ MIN,L,10,2,4,0.5,0,0,0.0,1,2,0.5,2,2,4,0,0,0,0,0,5,-11,1,2025-26,Regular Season,1631131,Oscar Tshiebwe
