SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22020,1630264,0022000235,"May 05, 2021",WAS @ MIL,L,18,5,10,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,3,11,5,1,2020-21,Regular Season,1630264,Anthony Gill
22020,1630264,0022000997,"May 06, 2021",WAS @ TOR,W,9,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-20,1,2020-21,Regular Season,1630264,Anthony Gill
22020,1630264,0022000204,"May 14, 2021",WAS vs. CLE,W,22,2,4,0.5,0,0,0.0,8,8,1.0,2,3,5,1,2,1,1,2,12,16,1,2020-21,Regular Season,1630264,Anthony Gill
22020,1630264,0022001080,"May 16, 2021",WAS vs. CHA,W,7,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,4,1,2020-21,Regular Season,1630264,Anthony Gill
42020,1630264,0042000102,"May 26, 2021",WAS @ PHI,L,8,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,1,2020-21,Playoffs,1630264,Anthony Gill
42020,1630264,0042000103,"May 29, 2021",WAS vs. PHI,L,12,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,2,0,-11,1,2020-21,Playoffs,1630264,Anthony Gill
42020,1630264,0042000104,"May 31, 2021",WAS vs. PHI,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1,1,2020-21,Playoffs,1630264,Anthony Gill
22020,1630264,0022000951,"Apr 30, 2021",WAS @ CLE,W,19,4,5,0.8,1,2,0.5,1,2,0.5,1,0,1,4,2,0,0,4,10,20,1,2020-21,Regular Season,1630264,Anthony Gill
22020,1630264,0022000919,"Apr 26, 2021",WAS vs. SAS,L,14,6,7,0.857,1,1,1.0,0,1,0.0,1,2,3,0,1,1,0,2,13,2,1,2020-21,Regular Season,1630264,Anthony Gill
22020,1630264,0022000197,"Apr 25, 2021",WAS vs. CLE,W,14,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,1,0,0,1,3,5,-16,1,2020-21,Regular Season,1630264,Anthony Gill
