SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1641731,0022300064,"Oct 25, 2023",WAS @ IND,L,23,1,3,0.333,1,1,1.0,0,0,0.0,0,4,4,3,0,3,3,1,3,-13,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300089,"Oct 28, 2023",WAS vs. MEM,W,14,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,1,1,0,-6,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300103,"Oct 30, 2023",WAS vs. BOS,L,28,4,12,0.333,1,6,0.167,0,0,0.0,2,3,5,1,1,2,1,0,9,-5,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300117,"Nov 01, 2023",WAS @ ATL,L,28,2,5,0.4,1,4,0.25,0,2,0.0,1,2,3,3,3,0,3,2,5,15,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300003,"Nov 03, 2023",WAS @ MIA,L,26,4,5,0.8,1,2,0.5,0,2,0.0,0,3,3,3,0,0,1,1,9,13,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300148,"Nov 06, 2023",WAS @ PHI,L,19,3,7,0.429,1,3,0.333,3,3,1.0,0,3,3,0,0,1,0,3,10,-15,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300157,"Nov 08, 2023",WAS @ CHA,W,30,2,3,0.667,2,3,0.667,0,0,0.0,0,2,2,1,0,0,0,5,6,23,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300009,"Nov 10, 2023",WAS vs. CHA,L,20,2,4,0.5,2,4,0.5,4,4,1.0,0,2,2,1,0,0,2,1,10,15,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300178,"Nov 12, 2023",WAS @ BKN,L,34,8,12,0.667,4,7,0.571,0,1,0.0,1,6,7,3,4,0,2,0,20,2,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300189,"Nov 13, 2023",WAS @ TOR,L,33,4,7,0.571,1,1,1.0,1,3,0.333,1,6,7,3,3,1,0,4,10,-18,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300192,"Nov 15, 2023",WAS vs. DAL,L,28,4,5,0.8,2,2,1.0,0,0,0.0,0,8,8,2,0,1,0,3,10,-8,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300028,"Nov 17, 2023",WAS vs. NYK,L,31,2,7,0.286,0,3,0.0,2,3,0.667,0,3,3,4,0,1,2,1,6,-17,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300219,"Nov 20, 2023",WAS vs. MIL,L,25,5,7,0.714,2,2,1.0,0,0,0.0,1,2,3,1,2,0,1,3,12,4,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300225,"Nov 22, 2023",WAS @ CHA,L,19,2,6,0.333,0,2,0.0,3,3,1.0,0,0,0,2,0,1,1,4,7,-16,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300241,"Nov 25, 2023",WAS vs. ATL,L,32,3,5,0.6,1,2,0.5,0,0,0.0,0,3,3,2,1,1,3,1,7,-1,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300253,"Nov 27, 2023",WAS @ DET,W,28,2,6,0.333,0,2,0.0,1,1,1.0,0,4,4,0,2,1,2,1,5,19,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300259,"Nov 29, 2023",WAS @ ORL,L,25,2,5,0.4,1,1,1.0,2,2,1.0,1,4,5,0,0,0,2,1,7,-17,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300274,"Dec 01, 2023",WAS @ ORL,L,32,6,7,0.857,0,0,0.0,0,0,0.0,1,4,5,0,3,0,2,1,12,1,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022301208,"Dec 06, 2023",WAS vs. PHI,L,28,6,10,0.6,1,5,0.2,1,1,1.0,0,1,1,3,3,0,2,1,14,-7,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022301219,"Dec 08, 2023",WAS @ BKN,L,25,4,6,0.667,1,2,0.5,2,4,0.5,4,6,10,2,0,0,2,3,11,-22,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300295,"Dec 11, 2023",WAS @ PHI,L,31,4,11,0.364,2,7,0.286,3,6,0.5,3,5,8,4,1,1,3,0,13,-33,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300311,"Dec 13, 2023",WAS vs. NOP,L,32,6,9,0.667,4,6,0.667,0,2,0.0,1,4,5,1,1,1,2,3,16,-30,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300328,"Dec 15, 2023",WAS vs. IND,W,30,6,9,0.667,2,3,0.667,3,3,1.0,1,4,5,0,2,1,4,2,17,8,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300347,"Dec 17, 2023",WAS @ PHX,L,20,2,7,0.286,2,6,0.333,0,0,0.0,0,1,1,1,0,0,0,3,6,-11,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300358,"Dec 18, 2023",WAS @ SAC,L,33,3,7,0.429,0,2,0.0,5,7,0.714,1,3,4,2,0,1,0,1,11,1,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300381,"Dec 21, 2023",WAS @ POR,W,18,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,5,2,-13,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300386,"Dec 22, 2023",WAS @ GSW,L,32,3,8,0.375,1,2,0.5,0,0,0.0,0,3,3,2,1,1,2,1,7,-12,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300407,"Dec 26, 2023",WAS vs. ORL,L,26,1,1,1.0,0,0,0.0,2,2,1.0,2,4,6,3,0,2,2,4,4,-2,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300416,"Dec 27, 2023",WAS vs. TOR,L,25,4,8,0.5,1,4,0.25,1,2,0.5,0,4,4,2,0,0,1,2,10,-11,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300430,"Dec 29, 2023",WAS vs. BKN,W,20,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,2,0,0,1,3,4,7,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300445,"Dec 31, 2023",WAS vs. ATL,L,17,0,3,0.0,0,1,0.0,2,2,1.0,1,3,4,3,0,0,0,2,2,-18,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300465,"Jan 03, 2024",WAS @ CLE,L,33,2,12,0.167,1,4,0.25,0,2,0.0,1,4,5,1,3,2,2,4,5,-24,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300482,"Jan 05, 2024",WAS @ CLE,L,36,6,13,0.462,2,4,0.5,1,3,0.333,2,5,7,1,1,3,1,0,15,-9,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300494,"Jan 06, 2024",WAS vs. NYK,L,28,2,5,0.4,0,2,0.0,0,0,0.0,2,1,3,3,0,0,3,3,4,-22,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300508,"Jan 08, 2024",WAS vs. OKC,L,25,1,4,0.25,1,2,0.5,2,2,1.0,1,4,5,3,0,2,0,2,5,1,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300520,"Jan 10, 2024",WAS @ IND,L,22,1,5,0.2,0,1,0.0,3,4,0.75,1,5,6,1,0,1,0,4,5,-7,1,2023-24,Regular Season,1641731,Bilal Coulibaly
22023,1641731,0022300543,"Jan 13, 2024",WAS @ ATL,W,28,3,8,0.375,1,2,0.5,5,6,0.833,0,6,6,3,2,1,1,4,12,23,1,2023-24,Regular Season,1641731,Bilal Coulibaly
