SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1641715,0022300066,"Oct 25, 2023",HOU @ ORL,L,10,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-12,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300137,"Nov 04, 2023",HOU vs. SAC,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300153,"Nov 06, 2023",HOU vs. SAC,W,12,3,5,0.6,0,1,0.0,1,2,0.5,0,1,1,1,1,0,0,1,7,-12,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300263,"Nov 29, 2023",HOU @ DEN,L,6,3,4,0.75,1,2,0.5,1,2,0.5,0,2,2,0,0,0,0,1,8,6,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300291,"Dec 02, 2023",HOU @ LAL,L,3,1,2,0.5,0,0,0.0,3,6,0.5,1,2,3,1,0,0,0,0,5,8,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300385,"Dec 22, 2023",HOU vs. DAL,W,14,6,12,0.5,1,6,0.167,1,2,0.5,2,2,4,0,2,0,0,2,14,-10,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300418,"Dec 27, 2023",HOU vs. PHX,L,18,4,7,0.571,3,4,0.75,1,2,0.5,0,1,1,0,0,1,1,2,12,1,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300453,"Jan 01, 2024",HOU vs. DET,W,8,4,5,0.8,1,1,1.0,0,0,0.0,1,3,4,0,0,0,0,0,9,-2,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300469,"Jan 03, 2024",HOU vs. BKN,W,17,4,7,0.571,3,5,0.6,0,0,0.0,0,2,2,1,2,0,1,3,11,-6,1,2023-24,Regular Season,1641715,Cam Whitmore
22023,1641715,0022300485,"Jan 05, 2024",HOU vs. MIN,L,15,4,10,0.4,1,4,0.25,2,2,1.0,0,2,2,0,2,0,4,1,11,-9,1,2023-24,Regular Season,1641715,Cam Whitmore
