SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,SEASON_TYPE,TEAM_ABBR
22015,1610612751,BKN,Brooklyn Nets,0021500006,10/28/2015,BKN vs. CHI,L,238,100,39,93,0.419,0,9,0,22,28,0.786,16,29,45,19,11,5,13,18,-15,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500028,10/30/2015,BKN @ SAS,L,238,75,31,77,0.403,5,16,0.313,8,15,0.533,2,30,32,17,6,6,15,17,-27,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500036,10/31/2015,BKN @ MEM,L,240,91,38,79,0.481,3,13,0.231,12,18,0.667,8,35,43,21,3,3,12,22,-10,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500047,11/2/2015,BKN vs. MIL,L,240,96,36,79,0.456,6,19,0.316,18,22,0.818,10,25,35,21,3,4,18,23,-9,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500062,11/4/2015,BKN @ ATL,L,240,87,36,83,0.434,5,21,0.238,10,13,0.769,14,29,43,24,9,4,19,19,-14,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500077,11/6/2015,BKN vs. LAL,L,240,98,40,93,0.43,3,19,0.158,15,20,0.75,14,32,46,21,6,6,15,29,-6,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500089,11/7/2015,BKN @ MIL,L,240,86,34,82,0.415,3,9,0.333,15,19,0.789,17,35,52,18,11,3,18,18,-8,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500119,11/11/2015,BKN @ HOU,W,241,106,42,98,0.429,8,17,0.471,14,17,0.824,20,40,60,25,5,11,11,13,8,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500137,11/13/2015,BKN @ SAC,L,240,109,42,89,0.472,8,21,0.381,17,21,0.81,9,35,44,24,7,4,15,24,-2,2015-16,Regular Season,BKN
22015,1610612751,BKN,Brooklyn Nets,0021500144,11/14/2015,BKN @ GSW,L,265,99,41,98,0.418,2,18,0.111,15,16,0.938,11,39,50,22,12,4,12,13,-8,2015-16,Regular Season,BKN
