SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,SEASON_TYPE,TEAM_ABBR
22015,1610612743,DEN,Denver Nuggets,21500010,10/28/2015,DEN @ HOU,W,241,105,40,79,0.506,13,27,0.481,12,18,0.667,9,40,49,26,9,10,21,26,20,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500029,10/30/2015,DEN vs. MIN,L,240,78,29,95,0.305,5,25,0.2,15,20,0.75,17,34,51,15,7,4,14,27,-17,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500044,11/1/2015,DEN @ OKC,L,239,93,35,92,0.38,9,26,0.346,14,19,0.737,14,21,35,20,8,3,13,17,-24,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500059,11/3/2015,DEN @ LAL,W,240,120,43,85,0.506,7,20,0.35,27,31,0.871,11,38,49,30,5,7,14,23,11,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500073,11/5/2015,DEN vs. UTA,L,241,84,28,72,0.389,5,20,0.25,23,34,0.676,11,34,45,16,4,6,13,14,-12,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500083,11/6/2015,DEN @ GSW,L,238,104,39,92,0.424,8,24,0.333,18,22,0.818,10,34,44,23,13,5,19,20,-15,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500102,11/9/2015,DEN vs. POR,W,241,108,40,77,0.519,7,19,0.368,21,32,0.656,8,39,47,20,5,7,14,20,4,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500121,11/11/2015,DEN vs. MIL,W,239,103,39,79,0.494,8,24,0.333,17,24,0.708,14,22,36,27,10,6,14,12,1,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500136,11/13/2015,DEN vs. HOU,W,240,107,37,81,0.457,9,20,0.45,24,32,0.75,12,34,46,25,10,4,18,23,9,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500143,11/14/2015,DEN @ PHX,L,240,81,34,98,0.347,6,35,0.171,7,8,0.875,9,33,42,13,8,6,10,20,-24,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500163,11/17/2015,DEN @ NOP,W,240,115,45,85,0.529,15,30,0.5,10,13,0.769,11,32,43,27,5,6,13,15,17,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500172,11/18/2015,DEN @ SAS,L,240,98,38,98,0.388,5,15,0.333,17,18,0.944,17,33,50,25,7,5,6,17,-11,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500185,11/20/2015,DEN vs. PHX,L,241,107,41,90,0.456,5,24,0.208,20,26,0.769,14,24,38,24,8,4,11,22,-7,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500200,11/22/2015,DEN vs. GSW,L,239,105,37,86,0.43,4,15,0.267,27,35,0.771,13,28,41,23,9,3,19,15,-13,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500212,11/24/2015,DEN vs. LAC,L,241,94,31,78,0.397,8,25,0.32,24,29,0.828,8,40,48,16,3,0,16,32,-17,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500235,11/27/2015,DEN vs. SAS,L,239,80,31,77,0.403,7,20,0.35,11,13,0.846,8,29,37,17,8,2,18,19,-11,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500241,11/28/2015,DEN @ DAL,L,239,81,30,75,0.4,8,25,0.32,13,17,0.765,10,35,45,17,9,5,20,22,-11,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500258,11/30/2015,DEN @ MIL,L,241,74,28,75,0.373,6,19,0.316,12,16,0.75,10,33,43,19,6,4,22,20,-18,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500273,12/2/2015,DEN @ CHI,L,240,90,36,93,0.387,5,15,0.333,13,22,0.591,13,36,49,26,8,8,7,22,-9,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500278,12/3/2015,DEN @ TOR,W,240,106,38,81,0.469,12,27,0.444,18,18,1,6,36,42,30,2,4,11,19,1,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500289,12/5/2015,DEN @ PHI,W,240,108,37,81,0.457,11,31,0.355,23,38,0.605,13,34,47,25,8,4,17,21,3,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500317,12/8/2015,DEN vs. ORL,L,240,74,28,84,0.333,7,24,0.292,11,20,0.55,10,37,47,19,11,7,17,16,-11,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500340,12/11/2015,DEN vs. MIN,W,266,111,38,86,0.442,11,28,0.393,24,33,0.727,8,42,50,21,7,1,12,25,3,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500365,12/14/2015,DEN vs. HOU,W,240,114,42,82,0.512,8,25,0.32,22,25,0.88,15,37,52,26,8,5,18,15,6,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500368,12/15/2015,DEN @ MIN,W,241,112,41,73,0.562,10,18,0.556,20,27,0.741,10,29,39,24,9,6,14,26,12,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500395,12/18/2015,DEN @ UTA,L,240,88,31,79,0.392,6,28,0.214,20,25,0.8,15,29,44,15,10,4,14,20,-9,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500409,12/20/2015,DEN vs. NOP,L,240,125,45,96,0.469,17,35,0.486,18,22,0.818,13,26,39,26,5,4,5,25,-5,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500422,12/22/2015,DEN vs. LAL,L,239,107,41,90,0.456,9,25,0.36,16,19,0.842,13,31,44,26,2,5,12,24,-4,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500433,12/23/2015,DEN @ PHX,W,241,104,42,91,0.462,14,35,0.4,6,13,0.462,13,37,50,26,6,7,17,20,8,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500450,12/26/2015,DEN @ SAS,L,240,86,38,86,0.442,5,18,0.278,5,6,0.833,8,28,36,25,6,3,15,16,-15,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500456,12/27/2015,DEN @ OKC,L,241,112,46,94,0.489,9,25,0.36,11,15,0.733,17,20,37,24,6,2,10,18,-10,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500473,12/29/2015,DEN vs. CLE,L,239,87,37,89,0.416,5,24,0.208,8,11,0.727,12,40,52,18,8,6,18,19,-6,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500482,12/30/2015,DEN @ POR,L,241,103,37,87,0.425,12,27,0.444,17,19,0.895,12,32,44,20,9,5,14,16,-7,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500504,1/2/2016,DEN @ GSW,L,265,108,44,105,0.419,5,30,0.167,15,23,0.652,24,28,52,27,7,0,13,23,-3,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500509,1/3/2016,DEN vs. POR,L,240,106,34,80,0.425,7,22,0.318,31,48,0.646,15,26,41,20,7,6,8,25,-6,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500530,1/6/2016,DEN @ MIN,W,240,78,29,81,0.358,8,20,0.4,12,17,0.706,13,33,46,21,3,7,11,19,4,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500542,1/8/2016,DEN @ MEM,L,241,84,32,87,0.368,4,19,0.211,16,19,0.842,19,40,59,19,2,4,17,24,-7,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500563,1/10/2016,DEN vs. CHA,W,240,95,32,77,0.416,12,27,0.444,19,23,0.826,8,36,44,25,7,7,13,20,3,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500583,1/13/2016,DEN vs. GSW,W,239,112,37,87,0.425,5,22,0.227,33,37,0.892,13,36,49,22,7,3,13,18,2,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500600,1/15/2016,DEN vs. MIA,L,241,95,32,78,0.41,6,18,0.333,25,26,0.962,6,31,37,23,4,6,13,18,-3,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500613,1/17/2016,DEN vs. IND,W,240,129,46,91,0.505,10,26,0.385,27,38,0.711,17,25,42,25,12,4,17,26,3,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500627,1/19/2016,DEN vs. OKC,L,240,104,35,83,0.422,7,20,0.35,27,36,0.75,12,36,48,21,5,6,17,25,-6,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500642,1/21/2016,DEN vs. MEM,L,241,101,36,80,0.45,9,30,0.3,20,26,0.769,10,30,40,26,6,1,10,25,-1,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500661,1/23/2016,DEN vs. DET,W,239,104,36,78,0.462,8,22,0.364,24,29,0.828,3,29,32,18,15,4,8,19,3,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500672,1/25/2016,DEN vs. ATL,L,240,105,33,84,0.393,6,20,0.3,33,37,0.892,12,31,43,18,10,3,15,18,-14,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500685,1/27/2016,DEN @ BOS,L,239,103,36,84,0.429,7,21,0.333,24,32,0.75,14,39,53,23,4,6,20,22,-8,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500693,1/28/2016,DEN @ WAS,W,240,117,41,81,0.506,9,18,0.5,26,33,0.788,7,32,39,25,9,5,15,25,4,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500709,1/30/2016,DEN @ IND,L,264,105,40,87,0.46,4,18,0.222,21,25,0.84,8,37,45,24,10,3,19,22,-4,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500727,2/1/2016,DEN vs. TOR,W,239,112,45,83,0.542,10,22,0.455,12,15,0.8,7,42,49,28,6,5,19,25,19,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500743,2/3/2016,DEN @ UTA,L,240,81,26,70,0.371,4,18,0.222,25,33,0.758,9,32,41,11,12,2,14,19,-4,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500757,2/5/2016,DEN vs. CHI,W,241,115,39,87,0.448,6,18,0.333,31,44,0.705,13,35,48,22,5,8,10,24,5,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500770,2/7/2016,DEN @ NYK,W,241,101,37,86,0.43,5,21,0.238,22,28,0.786,11,37,48,20,6,3,7,19,5,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500778,2/8/2016,DEN @ BKN,L,239,104,42,90,0.467,9,25,0.36,11,13,0.846,12,30,42,24,10,2,12,16,-1,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500794,2/10/2016,DEN @ DET,W,240,103,39,83,0.47,6,19,0.316,19,24,0.792,8,39,47,25,10,3,12,13,11,2015-16,Regular Season,DEN
22015,1610612743,DEN,Denver Nuggets,21500816,2/19/2016,DEN @ SAC,L,240,110,42,90,0.467,8,24,0.333,18,26,0.692,9,35,44,26,12,5,18,26,-6,2015-16,Regular Season,DEN
