SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,SEASON_TYPE,TEAM_ABBR
22015,1610612747,LAL,Los Angeles Lakers,0021500017,10/28/2015,LAL vs. MIN,L,240,111,35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,13,29,-1,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500031,10/30/2015,LAL @ SAC,L,240,114,41,89,0.461,11,34,0.324,21,27,0.778,8,29,37,20,7,9,19,24,-18,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500045,11/1/2015,LAL vs. DAL,L,239,93,31,85,0.365,10,34,0.294,21,28,0.75,8,34,42,18,8,9,12,20,-10,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500059,11/3/2015,LAL vs. DEN,L,238,109,36,86,0.419,6,26,0.231,31,38,0.816,11,29,40,18,9,4,10,28,-11,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500077,11/6/2015,LAL @ BKN,W,241,104,33,78,0.423,7,23,0.304,31,40,0.775,5,35,40,14,9,6,15,22,6,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500095,11/8/2015,LAL @ NYK,L,240,95,36,94,0.383,9,27,0.333,14,23,0.609,12,34,46,19,7,3,9,20,-4,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500108,11/10/2015,LAL @ MIA,L,240,88,34,77,0.442,11,22,0.5,9,12,0.75,5,31,36,21,7,7,17,21,-13,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500114,11/11/2015,LAL @ ORL,L,240,99,39,79,0.494,7,22,0.318,14,18,0.778,7,36,43,25,5,7,13,11,-2,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500135,11/13/2015,LAL @ DAL,L,239,82,29,88,0.33,9,27,0.333,15,18,0.833,15,42,57,18,10,7,20,27,-8,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500151,11/15/2015,LAL vs. DET,W,240,97,31,75,0.413,6,19,0.316,29,39,0.744,7,39,46,24,5,5,16,19,12,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500157,11/16/2015,LAL @ PHX,L,240,101,37,77,0.481,9,20,0.45,18,20,0.9,7,30,37,12,5,2,16,23,-19,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500188,11/20/2015,LAL vs. TOR,L,240,91,35,77,0.455,8,25,0.32,13,17,0.765,9,32,41,21,8,4,15,18,-11,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500201,11/22/2015,LAL vs. POR,L,240,93,32,88,0.364,6,18,0.333,23,27,0.852,15,36,51,17,2,6,10,12,-14,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500214,11/24/2015,LAL @ GSW,L,241,77,31,83,0.373,3,21,0.143,12,16,0.75,8,37,45,16,8,2,14,15,-34,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500244,11/28/2015,LAL @ POR,L,239,96,36,82,0.439,7,23,0.304,17,23,0.739,6,27,33,20,12,2,9,19,-12,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500253,11/29/2015,LAL vs. IND,L,240,103,38,99,0.384,11,33,0.333,16,22,0.727,15,39,54,17,6,5,10,27,-4,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500263,12/1/2015,LAL @ PHI,L,240,91,33,89,0.371,8,34,0.235,17,24,0.708,12,34,46,15,4,2,11,19,-12,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500269,12/2/2015,LAL @ WAS,W,240,108,41,96,0.427,8,25,0.32,18,20,0.9,16,29,45,17,18,3,16,22,4,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500286,12/4/2015,LAL @ ATL,L,240,87,32,86,0.372,13,27,0.481,10,13,0.769,15,27,42,19,10,7,16,14,-13,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500301,12/6/2015,LAL @ DET,L,240,91,32,80,0.4,5,18,0.278,22,29,0.759,8,31,39,12,6,4,15,21,-22,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500308,12/7/2015,LAL @ TOR,L,241,93,34,83,0.41,7,19,0.368,18,20,0.9,14,33,47,14,4,4,15,23,-9,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500325,12/9/2015,LAL @ MIN,L,266,122,48,93,0.516,9,23,0.391,17,27,0.63,9,31,40,19,9,1,9,23,-1,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500342,12/11/2015,LAL @ SAS,L,238,87,36,88,0.409,9,25,0.36,6,10,0.6,9,27,36,20,7,5,15,21,-22,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500349,12/12/2015,LAL @ HOU,L,240,97,35,88,0.398,10,32,0.313,17,20,0.85,11,29,40,21,11,4,19,23,-29,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500370,12/15/2015,LAL vs. MIL,W,241,113,41,89,0.461,10,27,0.37,21,25,0.84,18,34,52,26,7,3,14,18,18,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500385,12/17/2015,LAL vs. HOU,L,239,87,36,84,0.429,5,24,0.208,10,18,0.556,13,33,46,22,5,5,14,27,-20,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500398,12/19/2015,LAL @ OKC,L,240,78,30,86,0.349,8,28,0.286,10,17,0.588,8,24,32,14,10,2,14,20,-40,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500422,12/22/2015,LAL @ DEN,W,239,111,40,84,0.476,7,26,0.269,24,32,0.75,11,29,40,17,6,6,11,21,4,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500435,12/23/2015,LAL vs. OKC,L,241,85,32,89,0.36,7,25,0.28,14,22,0.636,12,23,35,19,6,5,10,18,-35,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500440,12/25/2015,LAL vs. LAC,L,241,84,32,77,0.416,7,23,0.304,13,25,0.52,6,34,40,17,10,2,15,13,-10,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500455,12/27/2015,LAL @ MEM,L,240,96,32,84,0.381,8,29,0.276,24,32,0.75,18,28,46,16,6,5,13,18,-16,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500458,12/28/2015,LAL @ CHA,L,240,98,35,85,0.412,9,29,0.31,19,23,0.826,6,35,41,24,7,4,11,17,-10,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500476,12/30/2015,LAL @ BOS,W,240,112,43,94,0.457,9,19,0.474,17,23,0.739,13,39,52,22,5,2,10,22,8,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500494,1/1/2016,LAL vs. PHI,W,240,93,33,87,0.379,5,16,0.313,22,29,0.759,13,37,50,17,11,6,10,17,9,2015-16,Regular Season,LAL
22015,1610612747,LAL,Los Angeles Lakers,0021500510,1/3/2016,LAL vs. PHX,W,240,97,38,84,0.452,8,22,0.364,13,17,0.765,9,45,54,26,8,7,15,16,20,2015-16,Regular Season,LAL
