SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,SEASON_TYPE,TEAM_ABBR
22015,1610612753,ORL,Orlando Magic,0021500004,10/28/2015,ORL vs. WAS,L,240,87,37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,14,22,-1,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500022,10/30/2015,ORL vs. OKC,L,290,136,47,106,0.443,12,33,0.364,30,38,0.789,14,35,49,25,10,10,16,31,-3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500043,11/1/2015,ORL @ CHI,L,240,87,35,90,0.389,7,23,0.304,10,17,0.588,12,31,43,21,7,11,16,19,-5,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500056,11/3/2015,ORL @ NOP,W,239,103,42,90,0.467,7,18,0.389,12,12,1,10,45,55,24,5,3,18,18,9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500064,11/4/2015,ORL @ HOU,L,265,114,46,91,0.505,7,20,0.35,15,19,0.789,9,29,38,28,12,6,14,25,-5,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500075,11/6/2015,ORL vs. TOR,W,240,92,33,77,0.429,9,25,0.36,17,22,0.773,6,34,40,22,4,4,12,25,5,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500087,11/7/2015,ORL @ PHI,W,240,105,39,83,0.47,6,13,0.462,21,24,0.875,10,31,41,24,10,7,13,23,10,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500099,11/9/2015,ORL @ IND,L,240,84,31,78,0.397,10,33,0.303,12,17,0.706,7,37,44,16,9,3,21,20,-13,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500114,11/11/2015,ORL vs. LAL,W,241,101,40,100,0.4,13,28,0.464,8,12,0.667,23,31,54,22,7,4,8,19,2,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500128,11/13/2015,ORL vs. UTA,W,240,102,32,76,0.421,10,27,0.37,28,31,0.903,10,35,45,20,11,11,20,20,9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500139,11/14/2015,ORL @ WAS,L,240,99,38,87,0.437,4,18,0.222,19,24,0.792,6,39,45,19,7,2,12,22,-9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500166,11/18/2015,ORL vs. MIN,W,265,104,41,110,0.373,9,21,0.429,13,21,0.619,20,34,54,20,10,4,9,21,3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500189,11/21/2015,ORL vs. SAC,L,241,91,38,92,0.413,9,31,0.29,6,8,0.75,15,35,50,27,8,7,17,26,-6,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500203,11/23/2015,ORL @ CLE,L,240,103,40,81,0.494,10,22,0.455,13,21,0.619,9,30,39,25,6,6,10,21,-14,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500216,11/25/2015,ORL vs. NYK,W,240,100,34,86,0.395,5,16,0.313,27,32,0.844,15,33,48,20,2,7,7,21,9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500228,11/27/2015,ORL vs. MIL,W,240,114,43,82,0.524,12,27,0.444,16,22,0.727,8,33,41,30,9,5,18,18,24,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500249,11/29/2015,ORL vs. BOS,W,238,110,45,93,0.484,9,25,0.36,11,16,0.688,17,37,54,24,6,7,13,20,19,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500265,12/1/2015,ORL @ MIN,W,240,96,38,86,0.442,5,17,0.294,15,20,0.75,11,33,44,19,7,5,13,30,3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500279,12/3/2015,ORL @ UTA,W,240,103,40,89,0.449,8,23,0.348,15,15,1,9,31,40,19,13,4,10,20,9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500298,12/5/2015,ORL @ LAC,L,240,101,40,90,0.444,6,20,0.3,15,18,0.833,15,36,51,22,8,6,13,21,-2,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500317,12/8/2015,ORL @ DEN,W,240,85,38,88,0.432,1,16,0.063,8,10,0.8,10,44,54,14,9,8,20,19,11,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500326,12/9/2015,ORL @ PHX,L,241,104,40,85,0.471,12,25,0.48,12,16,0.75,5,27,32,28,11,1,16,26,-3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500334,12/11/2015,ORL vs. CLE,L,240,76,28,72,0.389,6,22,0.273,14,20,0.7,6,24,30,16,8,3,19,24,-35,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500358,12/14/2015,ORL @ BKN,W,240,105,41,76,0.539,9,21,0.429,14,20,0.7,7,36,43,24,12,3,16,18,23,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500372,12/16/2015,ORL vs. CHA,W,240,113,43,77,0.558,14,24,0.583,13,15,0.867,4,36,40,28,12,4,17,15,15,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500387,12/18/2015,ORL vs. POR,W,240,102,39,84,0.464,2,15,0.133,22,31,0.71,13,35,48,19,11,5,13,18,8,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500407,12/20/2015,ORL vs. ATL,L,241,100,38,81,0.469,4,12,0.333,20,24,0.833,8,28,36,27,16,5,13,22,-3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500412,12/21/2015,ORL @ NYK,W,241,107,44,86,0.512,10,22,0.455,9,11,0.818,8,25,33,19,8,3,9,17,8,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500426,12/23/2015,ORL vs. HOU,W,239,104,44,84,0.524,7,16,0.438,9,13,0.692,11,31,42,26,5,3,12,15,3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500444,12/26/2015,ORL vs. MIA,L,239,101,43,79,0.544,9,19,0.474,6,13,0.462,9,25,34,31,7,2,9,18,-7,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500460,12/28/2015,ORL vs. NOP,W,241,104,45,82,0.549,7,17,0.412,7,11,0.636,4,33,37,28,7,1,9,14,15,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500475,12/30/2015,ORL vs. BKN,W,239,100,36,82,0.439,9,26,0.346,19,21,0.905,17,33,50,21,6,4,16,18,7,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500490,1/1/2016,ORL @ WAS,L,240,91,40,85,0.471,5,20,0.25,6,8,0.75,7,32,39,29,6,4,15,13,-12,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500499,1/2/2016,ORL @ CLE,L,240,79,29,76,0.382,6,25,0.24,15,17,0.882,5,40,45,16,1,2,14,29,-25,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500514,1/4/2016,ORL @ DET,L,240,89,36,81,0.444,6,20,0.3,11,11,1,5,25,30,17,6,7,8,16,-26,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500526,1/6/2016,ORL vs. IND,L,240,86,32,79,0.405,6,31,0.194,16,17,0.941,9,30,39,17,7,6,17,21,-9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500541,1/8/2016,ORL @ BKN,W,240,83,33,83,0.398,13,28,0.464,4,6,0.667,13,36,49,25,7,4,14,22,6,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500552,1/9/2016,ORL vs. WAS,L,241,99,38,74,0.514,5,14,0.357,18,24,0.75,11,26,37,22,9,2,15,12,-6,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500588,1/14/2016,ORL vs. TOR,L,265,103,44,97,0.454,9,23,0.391,6,8,0.75,6,40,46,28,4,9,15,22,-3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500620,1/18/2016,ORL @ ATL,L,242,81,30,87,0.345,6,22,0.273,15,20,0.75,11,31,42,21,11,5,13,13,-17,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500629,1/20/2016,ORL vs. PHI,L,239,87,33,84,0.393,4,17,0.235,17,26,0.654,13,34,47,19,12,3,14,14,-9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500645,1/22/2016,ORL vs. CHA,L,265,116,45,91,0.495,11,23,0.478,15,19,0.789,7,41,48,31,6,9,19,25,-4,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500670,1/25/2016,ORL @ MEM,L,263,102,40,86,0.465,10,28,0.357,12,14,0.857,8,38,46,24,2,6,19,22,-6,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500681,1/26/2016,ORL @ MIL,L,239,100,33,80,0.413,13,24,0.542,21,29,0.724,12,27,39,22,6,4,11,22,-7,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500698,1/29/2016,ORL @ BOS,L,240,94,32,79,0.405,7,20,0.35,23,29,0.793,9,32,41,17,9,4,16,18,-19,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500716,1/31/2016,ORL vs. BOS,W,241,119,44,82,0.537,10,24,0.417,21,35,0.6,12,38,50,27,7,6,15,24,5,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500726,2/1/2016,ORL @ SAS,L,241,92,39,96,0.406,5,17,0.294,9,11,0.818,19,32,51,19,9,6,16,19,-15,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500740,2/3/2016,ORL @ OKC,L,240,114,47,95,0.495,10,23,0.435,10,12,0.833,12,27,39,25,3,5,9,18,-3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500752,2/5/2016,ORL vs. LAC,L,239,93,34,81,0.42,4,20,0.2,21,28,0.75,11,28,39,19,6,1,18,20,-14,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500771,2/7/2016,ORL vs. ATL,W,240,96,39,85,0.459,7,25,0.28,11,12,0.917,8,35,43,24,9,10,18,13,2,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500780,2/8/2016,ORL @ ATL,W,262,117,46,93,0.495,9,29,0.31,16,22,0.727,6,41,47,37,11,8,13,22,7,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500790,2/10/2016,ORL vs. SAS,L,241,96,37,91,0.407,8,20,0.4,14,16,0.875,13,37,50,26,7,7,15,18,-2,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500805,2/19/2016,ORL vs. DAL,W,265,110,41,102,0.402,13,35,0.371,15,17,0.882,14,49,63,25,10,4,12,20,6,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500828,2/21/2016,ORL vs. IND,L,240,102,38,91,0.418,7,25,0.28,19,29,0.655,11,34,45,27,12,3,14,23,-3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500840,2/23/2016,ORL @ PHI,W,241,124,41,85,0.482,7,14,0.5,35,41,0.854,13,30,43,26,11,2,11,22,9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500855,2/25/2016,ORL vs. GSW,L,241,114,41,90,0.456,10,26,0.385,22,28,0.786,8,29,37,23,11,4,15,17,-16,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500863,2/26/2016,ORL @ NYK,L,239,95,39,93,0.419,6,27,0.222,11,16,0.688,15,32,47,24,6,1,12,24,-13,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500881,2/28/2016,ORL vs. PHI,W,240,130,49,86,0.57,10,16,0.625,22,25,0.88,6,27,33,28,9,6,12,27,14,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500894,3/1/2016,ORL @ DAL,L,240,108,41,91,0.451,9,30,0.3,17,20,0.85,18,27,45,29,11,4,16,29,-13,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500897,3/2/2016,ORL vs. CHI,W,241,102,39,97,0.402,7,21,0.333,17,22,0.773,8,51,59,25,5,6,10,14,13,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500913,3/4/2016,ORL vs. PHX,L,242,84,35,101,0.347,7,27,0.259,7,14,0.5,15,35,50,20,12,3,14,31,-18,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500943,3/7/2016,ORL @ GSW,L,241,113,40,90,0.444,5,21,0.238,28,34,0.824,9,33,42,24,14,3,15,21,-6,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500949,3/8/2016,ORL @ LAL,L,241,98,37,76,0.487,5,19,0.263,19,27,0.704,4,31,35,19,5,4,10,24,-9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500970,3/11/2016,ORL @ SAC,W,240,107,41,79,0.519,4,15,0.267,21,34,0.618,12,39,51,22,11,8,19,23,7,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500982,3/12/2016,ORL @ POR,L,240,84,34,91,0.374,7,26,0.269,9,18,0.5,11,28,39,19,6,4,15,16,-37,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021500998,3/15/2016,ORL vs. DEN,W,239,116,44,81,0.543,8,25,0.32,20,25,0.8,6,29,35,28,7,4,13,20,6,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501004,3/16/2016,ORL @ CHA,L,239,99,35,83,0.422,11,25,0.44,18,21,0.857,2,38,40,23,4,9,8,20,-8,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501020,3/18/2016,ORL vs. CLE,L,238,103,37,82,0.451,11,22,0.5,18,22,0.818,9,27,36,24,12,4,13,24,-6,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501038,3/20/2016,ORL @ TOR,L,240,100,40,83,0.482,8,22,0.364,12,18,0.667,7,33,40,20,4,8,12,30,-5,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501046,3/21/2016,ORL @ BOS,L,240,96,39,93,0.419,5,19,0.263,13,19,0.684,14,31,45,15,9,7,11,20,-11,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501058,3/23/2016,ORL @ DET,L,240,102,39,98,0.398,8,25,0.32,16,19,0.842,17,27,44,24,9,3,6,19,-16,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501075,3/25/2016,ORL @ MIA,L,240,97,36,84,0.429,6,18,0.333,19,28,0.679,14,28,42,20,7,1,14,24,-11,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501083,3/26/2016,ORL vs. CHI,W,240,111,48,89,0.539,7,19,0.368,8,12,0.667,12,38,50,32,5,7,13,21,22,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501108,3/29/2016,ORL vs. BKN,W,240,139,56,91,0.615,14,27,0.519,13,19,0.684,5,30,35,40,11,5,10,29,34,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501123,3/31/2016,ORL @ IND,W,239,114,48,90,0.533,5,16,0.313,13,18,0.722,13,31,44,26,6,6,13,18,20,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501133,4/1/2016,ORL @ MIL,L,242,110,46,86,0.535,8,24,0.333,10,12,0.833,4,33,37,34,13,8,20,22,-3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501148,4/3/2016,ORL vs. MEM,W,240,119,43,90,0.478,10,26,0.385,23,29,0.793,13,30,43,27,10,3,10,21,12,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501166,4/6/2016,ORL vs. DET,L,239,104,43,90,0.478,4,15,0.267,14,19,0.737,12,36,48,25,7,8,14,23,-4,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501179,4/8/2016,ORL vs. MIA,W,240,112,43,82,0.524,5,11,0.455,21,28,0.75,6,31,37,23,4,9,10,19,3,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501200,4/10/2016,ORL @ MIA,L,242,96,37,83,0.446,7,18,0.389,15,19,0.789,6,29,35,18,6,1,16,18,-22,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501204,4/11/2016,ORL vs. MIL,W,240,107,41,84,0.488,7,23,0.304,18,28,0.643,12,24,36,28,19,10,10,15,9,2015-16,Regular Season,ORL
22015,1610612753,ORL,Orlando Magic,0021501219,4/13/2016,ORL @ CHA,L,240,103,42,91,0.462,8,27,0.296,11,18,0.611,5,34,39,22,7,4,10,18,-14,2015-16,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600004,10/26/2016,ORL vs. MIA,L,240,96,34,89,0.382,6,18,0.333,22,28,0.786,15,30,45,20,5,4,11,15,-12,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600020,10/28/2016,ORL @ DET,L,239,82,33,95,0.347,8,26,0.308,8,12,0.667,14,30,44,20,8,3,9,13,-26,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600029,10/29/2016,ORL @ CLE,L,241,99,38,84,0.452,8,28,0.286,15,26,0.577,13,37,50,21,6,5,20,23,-6,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600046,11/1/2016,ORL @ PHI,W,240,103,42,93,0.452,6,25,0.24,13,17,0.765,12,27,39,29,7,6,10,15,2,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600065,11/3/2016,ORL vs. SAC,W,242,102,38,84,0.452,10,30,0.333,16,23,0.696,13,31,44,24,5,4,14,14,8,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600081,11/5/2016,ORL vs. WAS,W,240,88,31,78,0.397,9,28,0.321,17,27,0.63,10,33,43,21,4,6,8,16,2,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600096,11/7/2016,ORL @ CHI,L,242,80,33,85,0.388,9,30,0.3,5,6,0.833,6,33,39,28,6,6,14,23,-32,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600109,11/9/2016,ORL vs. MIN,L,239,107,38,85,0.447,8,24,0.333,23,30,0.767,12,27,39,20,2,5,9,19,-16,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600124,11/11/2016,ORL vs. UTA,L,240,74,26,78,0.333,8,20,0.4,14,19,0.737,8,35,43,13,11,6,12,18,-13,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600141,11/13/2016,ORL @ OKC,W,242,119,46,86,0.535,11,24,0.458,16,20,0.8,8,30,38,24,4,7,9,20,2,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600145,11/14/2016,ORL @ IND,L,239,69,27,84,0.321,5,25,0.2,10,13,0.769,9,43,52,12,3,5,14,17,-19,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600159,11/16/2016,ORL vs. NOP,W,241,89,34,88,0.386,10,27,0.37,11,19,0.579,13,37,50,17,7,7,12,15,7,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600187,11/19/2016,ORL vs. DAL,W,240,95,34,78,0.436,8,21,0.381,19,22,0.864,10,40,50,17,6,8,19,21,8,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600204,11/21/2016,ORL @ MIL,L,239,89,32,77,0.416,7,25,0.28,18,24,0.75,10,44,54,21,8,5,24,18,-4,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600214,11/23/2016,ORL vs. PHX,L,238,87,33,91,0.363,7,25,0.28,14,23,0.609,11,33,44,17,9,8,11,19,-5,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600226,11/25/2016,ORL vs. WAS,L,239,91,35,80,0.438,7,23,0.304,14,20,0.7,14,35,49,18,5,7,19,16,-3,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600248,11/27/2016,ORL vs. MIL,L,241,96,38,92,0.413,7,28,0.25,13,17,0.765,10,36,46,24,6,5,7,17,-8,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600264,11/29/2016,ORL @ SAS,W,242,95,39,86,0.453,6,15,0.4,11,12,0.917,9,31,40,25,12,4,13,21,12,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600278,12/1/2016,ORL @ MEM,L,240,94,33,74,0.446,6,24,0.25,22,31,0.71,7,35,42,15,5,9,17,19,-1,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600282,12/2/2016,ORL @ PHI,W,239,105,37,78,0.474,13,26,0.5,18,26,0.692,7,40,47,24,8,3,10,20,17,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600300,12/4/2016,ORL @ DET,W,240,98,42,79,0.532,7,23,0.304,7,14,0.5,4,35,39,23,8,7,10,11,6,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600315,12/6/2016,ORL @ WAS,W,239,124,43,83,0.518,12,26,0.462,26,36,0.722,8,35,43,24,7,12,11,18,8,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600322,12/7/2016,ORL vs. BOS,L,241,87,30,81,0.37,11,26,0.423,16,24,0.667,8,29,37,20,7,1,12,26,-30,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600337,12/9/2016,ORL @ CHA,L,238,88,34,91,0.374,9,34,0.265,11,14,0.786,9,31,40,22,6,2,8,17,-21,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600347,12/10/2016,ORL vs. DEN,L,240,113,43,88,0.489,11,27,0.407,16,24,0.667,5,26,31,27,7,5,5,18,-8,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600369,12/13/2016,ORL @ ATL,W,241,131,51,87,0.586,15,34,0.441,14,20,0.7,5,23,28,36,8,5,9,17,11,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600376,12/14/2016,ORL vs. LAC,L,239,108,42,89,0.472,14,33,0.424,10,20,0.5,12,27,39,29,5,1,8,29,-5,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600390,12/16/2016,ORL vs. BKN,W,241,118,39,97,0.402,7,29,0.241,33,42,0.786,13,36,49,22,8,11,7,17,7,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600409,12/18/2016,ORL vs. TOR,L,240,79,34,83,0.41,3,21,0.143,8,9,0.889,10,32,42,13,5,3,19,17,-30,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600422,12/20/2016,ORL @ MIA,W,290,136,52,105,0.495,11,22,0.5,21,31,0.677,6,41,47,24,3,5,11,25,6,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600438,12/22/2016,ORL @ NYK,L,241,95,39,90,0.433,5,27,0.185,12,16,0.75,10,31,41,21,7,7,16,14,-11,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600443,12/23/2016,ORL vs. LAL,W,242,109,45,89,0.506,11,27,0.407,8,14,0.571,7,40,47,25,10,11,14,20,19,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600462,12/26/2016,ORL vs. MEM,W,241,112,44,86,0.512,13,26,0.5,11,16,0.688,8,35,43,23,5,3,9,21,10,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600477,12/28/2016,ORL vs. CHA,L,242,101,42,86,0.488,9,34,0.265,8,10,0.8,9,24,33,25,7,7,13,15,-19,2016-17,Regular Season,ORL
22016,1610612753,ORL,Orlando Magic,0021600510,1/1/2017,ORL @ IND,L,241,104,42,97,0.433,10,38,0.263,10,11,0.909,10,32,42,25,6,7,10,22,-13,2016-17,Regular Season,ORL
