SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,SEASON_TYPE,TEAM_ABBR
22015,1610612755,PHI,Philadelphia 76ers,0021500005,10/28/2015,PHI @ BOS,L,241,95,34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,22,22,-17,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500023,10/30/2015,PHI vs. UTA,L,238,71,19,63,0.302,6,15,0.4,27,37,0.73,8,31,39,15,4,5,18,22,-28,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500046,11/2/2015,PHI vs. CLE,L,239,100,38,85,0.447,7,24,0.292,17,23,0.739,9,28,37,22,7,5,13,18,-7,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500065,11/4/2015,PHI @ MIL,L,242,87,34,81,0.42,6,28,0.214,13,15,0.867,12,39,51,23,4,9,18,23,-4,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500078,11/6/2015,PHI @ CLE,L,242,102,41,79,0.519,10,23,0.435,10,15,0.667,7,31,38,23,9,4,16,18,-6,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500087,11/7/2015,PHI vs. ORL,L,238,97,36,80,0.45,11,33,0.333,14,26,0.538,10,28,38,24,6,10,16,20,-10,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500100,11/9/2015,PHI vs. CHI,L,240,88,35,100,0.35,5,25,0.2,13,23,0.565,15,37,52,19,6,9,13,13,-23,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500115,11/11/2015,PHI vs. TOR,L,242,103,40,87,0.46,12,29,0.414,11,17,0.647,11,26,37,28,2,7,11,24,-16,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500134,11/13/2015,PHI @ OKC,L,242,85,30,86,0.349,5,17,0.294,20,28,0.714,12,31,43,16,11,7,17,17,-17,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500142,11/14/2015,PHI @ SAS,L,240,83,33,82,0.402,8,22,0.364,9,11,0.818,6,35,41,15,7,3,15,21,-9,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500152,11/16/2015,PHI vs. DAL,L,239,86,34,76,0.447,5,22,0.227,13,20,0.65,8,38,46,16,9,4,27,29,-6,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500167,11/18/2015,PHI vs. IND,L,241,85,35,76,0.461,5,25,0.2,10,16,0.625,7,36,43,14,9,8,29,17,-27,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500178,11/20/2015,PHI @ CHA,L,241,88,32,79,0.405,8,26,0.308,16,22,0.727,9,33,42,21,5,6,17,18,-25,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500193,11/21/2015,PHI @ MIA,L,240,91,31,82,0.378,10,31,0.323,19,24,0.792,10,33,43,16,7,8,16,30,-5,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500206,11/23/2015,PHI @ MIN,L,241,95,32,78,0.41,10,31,0.323,21,27,0.778,11,30,41,15,10,6,19,26,-5,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500217,11/25/2015,PHI @ BOS,L,239,80,31,83,0.373,7,27,0.259,11,15,0.733,7,43,50,12,11,14,18,21,-4,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500232,11/27/2015,PHI @ HOU,L,241,114,40,83,0.482,16,35,0.457,18,26,0.692,8,25,33,24,18,5,12,24,-2,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500251,11/29/2015,PHI @ MEM,L,240,84,30,77,0.39,12,36,0.333,12,16,0.75,8,33,41,23,18,9,25,29,-8,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500263,12/1/2015,PHI vs. LAL,W,241,103,37,79,0.468,14,32,0.438,15,23,0.652,10,37,47,28,6,8,15,18,12,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500271,12/2/2015,PHI @ NYK,L,239,87,32,86,0.372,9,30,0.3,14,24,0.583,7,35,42,11,8,7,13,19,-12,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500289,12/5/2015,PHI vs. DEN,L,239,105,37,74,0.5,15,31,0.484,16,26,0.615,7,33,40,22,11,8,20,28,-3,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500305,12/7/2015,PHI vs. SAS,L,242,68,26,75,0.347,4,24,0.167,12,21,0.571,6,25,31,14,3,1,13,25,-51,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500329,12/10/2015,PHI @ BKN,L,239,91,34,87,0.391,4,31,0.129,19,22,0.864,13,25,38,17,14,6,10,22,-9,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500335,12/11/2015,PHI vs. DET,L,240,95,36,80,0.45,6,18,0.333,17,24,0.708,13,31,44,22,5,5,21,16,-12,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500355,12/13/2015,PHI @ TOR,L,240,76,28,84,0.333,10,28,0.357,10,14,0.714,15,37,52,18,1,9,22,20,-20,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500361,12/14/2015,PHI @ CHI,L,242,96,38,92,0.413,11,31,0.355,9,13,0.692,9,27,36,19,6,8,11,17,-19,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500376,12/16/2015,PHI @ ATL,L,238,106,39,75,0.52,12,26,0.462,16,24,0.667,7,25,32,20,5,2,22,21,-21,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500388,12/18/2015,PHI vs. NYK,L,240,97,37,77,0.481,6,24,0.25,17,30,0.567,4,32,36,15,7,5,15,22,-10,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500405,12/20/2015,PHI @ CLE,L,240,86,30,86,0.349,5,24,0.208,21,30,0.7,16,33,49,15,6,2,19,22,-22,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500419,12/22/2015,PHI vs. MEM,L,243,90,31,66,0.47,7,23,0.304,21,32,0.656,10,32,42,19,6,3,26,21,-14,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500430,12/23/2015,PHI @ MIL,L,239,100,37,81,0.457,7,20,0.35,19,29,0.655,13,28,41,24,12,7,22,14,-13,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500451,12/26/2015,PHI @ PHX,W,240,111,38,79,0.481,12,27,0.444,23,27,0.852,8,40,48,20,9,8,21,26,7,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500467,12/28/2015,PHI @ UTA,L,239,91,36,86,0.419,5,21,0.238,14,19,0.737,8,29,37,20,8,9,18,27,-4,2015-16,Regular Season,PHI
22015,1610612755,PHI,Philadelphia 76ers,0021500483,12/30/2015,PHI @ SAC,W,240,110,40,94,0.426,9,31,0.29,21,34,0.618,16,37,53,23,10,9,13,28,5,2015-16,Regular Season,PHI
