SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,SEASON_TYPE,TEAM_ABBR
22015,1610612762,UTA,Utah Jazz,21500007,10/28/2015,UTA @ DET,L,238,87,35,75,0.467,2,12,0.167,15,21,0.714,4,34,38,15,4,5,12,25,-5.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500023,10/30/2015,UTA @ PHI,W,241,99,36,88,0.409,7,13,0.538,20,25,0.8,13,38,51,19,10,9,7,22,28.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500033,10/31/2015,UTA @ IND,W,240,97,39,88,0.443,6,15,0.4,13,18,0.722,15,32,47,15,13,4,17,24,21.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500068,11/4/2015,UTA vs. POR,L,239,92,33,88,0.375,5,24,0.208,21,33,0.636,16,24,40,9,12,8,9,22,-16.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500073,11/5/2015,UTA @ DEN,W,239,96,37,85,0.435,11,24,0.458,11,17,0.647,12,31,43,23,6,6,10,26,12.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500091,11/7/2015,UTA vs. MEM,W,240,89,31,74,0.419,12,27,0.444,15,18,0.833,9,40,49,18,7,10,21,20,10.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500106,11/10/2015,UTA @ CLE,L,239,114,40,82,0.488,10,22,0.455,24,28,0.857,13,24,37,30,11,0,16,35,-4.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500124,11/12/2015,UTA @ MIA,L,241,91,34,89,0.382,4,17,0.235,19,25,0.76,11,31,42,13,10,9,10,23,-1.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500128,11/13/2015,UTA @ ORL,L,241,93,34,87,0.391,8,25,0.32,17,23,0.739,12,29,41,24,14,6,17,24,-9.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500148,11/15/2015,UTA @ ATL,W,239,97,39,76,0.513,7,21,0.333,12,17,0.706,10,30,40,21,7,7,17,15,1.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500173,11/18/2015,UTA vs. TOR,W,241,93,35,72,0.486,7,22,0.318,16,22,0.727,7,34,41,15,9,5,17,20,4.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500184,11/20/2015,UTA @ DAL,L,240,93,35,80,0.438,6,20,0.3,17,21,0.81,18,30,48,14,4,2,17,24,-9.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500208,11/23/2015,UTA vs. OKC,L,241,89,28,73,0.384,5,19,0.263,28,40,0.7,13,28,41,15,11,3,21,18,-22.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500226,11/25/2015,UTA @ LAC,W,241,102,39,77,0.506,6,13,0.462,18,25,0.72,11,28,39,19,12,4,16,20,11.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500243,11/28/2015,UTA vs. NOP,W,241,101,38,82,0.463,9,18,0.5,16,21,0.762,12,37,49,18,11,9,15,25,14.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500259,11/30/2015,UTA vs. GSW,L,240,103,40,89,0.449,6,19,0.316,17,22,0.773,10,25,35,18,9,2,8,16,-3.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500279,12/3/2015,UTA vs. ORL,L,241,94,31,72,0.431,14,33,0.424,18,24,0.75,5,34,39,18,4,8,19,16,-9.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500297,12/5/2015,UTA vs. IND,W,265,122,43,92,0.467,8,23,0.348,28,37,0.757,19,35,54,21,7,3,15,30,3.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500318,12/8/2015,UTA @ SAC,L,240,106,38,92,0.413,15,36,0.417,15,22,0.682,19,25,44,23,7,0,12,22,-8.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500327,12/9/2015,UTA vs. NYK,W,239,106,39,80,0.488,9,21,0.429,19,23,0.826,9,42,51,26,6,2,14,26,21.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500341,12/11/2015,UTA vs. OKC,L,239,90,33,78,0.423,8,28,0.286,16,24,0.667,11,28,39,17,7,4,11,16,-4.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500356,12/13/2015,UTA @ OKC,L,265,98,39,94,0.415,8,22,0.364,12,20,0.6,16,28,44,14,6,2,11,24,-6.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500364,12/14/2015,UTA @ SAS,L,239,81,32,79,0.405,3,11,0.273,14,17,0.824,7,25,32,18,8,3,11,23,-37.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500380,12/16/2015,UTA vs. NOP,L,240,94,32,67,0.478,7,20,0.35,23,29,0.793,5,29,34,17,4,4,12,20,-10.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500395,12/18/2015,UTA vs. DEN,W,239,97,34,73,0.466,10,25,0.4,19,25,0.76,5,34,39,15,8,1,14,19,9.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500417,12/21/2015,UTA vs. PHX,W,241,110,36,79,0.456,9,25,0.36,29,37,0.784,11,36,47,16,8,6,10,16,21.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500434,12/23/2015,UTA @ GSW,L,239,85,33,80,0.413,7,20,0.35,12,14,0.857,12,28,40,14,9,3,19,18,-18.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500452,12/26/2015,UTA vs. LAC,L,241,104,36,74,0.486,10,27,0.37,22,27,0.815,8,28,36,18,7,4,16,22,-5.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500467,12/28/2015,UTA vs. PHI,W,240,95,28,84,0.333,7,26,0.269,32,36,0.889,15,38,53,13,11,9,15,18,4.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500479,12/30/2015,UTA @ MIN,L,241,80,28,80,0.35,10,39,0.256,14,20,0.7,15,29,44,15,8,8,19,24,-14.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500489,12/31/2015,UTA vs. POR,W,239,109,43,86,0.5,15,33,0.455,8,11,0.727,12,30,42,19,7,5,5,18,13.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500503,1/2/2016,UTA vs. MEM,W,265,92,31,75,0.413,9,27,0.333,21,28,0.75,9,39,48,17,4,7,16,24,5.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500518,1/4/2016,UTA vs. HOU,L,241,91,30,75,0.4,12,29,0.414,19,25,0.76,15,29,44,17,9,4,15,20,-2.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500532,1/6/2016,UTA @ SAS,L,241,98,37,79,0.468,7,18,0.389,17,18,0.944,10,24,34,21,8,3,18,17,-25.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500538,1/7/2016,UTA @ HOU,L,239,94,38,78,0.487,7,28,0.25,11,17,0.647,10,25,35,25,9,5,19,17,-9.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500555,1/9/2016,UTA vs. MIA,W,240,98,39,71,0.549,9,20,0.45,11,18,0.611,5,32,37,19,10,7,16,16,15.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500565,1/10/2016,UTA @ LAL,W,240,86,31,69,0.449,5,16,0.313,19,25,0.76,6,39,45,16,8,8,14,18,12.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500584,1/13/2016,UTA @ POR,L,240,85,31,76,0.408,8,19,0.421,15,22,0.682,10,28,38,20,8,6,14,15,-14.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500591,1/14/2016,UTA vs. SAC,L,238,101,35,83,0.422,6,34,0.176,25,34,0.735,10,28,38,12,8,3,13,26,-2.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500608,1/16/2016,UTA vs. LAL,W,238,109,41,83,0.494,12,24,0.5,15,18,0.833,11,40,51,17,8,8,10,17,27.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500616,1/18/2016,UTA @ CHA,L,290,119,44,104,0.423,15,45,0.333,16,20,0.8,15,34,49,27,6,7,10,28,-5.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500632,1/20/2016,UTA @ NYK,L,264,111,37,86,0.43,12,27,0.444,25,31,0.806,14,26,40,19,4,4,12,22,-7.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500647,1/22/2016,UTA @ BKN,W,240,108,43,75,0.573,9,16,0.563,13,15,0.867,9,31,40,28,5,4,14,20,22.0,2015-16,Regular Season,UTA
22015,1610612762,UTA,Utah Jazz,21500673,1/25/2016,UTA vs. DET,L,240,92,34,85,0.4,9,29,0.31,15,18,0.833,12,37,49,18,5,4,13,26,-3.0,2015-16,Regular Season,UTA
