SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22015,203076,0021500003,27-Oct-15,NOP @ GSW,L,35,4,20,0.2,0,2,0,10,15,0.667,1,5,6,2,0,3,5,4,18,-16,1,2015-16,203076,Anthony Davis
22015,203076,0021500015,28-Oct-15,NOP @ POR,L,41,10,17,0.588,3,5,0.6,2,4,0.5,2,8,10,0,2,2,2,1,25,-8,1,2015-16,203076,Anthony Davis
22015,203076,0021500035,31-Oct-15,NOP vs. GSW,L,37,8,17,0.471,1,2,0.5,9,11,0.818,5,10,15,4,0,2,3,2,26,-19,1,2015-16,203076,Anthony Davis
22015,203076,0021500056,3-Nov-15,NOP vs. ORL,L,36,3,12,0.25,0,2,0,8,10,0.8,1,8,9,1,1,5,2,2,14,-2,1,2015-16,203076,Anthony Davis
22015,203076,0021500081,6-Nov-15,NOP vs. ATL,L,41,14,23,0.609,1,1,1,14,16,0.875,2,8,10,3,4,3,1,5,43,-1,1,2015-16,203076,Anthony Davis
22015,203076,0021500088,7-Nov-15,NOP @ DAL,L,39,11,19,0.579,0,2,0,3,5,0.6,1,5,6,4,1,2,4,5,25,-7,1,2015-16,203076,Anthony Davis
22015,203076,0021500112,10-Nov-15,NOP vs. DAL,W,19,8,14,0.571,0,1,0,1,4,0.25,0,7,7,2,1,1,1,2,17,17,1,2015-16,203076,Anthony Davis
22015,203076,0021500145,15-Nov-15,NOP @ NYK,L,40,14,26,0.538,2,4,0.5,6,7,0.857,1,10,11,1,1,4,4,4,36,-9,1,2015-16,203076,Anthony Davis
22015,203076,0021500163,17-Nov-15,NOP vs. DEN,L,6,0,3,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,-2,1,2015-16,203076,Anthony Davis
22015,203076,0021500182,20-Nov-15,NOP vs. SAS,W,39,9,23,0.391,0,1,0,2,2,1,2,16,18,3,0,2,1,2,20,15,1,2015-16,203076,Anthony Davis
22015,203076,0021500198,22-Nov-15,NOP vs. PHX,W,39,11,22,0.5,1,2,0.5,9,11,0.818,6,13,19,1,2,4,3,4,32,16,1,2015-16,203076,Anthony Davis
22015,203076,0021500225,25-Nov-15,NOP @ PHX,W,39,11,14,0.786,0,0,0,4,6,0.667,2,15,17,0,2,2,4,3,26,7,1,2015-16,203076,Anthony Davis
22015,203076,0021500238,27-Nov-15,NOP @ LAC,L,28,7,16,0.438,0,1,0,3,4,0.75,2,4,6,0,0,0,3,3,17,-26,1,2015-16,203076,Anthony Davis
22015,203076,0021500243,28-Nov-15,NOP @ UTA,L,44,12,18,0.667,0,2,0,12,15,0.8,1,10,11,1,2,3,2,4,36,1,1,2015-16,203076,Anthony Davis
22015,203076,0021500266,1-Dec-15,NOP vs. MEM,L,41,4,15,0.267,1,1,1,8,13,0.615,3,11,14,2,2,9,1,1,17,-1,1,2015-16,203076,Anthony Davis
22015,203076,0021500274,2-Dec-15,NOP @ HOU,L,35,9,20,0.45,1,2,0.5,10,11,0.909,2,11,13,1,2,2,2,2,29,-11,1,2015-16,203076,Anthony Davis
22015,203076,0021500288,4-Dec-15,NOP vs. CLE,W,46,13,22,0.591,2,4,0.5,3,6,0.5,1,11,12,1,4,1,1,2,31,7,1,2015-16,203076,Anthony Davis
22015,203076,0021500312,7-Dec-15,NOP vs. BOS,L,30,8,21,0.381,0,2,0,0,0,0,2,4,6,0,2,3,0,3,16,-24,1,2015-16,203076,Anthony Davis
22015,203076,0021500339,11-Dec-15,NOP vs. WAS,W,39,8,15,0.533,1,3,0.333,1,2,0.5,4,7,11,2,1,0,2,1,18,13,1,2015-16,203076,Anthony Davis
22015,203076,0021500348,12-Dec-15,NOP @ CHI,L,42,8,24,0.333,0,2,0,6,9,0.667,0,13,13,2,1,4,4,1,22,8,1,2015-16,203076,Anthony Davis
22015,203076,0021500366,14-Dec-15,NOP @ POR,L,42,11,19,0.579,0,2,0,6,9,0.667,2,8,10,1,0,5,2,2,28,-7,1,2015-16,203076,Anthony Davis
22015,203076,0021500380,16-Dec-15,NOP @ UTA,W,38,7,15,0.467,0,1,0,3,3,1,2,11,13,0,0,1,0,3,17,8,1,2015-16,203076,Anthony Davis
22015,203076,0021500396,18-Dec-15,NOP @ PHX,L,42,5,12,0.417,0,0,0,6,6,1,3,9,12,2,2,3,4,3,16,-18,1,2015-16,203076,Anthony Davis
22015,203076,0021500409,20-Dec-15,NOP @ DEN,W,20,9,12,0.75,0,0,0,9,9,1,0,6,6,1,0,4,1,1,27,11,1,2015-16,203076,Anthony Davis
22015,203076,0021500432,23-Dec-15,NOP vs. POR,W,36,12,21,0.571,0,1,0,4,5,0.8,3,9,12,1,1,3,2,1,28,21,1,2015-16,203076,Anthony Davis
22015,203076,0021500436,25-Dec-15,NOP @ MIA,L,50,13,29,0.448,1,2,0.5,2,3,0.667,3,12,15,4,4,3,4,2,29,-11,1,2015-16,203076,Anthony Davis
22015,203076,0021500445,26-Dec-15,NOP vs. HOU,W,38,8,16,0.5,1,2,0.5,7,8,0.875,2,11,13,2,0,3,4,3,24,7,1,2015-16,203076,Anthony Davis
22015,203076,0021500460,28-Dec-15,NOP @ ORL,L,28,9,16,0.563,0,2,0,2,5,0.4,2,6,8,1,2,1,2,1,20,-12,1,2015-16,203076,Anthony Davis
22015,203076,0021500487,31-Dec-15,NOP vs. LAC,L,38,7,17,0.412,0,2,0,0,2,0,2,13,15,1,0,2,1,3,14,-10,1,2015-16,203076,Anthony Davis
22015,203076,0021500501,2-Jan-16,NOP @ DAL,W,43,13,22,0.591,0,0,0,5,6,0.833,4,10,14,0,1,1,4,2,31,7,1,2015-16,203076,Anthony Davis
22015,203076,0021500531,6-Jan-16,NOP vs. DAL,L,42,11,25,0.44,0,3,0,4,5,0.8,5,6,11,7,2,3,3,3,26,-3,1,2015-16,203076,Anthony Davis
22015,203076,0021500544,8-Jan-16,NOP vs. IND,L,3,1,2,0.5,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,-1,1,2015-16,203076,Anthony Davis
22015,203076,0021500585,13-Jan-16,NOP @ SAC,W,37,8,23,0.348,1,2,0.5,7,8,0.875,3,7,10,3,2,0,0,2,24,2,1,2015-16,203076,Anthony Davis
22015,203076,0021500598,15-Jan-16,NOP vs. CHA,W,35,8,14,0.571,0,2,0,6,7,0.857,1,4,5,4,1,2,1,3,22,-5,1,2015-16,203076,Anthony Davis
22015,203076,0021500618,18-Jan-16,NOP @ MEM,L,37,6,12,0.5,0,2,0,9,11,0.818,0,8,8,2,3,3,3,3,21,-4,1,2015-16,203076,Anthony Davis
22015,203076,0021500626,19-Jan-16,NOP vs. MIN,W,37,13,22,0.591,1,2,0.5,8,10,0.8,3,4,7,0,0,2,0,5,35,8,1,2015-16,203076,Anthony Davis
22015,203076,0021500641,21-Jan-16,NOP vs. DET,W,36,13,23,0.565,1,2,0.5,5,5,1,3,4,7,2,1,2,2,4,32,15,1,2015-16,203076,Anthony Davis
22015,203076,0021500657,23-Jan-16,NOP vs. MIL,W,36,8,17,0.471,1,2,0.5,5,7,0.714,1,6,7,5,1,4,1,1,22,9,1,2015-16,203076,Anthony Davis
22015,203076,0021500671,25-Jan-16,NOP vs. HOU,L,19,4,9,0.444,0,0,0,1,1,1,2,4,6,1,2,0,4,1,9,-4,1,2015-16,203076,Anthony Davis
22015,203076,0021500710,30-Jan-16,NOP vs. BKN,W,40,9,22,0.409,1,2,0.5,1,2,0.5,6,10,16,3,0,2,1,2,20,-3,1,2015-16,203076,Anthony Davis
22015,203076,0021500724,1-Feb-16,NOP vs. MEM,L,37,10,20,0.5,1,2,0.5,2,3,0.667,3,6,9,3,1,1,1,1,23,-28,1,2015-16,203076,Anthony Davis
22015,203076,0021500742,3-Feb-16,NOP @ SAS,L,37,11,22,0.5,0,1,0,6,7,0.857,3,7,10,4,4,4,4,1,28,-12,1,2015-16,203076,Anthony Davis
22015,203076,0021500747,4-Feb-16,NOP vs. LAL,L,39,16,25,0.64,0,2,0,7,12,0.583,2,9,11,0,1,1,1,3,39,4,1,2015-16,203076,Anthony Davis
22015,203076,0021500763,6-Feb-16,NOP @ CLE,L,40,11,20,0.55,0,0,0,2,4,0.5,4,7,11,0,0,2,2,3,24,-9,1,2015-16,203076,Anthony Davis
22015,203076,0021500782,8-Feb-16,NOP @ MIN,W,31,12,20,0.6,1,2,0.5,2,6,0.333,0,8,8,1,2,0,0,2,27,15,1,2015-16,203076,Anthony Davis
22015,203076,0021500798,10-Feb-16,NOP vs. UTA,W,34,7,15,0.467,1,1,1,4,6,0.667,2,2,4,5,0,1,0,5,19,-10,1,2015-16,203076,Anthony Davis
22015,203076,0021500802,11-Feb-16,NOP @ OKC,L,31,8,14,0.571,0,1,0,7,12,0.583,0,3,3,2,2,0,1,3,23,-13,1,2015-16,203076,Anthony Davis
22015,203076,0021500811,19-Feb-16,NOP vs. PHI,W,38,9,22,0.409,0,2,0,16,20,0.8,2,5,7,1,2,2,2,3,34,-2,1,2015-16,203076,Anthony Davis
22015,203076,0021500823,21-Feb-16,NOP @ DET,W,43,24,34,0.706,2,2,1,9,10,0.9,6,14,20,4,0,1,2,1,59,17,1,2015-16,203076,Anthony Davis
22015,203076,0021500841,23-Feb-16,NOP @ WAS,L,37,3,9,0.333,0,1,0,3,4,0.75,3,17,20,3,2,1,3,1,9,-20,1,2015-16,203076,Anthony Davis
22015,203076,0021500857,25-Feb-16,NOP vs. OKC,W,38,11,26,0.423,2,3,0.667,6,7,0.857,1,5,6,2,1,4,2,2,30,1,1,2015-16,203076,Anthony Davis
22015,203076,0021500901,2-Mar-16,NOP @ HOU,L,39,5,13,0.385,1,2,0.5,1,2,0.5,1,7,8,3,2,1,1,4,12,-15,1,2015-16,203076,Anthony Davis
22015,203076,0021500909,3-Mar-16,NOP vs. SAS,L,35,7,12,0.583,0,1,0,3,3,1,1,12,13,1,2,2,2,1,17,-3,1,2015-16,203076,Anthony Davis
22015,203076,0021500925,5-Mar-16,NOP vs. UTA,L,35,11,31,0.355,1,2,0.5,6,7,0.857,2,9,11,2,1,2,1,4,29,-5,1,2015-16,203076,Anthony Davis
22015,203076,0021500941,7-Mar-16,NOP vs. SAC,W,38,13,21,0.619,1,3,0.333,4,9,0.444,1,9,10,1,3,1,5,5,31,-8,1,2015-16,203076,Anthony Davis
22015,203076,0021500950,9-Mar-16,NOP @ CHA,L,39,14,26,0.538,2,7,0.286,10,12,0.833,1,12,13,5,0,1,2,2,40,-7,1,2015-16,203076,Anthony Davis
22015,203076,0021500967,11-Mar-16,NOP @ MEM,L,47,9,17,0.529,0,1,0,7,9,0.778,2,11,13,2,1,1,3,3,25,-10,1,2015-16,203076,Anthony Davis
22015,203076,0021500978,12-Mar-16,NOP @ MIL,L,34,8,22,0.364,2,3,0.667,11,12,0.917,2,9,11,2,2,0,1,1,29,-24,1,2015-16,203076,Anthony Davis
22015,203076,0021500996,14-Mar-16,NOP @ GSW,L,29,6,20,0.3,0,0,0,10,11,0.909,5,7,12,1,1,2,2,3,22,-30,1,2015-16,203076,Anthony Davis
22015,203076,0021501010,16-Mar-16,NOP @ SAC,W,31,10,20,0.5,1,3,0.333,6,8,0.75,3,11,14,2,1,2,1,2,27,2,1,2015-16,203076,Anthony Davis
22015,203076,0021501025,18-Mar-16,NOP vs. POR,L,14,8,18,0.444,0,1,0,3,3,1,1,0,1,0,0,0,0,2,19,-11,1,2015-16,203076,Anthony Davis
22016,203076,0021600010,26-Oct-16,NOP vs. DEN,L,41,17,34,0.5,0,2,0,16,17,0.941,1,14,15,5,5,4,3,4,50,-3,1,2016-17,203076,Anthony Davis
22016,203076,0021600025,28-Oct-16,NOP vs. GSW,L,40,17,31,0.548,1,2,0.5,10,14,0.714,6,11,17,3,2,2,1,2,45,-3,1,2016-17,203076,Anthony Davis
