SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22020,1630162,0022000962,"May 01, 2021",MIN vs. NOP,L,38,9,21,0.429,2,7,0.286,9,11,0.818,2,7,9,6,0,1,6,3,29,-8,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022000183,"May 05, 2021",MIN vs. MEM,L,38,17,22,0.773,8,9,0.889,0,1,0.0,1,5,6,7,1,1,3,4,42,11,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022001005,"May 07, 2021",MIN @ MIA,L,41,10,19,0.526,2,9,0.222,3,3,1.0,2,4,6,3,0,1,5,4,25,-1,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022001022,"May 09, 2021",MIN @ ORL,W,29,7,11,0.636,2,6,0.333,0,1,0.0,1,9,10,5,0,1,1,2,16,25,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022001033,"May 11, 2021",MIN @ DET,W,34,7,16,0.438,2,6,0.333,6,9,0.667,1,1,2,2,2,0,4,3,22,30,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022001052,"May 13, 2021",MIN vs. DEN,L,39,8,16,0.5,4,9,0.444,9,12,0.75,1,6,7,5,0,2,1,3,29,-6,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022001063,"May 15, 2021",MIN vs. BOS,L,34,8,18,0.444,1,9,0.111,6,6,1.0,0,4,4,6,3,0,2,1,23,-12,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022001071,"May 16, 2021",MIN vs. DAL,W,38,10,21,0.476,5,9,0.556,5,5,1.0,0,0,0,4,0,2,1,1,30,9,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022000946,"Apr 29, 2021",MIN vs. GSW,W,35,10,19,0.526,3,6,0.5,2,3,0.667,0,5,5,3,0,1,2,4,25,5,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022000931,"Apr 27, 2021",MIN @ HOU,W,33,9,22,0.409,1,8,0.125,0,3,0.0,2,7,9,2,3,2,3,1,19,2,1,2020-21,1630162,Anthony Edwards
22020,1630162,0022000923,"Apr 26, 2021",MIN vs. UTA,W,38,5,17,0.294,1,10,0.1,3,3,1.0,1,8,9,4,1,0,3,2,14,1,1,2020-21,1630162,Anthony Edwards
