SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,201572,0021500006,"Oct 28, 2015",BKN vs. CHI,L,33,10,17,0.588,0,0,0.0,6,7,0.857,4,3,7,2,0,1,3,2,26,-20,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500028,"Oct 30, 2015",BKN @ SAS,L,32,6,11,0.545,0,0,0.0,5,6,0.833,0,3,3,4,0,1,2,3,17,-23,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500036,"Oct 31, 2015",BKN @ MEM,L,28,4,11,0.364,0,0,0.0,4,6,0.667,2,8,10,0,0,1,0,3,12,-2,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500047,"Nov 02, 2015",BKN vs. MIL,L,34,6,10,0.6,0,1,0.0,6,7,0.857,1,8,9,1,0,2,4,5,18,1,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500062,"Nov 04, 2015",BKN @ ATL,L,36,11,16,0.688,0,0,0.0,5,7,0.714,5,6,11,3,0,1,2,1,27,-6,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500077,"Nov 06, 2015",BKN vs. LAL,L,39,8,19,0.421,0,1,0.0,7,7,1.0,4,6,10,1,0,4,2,3,23,-4,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500089,"Nov 07, 2015",BKN @ MIL,L,29,9,17,0.529,0,0,0.0,2,2,1.0,1,3,4,1,0,2,4,2,20,-9,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500119,"Nov 11, 2015",BKN @ HOU,W,35,6,17,0.353,0,0,0.0,2,3,0.667,5,7,12,0,1,5,1,1,14,7,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500137,"Nov 13, 2015",BKN @ SAC,L,36,5,15,0.333,0,0,0.0,7,8,0.875,4,6,10,1,0,4,3,5,17,6,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500144,"Nov 14, 2015",BKN @ GSW,L,42,8,21,0.381,0,1,0.0,2,2,1.0,4,5,9,1,1,3,1,3,18,0,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500159,"Nov 17, 2015",BKN vs. ATL,W,35,11,21,0.524,0,0,0.0,2,4,0.5,2,8,10,1,1,3,1,3,24,3,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500165,"Nov 18, 2015",BKN @ CHA,L,35,8,19,0.421,0,0,0.0,7,8,0.875,2,3,5,3,0,2,1,5,23,6,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500179,"Nov 20, 2015",BKN @ BOS,L,27,5,9,0.556,0,0,0.0,4,4,1.0,3,4,7,2,0,0,2,1,14,-15,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500197,"Nov 22, 2015",BKN vs. BOS,W,35,10,20,0.5,0,0,0.0,3,4,0.75,5,5,10,0,1,0,2,3,23,3,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500223,"Nov 25, 2015",BKN @ OKC,L,34,11,23,0.478,0,0,0.0,4,4,1.0,6,2,8,2,2,2,3,3,26,-9,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500240,"Nov 28, 2015",BKN @ CLE,L,38,10,15,0.667,0,0,0.0,2,5,0.4,1,8,9,2,1,2,2,5,22,5,2,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500248,"Nov 29, 2015",BKN vs. DET,W,36,6,18,0.333,0,0,0.0,3,5,0.6,2,7,9,5,4,6,3,6,15,-4,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500264,"Dec 01, 2015",BKN vs. PHX,W,37,10,20,0.5,0,0,0.0,3,5,0.6,1,5,6,2,0,1,2,3,23,10,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500283,"Dec 04, 2015",BKN @ NYK,L,35,8,20,0.4,0,0,0.0,5,5,1.0,2,2,4,1,1,2,2,3,21,-19,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500300,"Dec 06, 2015",BKN vs. GSW,L,28,7,14,0.5,0,0,0.0,4,4,1.0,3,5,8,3,1,1,3,3,18,-15,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500315,"Dec 08, 2015",BKN vs. HOU,W,39,9,14,0.643,0,0,0.0,6,6,1.0,4,4,8,0,1,5,6,3,24,5,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500329,"Dec 10, 2015",BKN vs. PHI,W,19,2,3,0.667,0,0,0.0,3,5,0.6,2,5,7,1,0,1,5,5,7,15,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500344,"Dec 12, 2015",BKN vs. LAC,L,32,5,11,0.455,0,0,0.0,4,4,1.0,8,4,12,0,1,1,5,2,14,-14,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500358,"Dec 14, 2015",BKN vs. ORL,L,32,4,15,0.267,0,0,0.0,3,4,0.75,2,4,6,0,0,0,1,2,11,-12,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500373,"Dec 16, 2015",BKN vs. MIA,L,28,12,16,0.75,0,0,0.0,1,2,0.5,3,3,6,0,0,0,0,4,25,-3,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500386,"Dec 18, 2015",BKN @ IND,L,33,7,15,0.467,0,0,0.0,4,4,1.0,2,3,5,1,0,1,2,5,18,-4,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500403,"Dec 20, 2015",BKN vs. MIN,L,40,8,11,0.727,0,1,0.0,4,5,0.8,2,10,12,5,1,2,4,3,20,-7,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500414,"Dec 21, 2015",BKN @ CHI,W,35,8,18,0.444,0,0,0.0,5,6,0.833,3,9,12,2,2,3,3,3,21,6,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500428,"Dec 23, 2015",BKN vs. DAL,L,35,6,15,0.4,0,0,0.0,1,3,0.333,2,4,6,2,1,2,0,3,13,-1,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500447,"Dec 26, 2015",BKN vs. WAS,L,30,9,16,0.563,0,0,0.0,1,3,0.333,6,5,11,3,0,2,1,3,19,-22,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500462,"Dec 28, 2015",BKN @ MIA,W,35,10,24,0.417,0,0,0.0,6,7,0.857,5,7,12,0,2,1,2,4,26,2,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500475,"Dec 30, 2015",BKN @ ORL,L,39,7,18,0.389,0,1,0.0,10,12,0.833,6,9,15,2,3,5,2,3,24,-5,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500495,"Jan 02, 2016",BKN @ BOS,W,38,11,24,0.458,0,0,0.0,8,8,1.0,5,8,13,2,1,1,4,4,30,17,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500513,"Jan 04, 2016",BKN vs. BOS,L,37,6,14,0.429,0,0,0.0,7,7,1.0,0,5,5,1,0,1,3,4,19,-8,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500529,"Jan 06, 2016",BKN vs. TOR,L,40,11,21,0.524,0,0,0.0,2,5,0.4,5,8,13,1,1,3,3,2,24,-9,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500541,"Jan 08, 2016",BKN vs. ORL,L,35,6,15,0.4,0,0,0.0,5,8,0.625,3,5,8,0,1,1,3,0,17,-11,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500553,"Jan 09, 2016",BKN @ DET,L,30,8,11,0.727,0,0,0.0,3,3,1.0,1,6,7,1,0,3,3,4,19,-3,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500566,"Jan 11, 2016",BKN vs. SAS,L,32,8,17,0.471,0,0,0.0,2,2,1.0,1,4,5,2,0,2,1,3,18,-14,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500579,"Jan 13, 2016",BKN vs. NYK,W,30,8,13,0.615,0,0,0.0,4,6,0.667,1,7,8,5,2,1,0,3,20,17,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500596,"Jan 15, 2016",BKN vs. POR,L,28,9,17,0.529,0,0,0.0,7,10,0.7,3,4,7,1,0,1,2,1,25,6,1,2015-16,Regular Season,201572,Brook Lopez
22015,201572,0021500602,"Jan 16, 2016",BKN @ ATL,L,32,4,10,0.4,0,0,0.0,2,3,0.667,1,2,3,1,0,0,2,2,10,-14,1,2015-16,Regular Season,201572,Brook Lopez
