SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22021,1630595,0022100079,"Oct 30, 2021",DET vs. ORL,W,19,1,8,0.125,0,5,0.0,0,0,0.0,2,5,7,2,0,1,2,0,2,1,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100103,"Nov 02, 2021",DET vs. MIL,L,29,2,14,0.143,0,9,0.0,2,2,1.0,0,2,2,3,0,0,2,2,6,-22,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100119,"Nov 04, 2021",DET vs. PHI,L,32,4,17,0.235,1,7,0.143,9,10,0.9,4,6,10,4,1,0,3,3,18,7,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100124,"Nov 05, 2021",DET vs. BKN,L,30,6,17,0.353,3,7,0.429,2,2,1.0,0,4,4,2,1,0,6,4,17,-16,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100162,"Nov 10, 2021",DET @ HOU,W,30,8,18,0.444,4,8,0.5,0,0,0.0,1,3,4,3,2,1,4,3,20,1,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100176,"Nov 12, 2021",DET @ CLE,L,31,4,8,0.5,1,3,0.333,0,0,0.0,1,5,6,3,1,0,7,1,9,-9,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100189,"Nov 13, 2021",DET @ TOR,W,33,4,10,0.4,2,8,0.25,0,0,0.0,1,2,3,4,1,1,1,4,10,4,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100200,"Nov 15, 2021",DET vs. SAC,L,35,10,20,0.5,5,11,0.455,0,0,0.0,2,6,8,8,2,0,4,1,25,-15,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100214,"Nov 17, 2021",DET vs. IND,W,34,6,18,0.333,1,8,0.125,3,4,0.75,0,8,8,6,2,1,1,2,16,3,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100231,"Nov 19, 2021",DET vs. GSW,L,36,6,12,0.5,3,8,0.375,4,4,1.0,1,5,6,6,3,2,2,2,19,-4,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100249,"Nov 21, 2021",DET vs. LAL,L,38,6,21,0.286,1,9,0.111,0,0,0.0,1,11,12,10,2,0,3,3,13,0,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100263,"Nov 23, 2021",DET vs. MIA,L,29,2,10,0.2,1,7,0.143,1,1,1.0,0,3,3,6,1,0,4,4,6,-11,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100273,"Nov 24, 2021",DET @ MIL,L,30,3,10,0.3,2,6,0.333,1,2,0.5,0,8,8,7,0,0,4,1,9,-23,1,2021-22,1630595,Cade Cunningham
22021,1630595,0022100280,"Nov 26, 2021",DET @ LAC,L,28,3,13,0.231,0,5,0.0,4,5,0.8,2,4,6,6,3,0,4,5,10,0,1,2021-22,1630595,Cade Cunningham
