SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22019,1628997,0021900018,"Oct 25, 2019",CHA vs. MIN,L,18,2,8,0.25,0,2,0.0,0,1,0.0,0,2,2,3,1,2,1,2,4,-6,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900040,"Oct 27, 2019",CHA @ LAL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-3,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900112,"Nov 07, 2019",CHA vs. BOS,L,6,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,0,1,0,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900336,"Dec 08, 2019",CHA vs. ATL,L,3,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,6,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900389,"Dec 15, 2019",CHA @ IND,L,4,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,0,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900778,"Feb 08, 2020",CHA vs. DAL,L,23,0,1,0.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,2,0,-8,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900793,"Feb 10, 2020",CHA @ DET,W,20,2,7,0.286,1,3,0.333,0,0,0.0,1,0,1,0,1,0,1,3,5,1,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900813,"Feb 12, 2020",CHA @ MIN,W,25,3,7,0.429,1,2,0.5,1,2,0.5,0,3,3,1,1,0,0,5,8,6,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900836,"Feb 22, 2020",CHA vs. BKN,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,0,-7,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900857,"Feb 25, 2020",CHA @ IND,L,26,4,10,0.4,3,4,0.75,0,0,0.0,1,2,3,2,0,1,2,1,11,-11,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900864,"Feb 26, 2020",CHA vs. NYK,W,14,2,4,0.5,1,3,0.333,0,0,0.0,1,1,2,0,0,0,1,1,5,-6,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900879,"Feb 28, 2020",CHA @ TOR,W,12,0,1,0.0,0,0,0.0,0,0,0.0,2,3,5,3,0,1,0,2,0,7,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900895,"Mar 01, 2020",CHA vs. MIL,L,24,2,6,0.333,1,2,0.5,0,0,0.0,1,3,4,1,1,0,1,3,5,13,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900909,"Mar 03, 2020",CHA vs. SAS,L,27,5,9,0.556,2,4,0.5,0,0,0.0,2,1,3,1,1,0,2,2,12,8,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900926,"Mar 05, 2020",CHA vs. DEN,L,14,2,3,0.667,1,1,1.0,3,4,0.75,0,0,0,0,0,0,1,0,8,-8,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900940,"Mar 07, 2020",CHA vs. HOU,W,22,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,2,0,1,2,3,6,-4,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900957,"Mar 09, 2020",CHA @ ATL,L,37,8,10,0.8,5,6,0.833,2,2,1.0,0,0,0,4,3,2,0,6,23,2,1,2019-20,Regular Season,1628997,Caleb Martin
22019,1628997,0021900970,"Mar 11, 2020",CHA @ MIA,W,35,4,12,0.333,3,6,0.5,8,8,1.0,1,6,7,3,4,0,1,0,19,15,1,2019-20,Regular Season,1628997,Caleb Martin
22020,1628997,0022000022,"Dec 26, 2020",CHA vs. OKC,L,15,4,8,0.5,1,2,0.5,1,1,1.0,0,1,1,0,2,0,1,1,10,7,1,2020-21,Regular Season,1628997,Caleb Martin
22020,1628997,0022000032,"Dec 27, 2020",CHA vs. BKN,W,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-2,1,2020-21,Regular Season,1628997,Caleb Martin
22020,1628997,0022000059,"Dec 30, 2020",CHA @ DAL,W,14,2,3,0.667,0,0,0.0,0,2,0.0,1,3,4,4,1,0,0,1,4,15,1,2020-21,Regular Season,1628997,Caleb Martin
22020,1628997,0022000069,"Jan 01, 2021",CHA vs. MEM,L,23,6,9,0.667,2,4,0.5,0,0,0.0,0,2,2,2,1,0,1,0,14,0,1,2020-21,Regular Season,1628997,Caleb Martin
22020,1628997,0022000082,"Jan 02, 2021",CHA @ PHI,L,19,3,7,0.429,1,3,0.333,2,2,1.0,1,4,5,2,1,0,0,1,9,0,1,2020-21,Regular Season,1628997,Caleb Martin
22020,1628997,0022000094,"Jan 04, 2021",CHA @ PHI,L,17,2,4,0.5,0,2,0.0,3,5,0.6,2,1,3,2,0,1,3,0,7,0,1,2020-21,Regular Season,1628997,Caleb Martin
