SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22023,1631096,0022300070,"Oct 25, 2023",OKC @ CHI,W,25,4,7,0.571,2,3,0.667,1,3,0.333,0,4,4,3,1,0,1,3,11,14,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300081,"Oct 27, 2023",OKC @ CLE,W,31,5,9,0.556,3,4,0.75,3,4,0.75,1,12,13,2,1,7,1,3,16,6,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300095,"Oct 29, 2023",OKC vs. DEN,L,26,7,12,0.583,1,4,0.25,4,4,1.0,2,2,4,0,0,0,1,2,19,-23,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300109,"Oct 30, 2023",OKC vs. DET,W,24,4,5,0.8,4,5,0.8,2,2,1.0,0,4,4,3,2,4,3,5,14,9,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300121,"Nov 01, 2023",OKC vs. NOP,L,37,8,14,0.571,1,5,0.2,2,2,1.0,3,8,11,3,1,2,5,4,19,-3,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300005,"Nov 03, 2023",OKC vs. GSW,L,32,7,9,0.778,2,2,1.0,8,8,1.0,3,5,8,5,1,1,2,4,24,-1,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300155,"Nov 06, 2023",OKC vs. ATL,W,34,4,14,0.286,1,3,0.333,7,7,1.0,3,9,12,3,1,3,1,3,16,4,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300167,"Nov 08, 2023",OKC vs. CLE,W,29,7,10,0.7,1,1,1.0,0,0,0.0,3,4,7,2,1,3,2,4,15,3,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300016,"Nov 10, 2023",OKC @ SAC,L,30,5,12,0.417,0,3,0.0,2,3,0.667,1,6,7,1,1,1,4,2,12,-13,1,2023-24,1631096,Chet Holmgren
22023,1631096,0022300185,"Nov 12, 2023",OKC @ PHX,W,33,5,10,0.5,3,6,0.5,5,5,1.0,0,6,6,4,0,2,0,3,18,27,1,2023-24,1631096,Chet Holmgren
