SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22015,101108,0021500016,"Oct 28, 2015",LAC @ SAC,W,37,6,14,0.429,1,4,0.25,5,6,0.833,0,5,5,11,2,0,2,1,18,15,1,2015-16,101108,Chris Paul
22015,101108,0021500020,"Oct 29, 2015",LAC vs. DAL,W,24,3,8,0.375,1,4,0.25,2,2,1.0,0,3,3,5,1,0,0,1,9,15,1,2015-16,101108,Chris Paul
22015,101108,0021500038,"Oct 31, 2015",LAC vs. SAC,W,38,5,13,0.385,1,5,0.2,6,8,0.75,0,6,6,11,1,0,5,2,17,19,1,2015-16,101108,Chris Paul
22015,101108,0021500052,"Nov 02, 2015",LAC vs. PHX,W,31,7,15,0.467,1,2,0.5,2,2,1.0,0,3,3,5,1,0,5,3,17,-4,1,2015-16,101108,Chris Paul
22015,101108,0021500069,"Nov 04, 2015",LAC @ GSW,L,31,9,15,0.6,1,3,0.333,5,7,0.714,0,3,3,9,3,0,2,4,24,-2,1,2015-16,101108,Chris Paul
22015,101108,0021500105,"Nov 09, 2015",LAC vs. MEM,W,33,4,10,0.4,1,4,0.25,5,6,0.833,1,3,4,4,1,0,4,5,14,9,1,2015-16,101108,Chris Paul
22015,101108,0021500118,"Nov 11, 2015",LAC @ DAL,L,35,2,11,0.182,1,3,0.333,6,7,0.857,0,1,1,11,0,0,2,2,11,-12,1,2015-16,101108,Chris Paul
22015,101108,0021500177,"Nov 19, 2015",LAC vs. GSW,L,32,13,22,0.591,5,9,0.556,4,4,1.0,0,4,4,8,3,0,3,2,35,-6,1,2015-16,101108,Chris Paul
22015,101108,0021500186,"Nov 20, 2015",LAC @ POR,L,29,4,12,0.333,1,4,0.25,2,2,1.0,0,2,2,8,1,0,2,3,11,-18,1,2015-16,101108,Chris Paul
22015,101108,0021500196,"Nov 22, 2015",LAC vs. TOR,L,33,5,13,0.385,1,4,0.25,2,2,1.0,2,3,5,11,2,0,3,5,13,-15,1,2015-16,101108,Chris Paul
22015,101108,0021500212,"Nov 24, 2015",LAC @ DEN,W,28,6,11,0.545,0,0,0.0,3,4,0.75,0,2,2,10,3,0,0,1,15,21,1,2015-16,101108,Chris Paul
22015,101108,0021500226,"Nov 25, 2015",LAC vs. UTA,L,35,10,15,0.667,2,2,1.0,2,2,1.0,2,3,5,8,3,0,2,3,24,-6,1,2015-16,101108,Chris Paul
22015,101108,0021500238,"Nov 27, 2015",LAC vs. NOP,W,29,5,11,0.455,1,4,0.25,6,7,0.857,0,5,5,8,2,0,0,1,17,26,1,2015-16,101108,Chris Paul
22015,101108,0021500247,"Nov 29, 2015",LAC vs. MIN,W,32,7,12,0.583,0,1,0.0,6,6,1.0,0,2,2,9,0,0,4,2,20,7,1,2015-16,101108,Chris Paul
22015,101108,0021500261,"Nov 30, 2015",LAC vs. POR,W,24,3,11,0.273,0,1,0.0,4,4,1.0,2,1,3,6,2,0,4,1,10,13,1,2015-16,101108,Chris Paul
22015,101108,0021500311,"Dec 07, 2015",LAC @ MIN,W,32,5,14,0.357,1,2,0.5,3,3,1.0,0,1,1,5,4,0,5,4,14,7,1,2015-16,101108,Chris Paul
22015,101108,0021500324,"Dec 09, 2015",LAC @ MIL,W,38,7,13,0.538,2,4,0.5,2,2,1.0,0,3,3,18,0,0,2,4,18,25,1,2015-16,101108,Chris Paul
22015,101108,0021500330,"Dec 10, 2015",LAC @ CHI,L,31,5,16,0.313,2,4,0.5,0,0,0.0,0,0,0,5,1,0,4,3,12,8,1,2015-16,101108,Chris Paul
22015,101108,0021500344,"Dec 12, 2015",LAC @ BKN,W,31,6,15,0.4,0,4,0.0,3,3,1.0,0,2,2,14,3,0,3,2,15,1,1,2015-16,101108,Chris Paul
22015,101108,0021500359,"Dec 14, 2015",LAC @ DET,W,38,6,16,0.375,0,2,0.0,1,1,1.0,1,4,5,12,2,0,3,5,13,12,1,2015-16,101108,Chris Paul
22015,101108,0021500382,"Dec 16, 2015",LAC vs. MIL,W,33,7,12,0.583,3,4,0.75,4,4,1.0,0,6,6,8,2,0,4,1,21,14,1,2015-16,101108,Chris Paul
22015,101108,0021500393,"Dec 18, 2015",LAC @ SAS,L,34,8,14,0.571,2,5,0.4,9,10,0.9,1,1,2,10,3,0,2,5,27,6,1,2015-16,101108,Chris Paul
22015,101108,0021500401,"Dec 19, 2015",LAC @ HOU,L,31,3,13,0.231,2,7,0.286,4,5,0.8,0,1,1,10,7,0,2,2,12,-1,1,2015-16,101108,Chris Paul
22015,101108,0021500418,"Dec 21, 2015",LAC vs. OKC,L,36,11,19,0.579,4,6,0.667,6,6,1.0,1,4,5,10,2,0,2,3,32,-4,1,2015-16,101108,Chris Paul
22015,101108,0021500440,"Dec 25, 2015",LAC @ LAL,W,35,11,19,0.579,0,3,0.0,1,1,1.0,0,5,5,6,3,0,1,2,23,17,1,2015-16,101108,Chris Paul
22015,101108,0021500452,"Dec 26, 2015",LAC @ UTA,W,36,7,14,0.5,1,1,1.0,4,4,1.0,1,1,2,11,2,0,1,4,19,7,1,2015-16,101108,Chris Paul
22015,101108,0021500461,"Dec 28, 2015",LAC @ WAS,W,27,9,20,0.45,1,5,0.2,4,4,1.0,1,4,5,7,0,0,2,1,23,10,1,2015-16,101108,Chris Paul
22015,101108,0021500474,"Dec 30, 2015",LAC @ CHA,W,30,4,13,0.308,0,3,0.0,11,12,0.917,3,2,5,11,1,1,5,2,19,-4,1,2015-16,101108,Chris Paul
22015,101108,0021500487,"Dec 31, 2015",LAC @ NOP,W,33,3,18,0.167,0,4,0.0,3,4,0.75,1,4,5,12,2,0,3,0,9,13,1,2015-16,101108,Chris Paul
22015,101108,0021500505,"Jan 02, 2016",LAC vs. PHI,W,26,4,12,0.333,1,4,0.25,6,6,1.0,0,5,5,14,1,0,2,2,15,22,1,2015-16,101108,Chris Paul
22015,101108,0021500535,"Jan 06, 2016",LAC @ POR,W,36,9,19,0.474,0,3,0.0,3,4,0.75,1,3,4,19,1,0,3,4,21,16,1,2015-16,101108,Chris Paul
22015,101108,0021500550,"Jan 09, 2016",LAC vs. CHA,W,31,11,19,0.579,3,5,0.6,0,0,0.0,1,6,7,7,2,1,5,4,25,21,1,2015-16,101108,Chris Paul
22015,101108,0021500558,"Jan 10, 2016",LAC vs. NOP,W,40,10,18,0.556,3,4,0.75,2,4,0.5,1,4,5,11,3,1,2,5,25,9,1,2015-16,101108,Chris Paul
22015,101108,0021500586,"Jan 13, 2016",LAC vs. MIA,W,30,6,17,0.353,2,3,0.667,1,2,0.5,2,4,6,12,4,1,1,1,15,14,1,2015-16,101108,Chris Paul
22015,101108,0021500609,"Jan 16, 2016",LAC vs. SAC,L,27,4,11,0.364,3,5,0.6,4,4,1.0,0,4,4,7,1,0,4,5,15,1,1,2015-16,101108,Chris Paul
22015,101108,0021500624,"Jan 18, 2016",LAC vs. HOU,W,43,8,15,0.533,5,7,0.714,7,9,0.778,0,6,6,12,6,1,5,4,28,14,1,2015-16,101108,Chris Paul
22015,101108,0021500640,"Jan 21, 2016",LAC @ CLE,L,34,11,19,0.579,1,3,0.333,7,7,1.0,1,2,3,9,3,1,4,4,30,-4,1,2015-16,101108,Chris Paul
22015,101108,0021500648,"Jan 22, 2016",LAC @ NYK,W,28,6,15,0.4,2,4,0.5,2,2,1.0,0,6,6,13,1,0,2,3,16,19,1,2015-16,101108,Chris Paul
22015,101108,0021500666,"Jan 24, 2016",LAC @ TOR,L,31,9,17,0.529,3,7,0.429,2,3,0.667,1,3,4,11,2,1,4,4,23,10,1,2015-16,101108,Chris Paul
22015,101108,0021500676,"Jan 26, 2016",LAC @ IND,W,36,11,21,0.524,4,8,0.5,0,0,0.0,1,5,6,7,1,0,4,3,26,-9,1,2015-16,101108,Chris Paul
22015,101108,0021500687,"Jan 27, 2016",LAC @ ATL,W,33,5,15,0.333,0,4,0.0,1,1,1.0,0,4,4,10,3,0,2,1,11,-7,1,2015-16,101108,Chris Paul
22015,101108,0021500706,"Jan 29, 2016",LAC vs. LAL,W,31,11,18,0.611,3,6,0.5,2,2,1.0,0,1,1,7,2,0,2,1,27,8,1,2015-16,101108,Chris Paul
22015,101108,0021500714,"Jan 31, 2016",LAC vs. CHI,W,33,8,16,0.5,1,4,0.25,2,2,1.0,0,1,1,7,2,0,1,0,19,16,1,2015-16,101108,Chris Paul
22015,101108,0021500745,"Feb 03, 2016",LAC vs. MIN,L,36,6,14,0.429,4,9,0.444,6,6,1.0,2,2,4,8,2,0,2,2,22,-9,1,2015-16,101108,Chris Paul
22015,101108,0021500752,"Feb 05, 2016",LAC @ ORL,W,36,8,15,0.533,1,4,0.25,4,5,0.8,0,4,4,6,4,0,6,3,21,26,1,2015-16,101108,Chris Paul
22015,101108,0021500772,"Feb 07, 2016",LAC @ MIA,W,34,8,23,0.348,2,6,0.333,4,4,1.0,0,2,2,7,1,0,1,2,22,7,1,2015-16,101108,Chris Paul
22015,101108,0021500777,"Feb 08, 2016",LAC @ PHI,W,40,5,18,0.278,0,3,0.0,9,10,0.9,1,5,6,7,4,0,3,3,19,10,1,2015-16,101108,Chris Paul
22015,101108,0021500792,"Feb 10, 2016",LAC @ BOS,L,48,13,21,0.619,3,8,0.375,6,9,0.667,0,5,5,13,3,1,2,5,35,1,1,2015-16,101108,Chris Paul
22015,101108,0021500804,"Feb 18, 2016",LAC vs. SAS,W,37,9,18,0.5,3,7,0.429,7,7,1.0,0,5,5,12,1,1,2,2,28,25,1,2015-16,101108,Chris Paul
22015,101108,0021500822,"Feb 20, 2016",LAC vs. GSW,L,35,10,19,0.526,3,7,0.429,1,1,1.0,0,7,7,6,1,0,1,2,24,-14,1,2015-16,101108,Chris Paul
22015,101108,0021500839,"Feb 22, 2016",LAC vs. PHX,W,27,6,11,0.545,1,2,0.5,3,3,1.0,0,2,2,14,2,0,1,3,16,37,1,2015-16,101108,Chris Paul
22015,101108,0021500853,"Feb 24, 2016",LAC vs. DEN,L,35,6,14,0.429,3,8,0.375,2,2,1.0,1,5,6,10,4,0,2,3,17,-4,1,2015-16,101108,Chris Paul
22015,101108,0021500867,"Feb 26, 2016",LAC @ SAC,W,36,13,20,0.65,4,9,0.444,10,10,1.0,1,7,8,13,2,0,2,1,40,14,1,2015-16,101108,Chris Paul
22015,101108,0021500890,"Feb 29, 2016",LAC vs. BKN,W,36,8,15,0.533,1,5,0.2,6,6,1.0,1,5,6,12,2,0,3,3,23,5,1,2015-16,101108,Chris Paul
22015,101108,0021500907,"Mar 02, 2016",LAC vs. OKC,W,40,8,17,0.471,1,4,0.25,4,4,1.0,1,3,4,13,1,1,2,4,21,8,1,2015-16,101108,Chris Paul
22015,101108,0021500929,"Mar 05, 2016",LAC vs. ATL,L,37,6,16,0.375,2,5,0.4,3,3,1.0,0,6,6,11,1,0,4,2,17,-12,1,2015-16,101108,Chris Paul
22015,101108,0021500942,"Mar 07, 2016",LAC @ DAL,W,28,12,18,0.667,2,6,0.333,1,1,1.0,0,4,4,7,3,0,1,3,27,21,1,2015-16,101108,Chris Paul
22015,101108,0021500955,"Mar 09, 2016",LAC @ OKC,L,37,5,15,0.333,1,6,0.167,1,1,1.0,0,3,3,16,5,1,3,3,12,-11,1,2015-16,101108,Chris Paul
22015,101108,0021500972,"Mar 11, 2016",LAC vs. NYK,W,34,9,17,0.529,4,7,0.571,2,4,0.5,0,4,4,15,2,0,4,1,24,8,1,2015-16,101108,Chris Paul
22015,101108,0021500983,"Mar 13, 2016",LAC vs. CLE,L,30,5,11,0.455,3,6,0.5,4,4,1.0,0,5,5,10,2,0,4,2,17,-8,1,2015-16,101108,Chris Paul
22015,101108,0021501001,"Mar 15, 2016",LAC @ SAS,L,33,9,16,0.563,1,3,0.333,3,3,1.0,0,4,4,8,3,0,3,1,22,2,1,2015-16,101108,Chris Paul
22015,101108,0021501009,"Mar 16, 2016",LAC @ HOU,W,32,5,13,0.385,0,5,0.0,5,6,0.833,1,3,4,16,2,0,3,0,15,9,1,2015-16,101108,Chris Paul
22015,101108,0021501035,"Mar 19, 2016",LAC @ MEM,L,32,7,14,0.5,3,5,0.6,8,9,0.889,0,3,3,6,1,0,3,2,25,-20,1,2015-16,101108,Chris Paul
22015,101108,0021501040,"Mar 20, 2016",LAC @ NOP,L,36,5,14,0.357,3,7,0.429,11,13,0.846,0,6,6,13,4,0,1,5,24,0,1,2015-16,101108,Chris Paul
22015,101108,0021501066,"Mar 23, 2016",LAC @ GSW,L,35,4,16,0.25,1,6,0.167,4,5,0.8,1,5,6,8,1,0,3,4,13,4,1,2015-16,101108,Chris Paul
22015,101108,0021501072,"Mar 24, 2016",LAC vs. POR,W,31,8,15,0.533,0,2,0.0,9,9,1.0,1,4,5,7,1,0,4,2,25,5,1,2015-16,101108,Chris Paul
22015,101108,0021501092,"Mar 27, 2016",LAC vs. DEN,W,26,4,11,0.364,2,4,0.5,4,5,0.8,1,5,6,9,1,1,2,1,14,22,1,2015-16,101108,Chris Paul
22015,101108,0021501106,"Mar 28, 2016",LAC vs. BOS,W,26,5,14,0.357,1,3,0.333,2,2,1.0,0,4,4,14,3,0,4,2,13,7,1,2015-16,101108,Chris Paul
22015,101108,0021501116,"Mar 30, 2016",LAC @ MIN,W,31,6,16,0.375,1,4,0.25,7,7,1.0,2,6,8,16,1,0,2,1,20,33,1,2015-16,101108,Chris Paul
22015,101108,0021501147,"Apr 03, 2016",LAC vs. WAS,W,33,10,19,0.526,1,3,0.333,6,7,0.857,0,3,3,12,1,0,2,2,27,6,1,2015-16,101108,Chris Paul
22015,101108,0021501164,"Apr 05, 2016",LAC vs. LAL,W,23,10,14,0.714,2,4,0.5,3,3,1.0,0,4,4,8,2,1,0,1,25,30,1,2015-16,101108,Chris Paul
22015,101108,0021501172,"Apr 06, 2016",LAC @ LAL,W,24,5,10,0.5,1,3,0.333,2,2,1.0,1,4,5,8,0,0,1,2,13,15,1,2015-16,101108,Chris Paul
22015,101108,0021501196,"Apr 10, 2016",LAC vs. DAL,W,35,2,10,0.2,0,4,0.0,1,1,1.0,0,7,7,11,1,0,0,2,5,16,1,2015-16,101108,Chris Paul
22015,101108,0021501216,"Apr 12, 2016",LAC vs. MEM,W,27,4,9,0.444,2,3,0.667,2,2,1.0,1,1,2,13,2,0,5,1,12,19,1,2015-16,101108,Chris Paul
22016,101108,0021600017,"Oct 27, 2016",LAC @ POR,W,33,9,19,0.474,3,8,0.375,6,7,0.857,0,5,5,5,1,0,1,2,27,-4,1,2016-17,101108,Chris Paul
22016,101108,0021600035,"Oct 30, 2016",LAC vs. UTA,W,29,3,8,0.375,1,3,0.333,2,2,1.0,0,3,3,9,3,0,3,1,9,14,1,2016-17,101108,Chris Paul
22016,101108,0021600045,"Oct 31, 2016",LAC vs. PHX,W,30,8,15,0.533,2,4,0.5,6,7,0.857,0,5,5,8,2,0,2,4,24,21,1,2016-17,101108,Chris Paul
22016,101108,0021600064,"Nov 02, 2016",LAC vs. OKC,L,33,4,11,0.364,2,4,0.5,5,6,0.833,1,10,11,9,6,0,5,1,15,-7,1,2016-17,101108,Chris Paul
22016,101108,0021600074,"Nov 04, 2016",LAC @ MEM,W,33,6,16,0.375,1,8,0.125,14,15,0.933,1,3,4,11,6,2,1,4,27,10,1,2016-17,101108,Chris Paul
22016,101108,0021600086,"Nov 05, 2016",LAC @ SAS,W,29,4,11,0.364,0,1,0.0,1,1,1.0,1,7,8,10,2,0,1,2,9,25,1,2016-17,101108,Chris Paul
22016,101108,0021600098,"Nov 07, 2016",LAC vs. DET,W,25,8,10,0.8,5,5,1.0,3,4,0.75,0,6,6,8,2,1,0,1,24,33,1,2016-17,101108,Chris Paul
22016,101108,0021600115,"Nov 09, 2016",LAC vs. POR,W,23,7,14,0.5,3,6,0.5,2,2,1.0,1,3,4,7,1,0,1,2,19,32,1,2016-17,101108,Chris Paul
22016,101108,0021600126,"Nov 11, 2016",LAC @ OKC,W,36,5,14,0.357,2,6,0.333,5,5,1.0,0,6,6,10,1,0,0,2,17,6,1,2016-17,101108,Chris Paul
22016,101108,0021600135,"Nov 12, 2016",LAC @ MIN,W,32,4,7,0.571,3,4,0.75,8,8,1.0,0,4,4,8,2,0,4,2,19,17,1,2016-17,101108,Chris Paul
22016,101108,0021600152,"Nov 14, 2016",LAC vs. BKN,W,25,8,11,0.727,4,6,0.667,1,1,1.0,1,3,4,9,5,0,1,2,21,39,1,2016-17,101108,Chris Paul
22016,101108,0021600167,"Nov 16, 2016",LAC vs. MEM,L,34,3,11,0.273,1,4,0.25,2,4,0.5,0,2,2,6,5,0,2,4,9,2,1,2016-17,101108,Chris Paul
22016,101108,0021600183,"Nov 18, 2016",LAC @ SAC,W,33,2,10,0.2,1,6,0.167,6,8,0.75,1,8,9,12,4,0,3,4,11,1,1,2016-17,101108,Chris Paul
22016,101108,0021600192,"Nov 19, 2016",LAC vs. CHI,W,34,7,14,0.5,3,5,0.6,2,3,0.667,3,1,4,8,2,0,4,2,19,10,1,2016-17,101108,Chris Paul
22016,101108,0021600207,"Nov 21, 2016",LAC vs. TOR,W,35,8,14,0.571,3,8,0.375,7,7,1.0,0,3,3,12,2,0,4,1,26,8,1,2016-17,101108,Chris Paul
22016,101108,0021600220,"Nov 23, 2016",LAC @ DAL,W,26,6,10,0.6,2,4,0.5,4,4,1.0,1,2,3,4,4,0,0,1,18,15,1,2016-17,101108,Chris Paul
22016,101108,0021600230,"Nov 25, 2016",LAC @ DET,L,33,2,9,0.222,1,4,0.25,3,3,1.0,0,4,4,14,1,0,5,4,8,-13,1,2016-17,101108,Chris Paul
22016,101108,0021600249,"Nov 27, 2016",LAC @ IND,L,32,3,11,0.273,0,6,0.0,7,7,1.0,0,4,4,4,2,1,4,1,13,-15,1,2016-17,101108,Chris Paul
22016,101108,0021600261,"Nov 29, 2016",LAC @ BKN,L,45,11,26,0.423,4,7,0.571,0,0,0.0,3,7,10,13,2,1,4,2,26,0,1,2016-17,101108,Chris Paul
22016,101108,0021600279,"Dec 01, 2016",LAC @ CLE,W,25,5,11,0.455,3,7,0.429,3,3,1.0,2,4,6,9,1,0,0,4,16,17,1,2016-17,101108,Chris Paul
22016,101108,0021600287,"Dec 02, 2016",LAC @ NOP,W,34,6,11,0.545,1,4,0.25,4,4,1.0,1,7,8,13,1,0,2,2,17,25,1,2016-17,101108,Chris Paul
22016,101108,0021600303,"Dec 04, 2016",LAC vs. IND,L,35,5,9,0.556,2,5,0.4,6,7,0.857,0,2,2,11,1,0,5,3,18,8,1,2016-17,101108,Chris Paul
22016,101108,0021600330,"Dec 07, 2016",LAC vs. GSW,L,32,7,14,0.5,1,6,0.167,0,0,0.0,1,5,6,5,1,0,2,4,15,-16,1,2016-17,101108,Chris Paul
22016,101108,0021600355,"Dec 10, 2016",LAC vs. NOP,W,30,8,16,0.5,3,6,0.5,1,2,0.5,0,5,5,20,3,0,0,3,20,21,1,2016-17,101108,Chris Paul
22016,101108,0021600366,"Dec 12, 2016",LAC vs. POR,W,36,7,14,0.5,3,6,0.5,4,4,1.0,1,4,5,14,2,0,2,3,21,5,1,2016-17,101108,Chris Paul
22016,101108,0021600376,"Dec 14, 2016",LAC @ ORL,W,32,5,9,0.556,1,2,0.5,5,6,0.833,0,2,2,10,2,0,4,3,16,2,1,2016-17,101108,Chris Paul
22016,101108,0021600397,"Dec 16, 2016",LAC @ MIA,W,34,6,15,0.4,1,4,0.25,4,6,0.667,0,5,5,6,0,0,1,3,17,0,1,2016-17,101108,Chris Paul
22016,101108,0021600406,"Dec 18, 2016",LAC @ WAS,L,37,6,15,0.4,1,5,0.2,0,1,0.0,1,3,4,12,2,0,3,4,13,-5,1,2016-17,101108,Chris Paul
22016,101108,0021600426,"Dec 20, 2016",LAC vs. DEN,W,26,7,14,0.5,2,5,0.4,0,0,0.0,0,8,8,15,1,0,3,1,16,37,1,2016-17,101108,Chris Paul
22016,101108,0021600441,"Dec 22, 2016",LAC vs. SAS,W,23,6,11,0.545,2,2,1.0,5,6,0.833,0,6,6,6,2,0,2,2,19,6,1,2016-17,101108,Chris Paul
22016,101108,0021600481,"Dec 28, 2016",LAC @ NOP,L,31,7,15,0.467,2,7,0.286,5,5,1.0,3,5,8,6,1,0,1,3,21,-4,1,2016-17,101108,Chris Paul
22016,101108,0021600551,"Jan 06, 2017",LAC @ SAC,W,31,3,5,0.6,1,2,0.5,7,8,0.875,0,6,6,12,3,0,3,2,14,9,1,2016-17,101108,Chris Paul
22016,101108,0021600561,"Jan 08, 2017",LAC vs. MIA,W,29,7,11,0.636,1,3,0.333,4,5,0.8,1,5,6,18,2,0,1,4,19,23,1,2016-17,101108,Chris Paul
22016,101108,0021600584,"Jan 11, 2017",LAC vs. ORL,W,33,6,13,0.462,1,5,0.2,5,6,0.833,0,7,7,6,4,0,5,3,18,10,1,2016-17,101108,Chris Paul
22016,101108,0021600601,"Jan 14, 2017",LAC vs. LAL,W,31,7,15,0.467,2,6,0.333,4,4,1.0,2,3,5,13,2,0,4,2,20,17,1,2016-17,101108,Chris Paul
22016,101108,0021600621,"Jan 16, 2017",LAC vs. OKC,W,14,3,5,0.6,2,3,0.667,0,0,0.0,0,3,3,6,1,0,3,0,8,15,1,2016-17,101108,Chris Paul
22016,101108,0021600865,"Feb 24, 2017",LAC vs. SAS,L,33,6,14,0.429,2,3,0.667,3,4,0.75,0,6,6,5,2,0,4,4,17,0,1,2016-17,101108,Chris Paul
22016,101108,0021600881,"Feb 26, 2017",LAC vs. CHA,W,41,4,18,0.222,2,6,0.333,5,6,0.833,0,9,9,17,1,0,0,3,15,18,1,2016-17,101108,Chris Paul
22016,101108,0021600904,"Mar 01, 2017",LAC vs. HOU,L,36,5,13,0.385,3,7,0.429,3,3,1.0,1,1,2,11,2,0,1,3,16,-11,1,2016-17,101108,Chris Paul
22016,101108,0021600912,"Mar 03, 2017",LAC @ MIL,L,29,7,11,0.636,5,6,0.833,2,2,1.0,0,4,4,5,1,0,4,5,21,5,1,2016-17,101108,Chris Paul
22016,101108,0021600922,"Mar 04, 2017",LAC @ CHI,W,33,7,14,0.5,2,4,0.5,1,2,0.5,0,2,2,4,2,1,1,2,17,5,1,2016-17,101108,Chris Paul
22016,101108,0021600945,"Mar 06, 2017",LAC vs. BOS,W,30,8,14,0.571,1,3,0.333,6,8,0.75,1,4,5,4,3,0,5,1,23,1,1,2016-17,101108,Chris Paul
22016,101108,0021600955,"Mar 08, 2017",LAC @ MIN,L,32,3,9,0.333,1,4,0.25,0,1,0.0,1,2,3,10,1,0,3,2,7,-16,1,2016-17,101108,Chris Paul
22016,101108,0021600961,"Mar 09, 2017",LAC @ MEM,W,27,8,15,0.533,3,6,0.5,0,0,0.0,1,3,4,7,0,0,2,1,19,9,1,2016-17,101108,Chris Paul
22016,101108,0021600974,"Mar 11, 2017",LAC vs. PHI,W,34,11,16,0.688,4,4,1.0,4,4,1.0,0,3,3,7,2,0,3,1,30,8,1,2016-17,101108,Chris Paul
22016,101108,0021600996,"Mar 13, 2017",LAC @ UTA,L,35,11,21,0.524,5,11,0.455,6,6,1.0,1,5,6,7,1,0,1,4,33,5,1,2016-17,101108,Chris Paul
22016,101108,0021601013,"Mar 15, 2017",LAC vs. MIL,L,36,2,10,0.2,1,4,0.25,1,1,1.0,1,4,5,7,1,0,6,4,6,6,2,2016-17,101108,Chris Paul
22016,101108,0021601018,"Mar 16, 2017",LAC @ DEN,L,30,8,12,0.667,2,3,0.667,0,0,0.0,0,1,1,14,1,0,2,5,18,-1,1,2016-17,101108,Chris Paul
22016,101108,0021601031,"Mar 18, 2017",LAC vs. CLE,W,27,0,8,0.0,0,5,0.0,5,5,1.0,0,4,4,7,0,0,3,2,5,20,1,2016-17,101108,Chris Paul
22016,101108,0021601050,"Mar 20, 2017",LAC vs. NYK,W,28,5,11,0.455,2,5,0.4,1,1,1.0,0,5,5,13,1,0,0,2,13,18,1,2016-17,101108,Chris Paul
22016,101108,0021601058,"Mar 21, 2017",LAC @ LAL,W,25,9,15,0.6,4,8,0.5,5,5,1.0,2,6,8,4,1,0,2,2,27,17,1,2016-17,101108,Chris Paul
22016,101108,0021601069,"Mar 23, 2017",LAC @ DAL,L,35,6,13,0.462,1,5,0.2,2,2,1.0,2,4,6,6,3,0,4,3,15,3,1,2016-17,101108,Chris Paul
