SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22022,1631132,0022200008,"Oct 19, 2022",TOR vs. CLE,W,15,1,4,0.25,0,0,0.0,1,2,0.5,2,4,6,0,0,1,1,2,3,3,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200021,"Oct 21, 2022",TOR @ BKN,L,20,0,2,0.0,0,0,0.0,1,2,0.5,2,0,2,0,0,1,0,5,1,-3,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200031,"Oct 22, 2022",TOR @ MIA,L,12,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,0,1,-5,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200045,"Oct 24, 2022",TOR @ MIA,W,18,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,2,0,1,0,5,2,-10,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200059,"Oct 26, 2022",TOR vs. PHI,W,11,2,2,1.0,0,0,0.0,0,0,0.0,1,3,4,0,1,1,0,4,4,4,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200073,"Oct 28, 2022",TOR vs. PHI,L,10,1,1,1.0,0,0,0.0,1,2,0.5,2,0,2,1,2,0,0,1,3,3,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200099,"Oct 31, 2022",TOR vs. ATL,W,21,4,7,0.571,0,0,0.0,1,3,0.333,2,3,5,0,0,3,2,4,9,23,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200114,"Nov 02, 2022",TOR @ SAS,W,23,1,4,0.25,0,0,0.0,0,0,0.0,1,5,6,0,0,1,1,2,2,30,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200127,"Nov 04, 2022",TOR @ DAL,L,12,1,2,0.5,0,1,0.0,0,0,0.0,2,0,2,0,0,1,2,4,2,-12,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200141,"Nov 06, 2022",TOR vs. CHI,W,31,4,8,0.5,0,1,0.0,3,4,0.75,2,5,7,2,0,6,1,3,11,19,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200151,"Nov 07, 2022",TOR @ CHI,L,21,2,8,0.25,0,1,0.0,1,2,0.5,1,2,3,1,0,1,2,4,5,4,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200165,"Nov 09, 2022",TOR vs. HOU,W,14,1,4,0.25,0,0,0.0,3,3,1.0,1,0,1,0,0,1,0,5,5,2,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200179,"Nov 11, 2022",TOR @ OKC,L,24,1,4,0.25,0,0,0.0,0,0,0.0,3,1,4,1,1,0,1,3,2,0,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200187,"Nov 12, 2022",TOR @ IND,L,6,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,1,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200199,"Nov 14, 2022",TOR @ DET,W,17,2,2,1.0,0,0,0.0,4,4,1.0,2,0,2,1,0,1,1,2,8,2,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200215,"Nov 16, 2022",TOR vs. MIA,W,13,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,3,4,4,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200235,"Nov 19, 2022",TOR @ ATL,L,30,2,4,0.5,0,1,0.0,3,6,0.5,7,4,11,1,0,4,0,5,7,5,1,2022-23,Regular Season,1631132,Christian Koloko
22022,1631132,0022200266,"Nov 23, 2022",TOR vs. BKN,L,18,1,3,0.333,0,0,0.0,2,4,0.5,4,1,5,0,0,1,1,2,4,-17,1,2022-23,Regular Season,1631132,Christian Koloko
