SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,203468,0021500015,"Oct 28, 2015",POR vs. NOP,W,37,14,22,0.636,6,9,0.667,3,3,1.0,1,5,6,1,1,0,0,3,37,22,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500032,"Oct 30, 2015",POR @ PHX,L,33,7,22,0.318,2,7,0.286,0,0,0.0,1,3,4,3,2,0,2,4,16,-18,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500037,"Oct 31, 2015",POR vs. PHX,L,34,6,15,0.4,1,6,0.167,2,2,1.0,1,4,5,4,1,0,1,2,15,-7,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500050,"Nov 02, 2015",POR @ MIN,W,36,7,18,0.389,2,6,0.333,2,2,1.0,0,6,6,4,1,1,4,4,18,17,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500068,"Nov 04, 2015",POR @ UTA,W,35,10,13,0.769,3,5,0.6,4,6,0.667,0,1,1,4,0,0,3,2,27,21,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500074,"Nov 05, 2015",POR vs. MEM,W,30,7,18,0.389,4,6,0.667,2,3,0.667,2,2,4,5,0,0,1,2,20,13,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500098,"Nov 08, 2015",POR vs. DET,L,34,8,17,0.471,0,4,0.0,2,2,1.0,0,4,4,2,1,0,4,5,18,-20,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500102,"Nov 09, 2015",POR @ DEN,L,36,6,15,0.4,2,5,0.4,2,2,1.0,1,2,3,2,0,0,1,0,16,-11,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500123,"Nov 11, 2015",POR vs. SAS,L,36,9,21,0.429,1,4,0.25,2,2,1.0,1,0,1,2,0,0,4,1,21,10,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500133,"Nov 13, 2015",POR @ MEM,L,36,7,14,0.5,2,5,0.4,10,10,1.0,0,6,6,2,0,2,8,3,26,-6,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500147,"Nov 15, 2015",POR @ CHA,L,37,5,18,0.278,2,6,0.333,4,4,1.0,0,2,2,4,1,0,0,2,16,-12,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500156,"Nov 16, 2015",POR @ SAS,L,34,6,14,0.429,0,2,0.0,3,4,0.75,1,2,3,2,1,0,1,1,15,-2,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500170,"Nov 18, 2015",POR @ HOU,L,38,7,16,0.438,1,5,0.2,4,5,0.8,0,3,3,6,3,0,2,3,19,-8,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500186,"Nov 20, 2015",POR vs. LAC,W,32,7,17,0.412,1,4,0.25,3,4,0.75,0,2,2,1,2,0,1,2,18,14,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500201,"Nov 22, 2015",POR @ LAL,W,33,8,13,0.615,3,5,0.6,0,0,0.0,1,3,4,5,2,2,3,2,19,-2,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500213,"Nov 24, 2015",POR vs. CHI,L,36,7,17,0.412,2,6,0.333,2,2,1.0,0,2,2,4,0,1,0,2,18,1,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500244,"Nov 28, 2015",POR vs. LAL,W,34,12,20,0.6,4,7,0.571,0,0,0.0,0,2,2,1,1,0,1,2,28,13,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500261,"Nov 30, 2015",POR @ LAC,L,37,4,15,0.267,1,4,0.25,3,4,0.75,0,4,4,10,1,0,4,4,12,-20,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500267,"Dec 01, 2015",POR vs. DAL,L,40,4,21,0.19,3,8,0.375,0,0,0.0,2,2,4,5,1,0,3,4,11,-8,1,2015-16,Regular Season,203468,CJ McCollum
22015,203468,0021500281,"Dec 03, 2015",POR vs. IND,W,33,7,20,0.35,3,9,0.333,4,4,1.0,1,4,5,5,2,0,2,2,21,7,1,2015-16,Regular Season,203468,CJ McCollum
