SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22025,1642938,0022500299,"Nov 29, 2025",DEN @ PHX,W,1,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022500325,"Dec 03, 2025",DEN @ IND,W,2,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,0,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022500415,"Dec 23, 2025",DEN @ DAL,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,5,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022500450,"Dec 29, 2025",DEN @ MIA,L,6,1,5,0.2,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,-3,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022500507,"Jan 05, 2026",DEN @ PHI,W,8,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022500640,"Jan 23, 2026",DEN @ MIL,W,9,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,2,0,0,0,1,5,0,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022501090,"Mar 29, 2026",DEN vs. GSW,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,2,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022501162,"Apr 08, 2026",DEN vs. MEM,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022501182,"Apr 10, 2026",DEN vs. OKC,W,20,3,7,0.429,1,5,0.2,0,0,0.0,0,1,1,3,2,0,0,1,7,14,1,2025-26,Regular Season,1642938,Curtis Jones
22025,1642938,0022501197,"Apr 12, 2026",DEN @ SAS,W,32,4,5,0.8,4,4,1.0,1,2,0.5,1,4,5,3,1,0,1,2,13,6,1,2025-26,Regular Season,1642938,Curtis Jones
