SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,201599,0021500016,"Oct 28, 2015",LAC @ SAC,W,27,4,6,0.667,0,0,0.0,0,3,0.0,2,10,12,1,0,4,1,5,8,15,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500020,"Oct 29, 2015",LAC vs. DAL,W,26,2,2,1.0,0,0,0.0,2,8,0.25,2,13,15,2,0,4,1,1,6,11,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500038,"Oct 31, 2015",LAC vs. SAC,W,36,5,6,0.833,0,0,0.0,5,12,0.417,3,15,18,1,1,7,1,1,15,24,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500052,"Nov 02, 2015",LAC vs. PHX,W,32,3,3,1.0,0,0,0.0,1,2,0.5,0,9,9,0,1,3,1,3,7,10,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500069,"Nov 04, 2015",LAC @ GSW,L,34,5,7,0.714,0,0,0.0,1,4,0.25,5,8,13,1,0,2,3,3,11,10,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500093,"Nov 07, 2015",LAC vs. HOU,L,34,4,6,0.667,0,0,0.0,3,7,0.429,4,10,14,2,0,3,3,4,11,-3,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500105,"Nov 09, 2015",LAC vs. MEM,W,36,6,9,0.667,0,0,0.0,1,2,0.5,4,8,12,1,0,4,1,4,13,-12,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500118,"Nov 11, 2015",LAC @ DAL,L,27,3,5,0.6,0,0,0.0,3,9,0.333,2,9,11,0,0,1,2,5,9,-23,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500126,"Nov 12, 2015",LAC @ PHX,L,27,3,5,0.6,0,0,0.0,5,13,0.385,2,7,9,1,0,1,1,1,11,-27,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500138,"Nov 14, 2015",LAC vs. DET,W,38,5,7,0.714,0,0,0.0,0,0,0.0,3,13,16,2,1,1,1,6,10,8,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500177,"Nov 19, 2015",LAC vs. GSW,L,39,2,4,0.5,0,0,0.0,5,8,0.625,4,6,10,1,1,0,1,5,9,3,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500186,"Nov 20, 2015",LAC @ POR,L,34,5,6,0.833,0,0,0.0,2,6,0.333,5,10,15,1,0,2,1,3,12,-14,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500196,"Nov 22, 2015",LAC vs. TOR,L,39,6,9,0.667,0,0,0.0,1,4,0.25,3,12,15,1,1,5,1,1,13,-2,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500212,"Nov 24, 2015",LAC @ DEN,W,27,3,4,0.75,0,0,0.0,12,25,0.48,3,8,11,3,1,4,0,4,18,18,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500226,"Nov 25, 2015",LAC vs. UTA,L,32,3,7,0.429,0,0,0.0,2,4,0.5,6,5,11,0,3,4,3,3,8,-11,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500238,"Nov 27, 2015",LAC vs. NOP,W,25,4,5,0.8,0,0,0.0,0,0,0.0,2,9,11,1,0,1,0,4,8,21,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500247,"Nov 29, 2015",LAC vs. MIN,W,33,3,3,1.0,0,0,0.0,3,12,0.25,1,8,9,1,1,1,0,4,9,5,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500261,"Nov 30, 2015",LAC vs. POR,W,33,3,6,0.5,0,0,0.0,12,34,0.353,9,15,24,1,1,2,0,4,18,21,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500276,"Dec 02, 2015",LAC vs. IND,L,28,0,4,0.0,0,0,0.0,2,8,0.25,6,9,15,0,0,0,2,4,2,-7,0,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500298,"Dec 05, 2015",LAC vs. ORL,W,37,7,10,0.7,0,0,0.0,1,3,0.333,5,9,14,0,0,1,0,0,15,7,1,2015-16,Regular Season,201599,DeAndre Jordan
22015,201599,0021500311,"Dec 07, 2015",LAC @ MIN,W,34,8,9,0.889,0,0,0.0,4,6,0.667,6,6,12,0,2,4,1,4,20,-2,1,2015-16,Regular Season,201599,DeAndre Jordan
