SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22016,1627749,0021600032,"Oct 29, 2016",SAS vs. NOP,W,9,0,2,0.0,0,1,0.0,0,2,0.0,0,2,2,1,0,0,1,1,0,-4,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600053,"Nov 01, 2016",SAS vs. UTA,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600077,"Nov 04, 2016",SAS @ UTA,W,3,0,2,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,0,2,-2,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600086,"Nov 05, 2016",SAS vs. LAC,L,9,2,4,0.5,2,2,1.0,0,0,0.0,0,0,0,0,0,0,1,1,6,-5,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600127,"Nov 11, 2016",SAS vs. DET,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,2,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600150,"Nov 14, 2016",SAS vs. MIA,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600168,"Nov 16, 2016",SAS @ SAC,W,3,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-13,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600182,"Nov 18, 2016",SAS @ LAL,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600206,"Nov 21, 2016",SAS vs. DAL,W,15,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,4,0,0,4,4,4,-5,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600240,"Nov 26, 2016",SAS @ WAS,W,1,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,-3,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600264,"Nov 29, 2016",SAS vs. ORL,L,4,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,1,0,0,1,0,2,1,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600441,"Dec 22, 2016",SAS @ LAC,L,8,2,5,0.4,0,0,0.0,0,2,0.0,1,1,2,0,1,0,0,1,4,1,1,2016-17,1627749,Dejounte Murray
22016,1627749,0021600454,"Dec 23, 2016",SAS @ POR,W,20,4,8,0.5,1,1,1.0,0,0,0.0,1,2,3,1,1,0,3,1,9,3,1,2016-17,1627749,Dejounte Murray
