SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22015,201942,0021500009,"Oct 28, 2015",TOR vs. IND,W,36,7,17,0.412,1,2,0.5,10,16,0.625,0,5,5,6,2,0,2,2,25,0,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500024,"Oct 30, 2015",TOR @ BOS,W,35,5,15,0.333,1,4,0.25,12,14,0.857,1,6,7,6,2,0,3,4,23,13,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500042,"Nov 01, 2015",TOR vs. MIL,W,37,7,13,0.538,0,1,0.0,1,2,0.5,0,1,1,4,1,1,2,1,15,25,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500057,"Nov 03, 2015",TOR @ DAL,W,28,6,13,0.462,0,0,0.0,8,8,1.0,1,3,4,2,1,0,3,3,20,12,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500066,"Nov 04, 2015",TOR @ OKC,W,39,7,18,0.389,0,0,0.0,14,15,0.933,1,4,5,3,2,0,2,1,28,2,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500075,"Nov 06, 2015",TOR @ ORL,L,41,7,15,0.467,0,1,0.0,9,12,0.75,3,4,7,2,0,2,2,1,23,3,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500096,"Nov 08, 2015",TOR @ MIA,L,36,5,14,0.357,0,3,0.0,6,6,1.0,0,1,1,3,0,0,6,3,16,-8,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500109,"Nov 10, 2015",TOR vs. NYK,L,39,11,23,0.478,0,1,0.0,7,9,0.778,0,5,5,2,1,0,1,1,29,-10,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500115,"Nov 11, 2015",TOR @ PHI,W,27,4,9,0.444,1,1,1.0,5,6,0.833,2,2,4,2,0,0,0,1,14,8,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500131,"Nov 13, 2015",TOR vs. NOP,W,35,5,12,0.417,0,1,0.0,5,6,0.833,0,6,6,11,1,0,2,1,15,20,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500150,"Nov 15, 2015",TOR @ SAC,L,37,9,22,0.409,0,3,0.0,6,8,0.75,0,4,4,5,5,0,4,0,24,-12,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500164,"Nov 17, 2015",TOR @ GSW,L,39,9,22,0.409,0,0,0.0,10,13,0.769,0,5,5,6,1,0,4,3,28,-6,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500173,"Nov 18, 2015",TOR @ UTA,L,35,6,15,0.4,0,1,0.0,2,2,1.0,0,3,3,6,1,0,2,3,14,-9,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500188,"Nov 20, 2015",TOR @ LAL,W,34,5,12,0.417,1,2,0.5,7,8,0.875,2,2,4,2,1,0,3,2,18,-6,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500196,"Nov 22, 2015",TOR @ LAC,W,40,4,16,0.25,0,2,0.0,13,14,0.929,1,5,6,3,0,0,4,2,21,11,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500219,"Nov 25, 2015",TOR vs. CLE,W,40,7,16,0.438,1,1,1.0,5,7,0.714,0,3,3,4,1,1,1,2,20,-2,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500239,"Nov 28, 2015",TOR @ WAS,W,38,8,20,0.4,1,2,0.5,3,4,0.75,0,3,3,2,0,0,4,2,20,3,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500250,"Nov 29, 2015",TOR vs. PHX,L,37,11,20,0.55,0,2,0.0,7,7,1.0,0,3,3,7,0,1,1,4,29,-6,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500272,"Dec 02, 2015",TOR @ ATL,W,36,7,16,0.438,1,1,1.0,2,3,0.667,1,3,4,2,0,1,2,2,17,9,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500278,"Dec 03, 2015",TOR vs. DEN,L,38,14,26,0.538,0,2,0.0,6,6,1.0,2,3,5,5,0,0,0,2,34,1,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500290,"Dec 05, 2015",TOR vs. GSW,L,37,5,19,0.263,0,1,0.0,6,8,0.75,1,2,3,5,0,0,2,2,16,-10,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500308,"Dec 07, 2015",TOR vs. LAL,W,35,7,14,0.5,0,1,0.0,2,3,0.667,0,5,5,6,0,0,2,0,16,7,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500323,"Dec 09, 2015",TOR vs. SAS,W,37,10,15,0.667,0,0,0.0,8,8,1.0,1,3,4,6,1,1,6,3,28,3,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500337,"Dec 11, 2015",TOR vs. MIL,W,35,8,17,0.471,0,1,0.0,11,12,0.917,0,3,3,1,2,1,0,3,27,-2,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500355,"Dec 13, 2015",TOR vs. PHI,W,34,6,14,0.429,0,1,0.0,13,14,0.929,1,7,8,2,1,0,1,0,25,30,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500357,"Dec 14, 2015",TOR @ IND,L,38,7,18,0.389,2,4,0.5,4,5,0.8,0,5,5,2,2,1,2,2,20,-11,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500383,"Dec 17, 2015",TOR @ CHA,L,44,12,25,0.48,0,1,0.0,7,8,0.875,0,4,4,5,1,1,1,2,31,-8,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500390,"Dec 18, 2015",TOR @ MIA,W,40,10,17,0.588,0,1,0.0,10,13,0.769,0,4,4,4,2,0,3,0,30,11,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500408,"Dec 20, 2015",TOR vs. SAC,L,35,10,24,0.417,0,1,0.0,8,8,1.0,2,5,7,1,2,0,3,4,28,-12,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500421,"Dec 22, 2015",TOR vs. DAL,W,40,10,17,0.588,2,3,0.667,6,8,0.75,1,3,4,4,0,0,7,5,28,3,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500441,"Dec 26, 2015",TOR @ MIL,W,33,7,14,0.5,1,4,0.25,7,8,0.875,0,3,3,8,1,0,3,3,22,5,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500463,"Dec 28, 2015",TOR @ CHI,L,36,7,14,0.5,0,1,0.0,5,8,0.625,3,5,8,8,1,0,1,1,19,8,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500477,"Dec 30, 2015",TOR vs. WAS,W,37,9,24,0.375,1,3,0.333,15,15,1.0,2,4,6,5,2,2,3,2,34,1,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500492,"Jan 01, 2016",TOR vs. CHA,W,37,7,18,0.389,2,2,1.0,7,7,1.0,0,0,0,1,1,0,1,2,23,3,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500507,"Jan 03, 2016",TOR vs. CHI,L,35,7,17,0.412,3,6,0.5,7,8,0.875,1,1,2,4,0,0,0,3,24,-15,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500511,"Jan 04, 2016",TOR @ CLE,L,35,8,15,0.533,0,1,0.0,3,5,0.6,1,1,2,4,1,0,3,4,19,-17,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500529,"Jan 06, 2016",TOR @ BKN,W,36,5,13,0.385,1,2,0.5,4,5,0.8,1,3,4,5,2,0,4,2,15,21,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500540,"Jan 08, 2016",TOR @ WAS,W,40,11,24,0.458,1,4,0.25,12,13,0.923,1,7,8,1,1,1,1,0,35,5,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500554,"Jan 09, 2016",TOR @ PHI,W,37,9,17,0.529,0,2,0.0,1,2,0.5,0,7,7,5,0,0,2,0,19,6,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500588,"Jan 14, 2016",TOR @ ORL,W,40,4,19,0.211,0,2,0.0,5,6,0.833,2,9,11,4,1,1,2,2,13,-2,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500621,"Jan 18, 2016",TOR vs. BKN,W,34,12,25,0.48,0,2,0.0,6,8,0.75,2,2,4,5,2,0,0,2,30,-5,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500633,"Jan 20, 2016",TOR vs. BOS,W,38,13,25,0.52,0,1,0.0,8,9,0.889,0,2,2,6,1,0,2,1,34,13,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500649,"Jan 22, 2016",TOR vs. MIA,W,36,12,25,0.48,4,5,0.8,5,6,0.833,1,5,6,4,1,0,1,3,33,16,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500666,"Jan 24, 2016",TOR vs. LAC,W,33,6,17,0.353,2,2,1.0,4,4,1.0,1,4,5,2,0,0,1,2,18,-6,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500680,"Jan 26, 2016",TOR vs. WAS,W,34,5,13,0.385,1,3,0.333,6,8,0.75,0,4,4,4,1,0,4,2,17,5,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500694,"Jan 28, 2016",TOR vs. NYK,W,36,9,18,0.5,1,3,0.333,7,8,0.875,0,1,1,4,1,2,3,4,26,3,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500708,"Jan 30, 2016",TOR vs. DET,W,34,10,21,0.476,0,1,0.0,9,10,0.9,2,1,3,4,2,0,4,4,29,-6,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500727,"Feb 01, 2016",TOR @ DEN,L,28,7,14,0.5,0,0,0.0,10,11,0.909,0,1,1,4,1,0,0,1,24,-13,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500732,"Feb 02, 2016",TOR @ PHX,W,34,8,16,0.5,1,5,0.2,5,9,0.556,0,2,2,3,1,1,3,3,22,-6,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500748,"Feb 04, 2016",TOR @ POR,W,35,11,25,0.44,1,1,1.0,6,9,0.667,2,3,5,4,1,0,1,0,29,4,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500779,"Feb 08, 2016",TOR @ DET,W,33,5,14,0.357,0,1,0.0,7,8,0.875,1,6,7,6,1,0,4,3,17,5,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500797,"Feb 10, 2016",TOR @ MIN,L,37,11,19,0.579,3,3,1.0,10,13,0.769,1,2,3,4,0,1,1,5,35,-9,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500809,"Feb 19, 2016",TOR @ CHI,L,40,6,21,0.286,1,3,0.333,9,10,0.9,1,3,4,3,2,0,3,2,22,-1,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500829,"Feb 21, 2016",TOR vs. MEM,W,36,6,16,0.375,0,0,0.0,9,10,0.9,1,4,5,3,0,0,4,4,21,10,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500835,"Feb 22, 2016",TOR @ NYK,W,32,8,17,0.471,1,3,0.333,5,7,0.714,0,3,3,2,3,0,0,2,22,23,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500849,"Feb 24, 2016",TOR vs. MIN,W,38,11,19,0.579,2,2,1.0,7,8,0.875,3,1,4,4,2,0,2,1,31,5,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500864,"Feb 26, 2016",TOR vs. CLE,W,32,1,11,0.091,0,1,0.0,4,4,1.0,0,6,6,2,1,0,2,3,6,6,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500879,"Feb 28, 2016",TOR @ DET,L,35,9,21,0.429,0,1,0.0,2,3,0.667,2,2,4,7,0,1,0,2,20,-29,1,2015-16,201942,DeMar DeRozan
22015,201942,0021500900,"Mar 02, 2016",TOR vs. UTA,W,35,11,15,0.733,0,1,0.0,9,11,0.818,1,4,5,0,0,0,0,4,31,15,1,2015-16,201942,DeMar DeRozan
