SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22016,1627884,0021600189,"Nov 19, 2016",PHX @ PHI,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600387,"Dec 15, 2016",PHX vs. SAS,L,3,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,1,3,2,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600723,"Jan 30, 2017",PHX vs. MEM,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600761,"Feb 04, 2017",PHX vs. MIL,L,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600788,"Feb 08, 2017",PHX @ MEM,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600812,"Feb 11, 2017",PHX @ HOU,L,5,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,1,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600844,"Feb 15, 2017",PHX vs. LAL,W,4,3,3,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,6,9,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600859,"Feb 24, 2017",PHX @ CHI,L,14,2,4,0.5,0,0,0.0,2,2,1.0,1,1,2,2,0,0,1,0,6,1,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600875,"Feb 26, 2017",PHX @ MIL,L,10,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,3,1,2,-9,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600892,"Feb 28, 2017",PHX @ MEM,L,10,4,4,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,4,8,0,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600907,"Mar 02, 2017",PHX vs. CHA,W,22,3,4,0.75,0,0,0.0,2,2,1.0,0,0,0,0,2,2,0,2,8,13,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600916,"Mar 03, 2017",PHX vs. OKC,W,15,3,3,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,4,6,8,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600929,"Mar 05, 2017",PHX vs. BOS,W,12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0,3,0,0,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600948,"Mar 07, 2017",PHX vs. WAS,L,22,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,2,0,4,6,1,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600964,"Mar 09, 2017",PHX vs. LAL,L,10,2,2,1.0,0,0,0.0,1,2,0.5,1,1,2,0,0,1,0,1,5,-9,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600982,"Mar 11, 2017",PHX @ DAL,W,26,1,3,0.333,0,1,0.0,0,0,0.0,1,6,7,1,0,0,1,4,2,-5,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021600988,"Mar 12, 2017",PHX vs. POR,L,25,1,2,0.5,0,0,0.0,2,2,1.0,0,3,3,1,0,0,0,4,4,4,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601012,"Mar 15, 2017",PHX vs. SAC,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,0,0,0,2,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601026,"Mar 17, 2017",PHX vs. ORL,L,17,3,6,0.5,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,6,-8,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601038,"Mar 19, 2017",PHX @ DET,L,26,1,9,0.111,0,0,0.0,1,3,0.333,3,2,5,0,0,1,0,1,3,10,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601053,"Mar 21, 2017",PHX @ MIA,L,18,2,4,0.5,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,3,6,7,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601067,"Mar 23, 2017",PHX @ BKN,L,22,1,4,0.25,0,1,0.0,2,4,0.5,2,2,4,0,0,0,2,4,4,-5,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601076,"Mar 24, 2017",PHX @ BOS,L,32,2,3,0.667,0,0,0.0,3,4,0.75,2,2,4,0,1,0,0,6,7,-9,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601087,"Mar 26, 2017",PHX @ CHA,L,20,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,2,15,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601106,"Mar 28, 2017",PHX @ ATL,L,34,6,11,0.545,1,2,0.5,0,2,0.0,2,1,3,0,1,0,0,1,13,-11,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601124,"Mar 30, 2017",PHX vs. LAC,L,19,4,5,0.8,0,0,0.0,2,2,1.0,3,1,4,0,1,0,0,1,10,-1,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601141,"Apr 01, 2017",PHX @ POR,L,26,2,4,0.5,0,0,0.0,0,0,0.0,2,4,6,0,2,0,0,5,4,8,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601153,"Apr 02, 2017",PHX vs. HOU,L,34,5,8,0.625,0,1,0.0,0,0,0.0,5,3,8,1,2,1,2,4,10,-7,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601171,"Apr 05, 2017",PHX vs. GSW,L,21,4,8,0.5,0,2,0.0,1,2,0.5,3,2,5,0,0,0,0,0,9,13,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601186,"Apr 07, 2017",PHX vs. OKC,W,21,4,4,1.0,0,0,0.0,3,4,0.75,3,1,4,0,0,1,0,2,11,17,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601199,"Apr 09, 2017",PHX vs. DAL,W,28,5,11,0.455,1,1,1.0,4,4,1.0,2,1,3,0,3,0,2,4,15,8,1,2016-17,Regular Season,1627884,Derrick Jones Jr.
22016,1627884,0021601216,"Apr 11, 2017",PHX @ SAC,L,33,3,9,0.333,1,3,0.333,3,5,0.6,3,1,4,4,1,0,1,3,10,-24,2,2016-17,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700012,"Oct 18, 2017",PHX vs. POR,L,11,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,1,0,1,0,1,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700037,"Oct 21, 2017",PHX @ LAC,L,6,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,1,1,0,0,2,-16,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700124,"Nov 03, 2017",PHX @ NYK,L,2,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,0,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700141,"Nov 05, 2017",PHX @ SAS,L,6,2,2,1.0,0,0,0.0,1,2,0.5,1,0,1,1,0,2,0,1,5,10,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700174,"Nov 10, 2017",PHX vs. ORL,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700275,"Nov 24, 2017",PHX vs. NOP,L,6,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,4,2,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700568,"Jan 05, 2018",MIA vs. NYK,W,9,1,3,0.333,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,1,2,4,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700586,"Jan 07, 2018",MIA vs. UTA,W,12,2,2,1.0,1,1,1.0,0,2,0.0,0,1,1,0,0,0,0,3,5,-8,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700599,"Jan 09, 2018",MIA @ TOR,W,28,2,5,0.4,0,1,0.0,4,4,1.0,2,3,5,1,0,2,0,3,8,-2,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700604,"Jan 10, 2018",MIA @ IND,W,21,4,6,0.667,0,1,0.0,0,1,0.0,1,0,1,1,1,1,1,2,8,-5,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700659,"Jan 17, 2018",MIA @ MIL,W,22,1,3,0.333,0,1,0.0,3,4,0.75,1,0,1,1,1,1,0,1,5,5,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700668,"Jan 19, 2018",MIA @ BKN,L,18,0,4,0.0,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,3,0,-3,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700676,"Jan 20, 2018",MIA @ CHA,W,20,1,2,0.5,0,1,0.0,1,2,0.5,2,2,4,1,0,2,2,2,3,0,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700689,"Jan 22, 2018",MIA @ HOU,L,30,3,6,0.5,0,1,0.0,0,1,0.0,3,2,5,1,1,3,1,3,6,-9,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700710,"Jan 25, 2018",MIA vs. SAC,L,15,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-9,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700806,"Feb 07, 2018",MIA vs. HOU,L,19,1,7,0.143,1,5,0.2,0,0,0.0,2,1,3,0,0,0,1,2,3,-3,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021700952,"Mar 05, 2018",MIA vs. PHX,W,5,1,3,0.333,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,1,2,-6,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021701110,"Mar 27, 2018",MIA vs. CLE,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021701172,"Apr 04, 2018",MIA @ ATL,W,12,3,5,0.6,1,2,0.5,3,4,0.75,2,2,4,1,0,0,1,1,10,2,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22017,1627884,0021701206,"Apr 09, 2018",MIA vs. OKC,L,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2017-18,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800006,"Oct 17, 2018",MIA @ ORL,L,17,2,5,0.4,1,2,0.5,0,0,0.0,1,1,2,2,0,0,2,6,5,4,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800015,"Oct 18, 2018",MIA @ WAS,W,24,5,10,0.5,1,2,0.5,6,9,0.667,4,1,5,0,1,0,0,5,17,-3,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800030,"Oct 20, 2018",MIA vs. CHA,L,30,5,13,0.385,1,5,0.2,1,2,0.5,0,3,3,2,1,2,2,2,12,-1,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800096,"Oct 30, 2018",MIA @ CHA,L,5,1,4,0.25,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-1,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800128,"Nov 03, 2018",MIA @ ATL,L,12,0,2,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,0,2,-3,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800140,"Nov 05, 2018",MIA @ DET,W,18,2,4,0.5,0,0,0.0,0,0,0.0,1,5,6,0,0,1,2,2,4,5,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800156,"Nov 07, 2018",MIA vs. SAS,W,8,0,3,0.0,0,0,0.0,0,0,0.0,3,3,6,0,0,0,1,0,0,-7,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800170,"Nov 09, 2018",MIA vs. IND,L,25,4,6,0.667,1,1,1.0,1,2,0.5,1,1,2,1,1,1,0,1,10,-2,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800177,"Nov 10, 2018",MIA vs. WAS,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800191,"Nov 12, 2018",MIA vs. PHI,L,10,2,4,0.5,0,2,0.0,0,0,0.0,1,1,2,2,0,1,0,1,4,-8,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800235,"Nov 18, 2018",MIA vs. LAL,L,13,2,4,0.5,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,2,4,3,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800250,"Nov 20, 2018",MIA vs. BKN,L,17,1,6,0.167,1,3,0.333,0,0,0.0,1,3,4,0,0,1,2,3,3,-8,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800302,"Nov 27, 2018",MIA vs. ATL,L,6,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,-12,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800376,"Dec 07, 2018",MIA @ PHX,W,7,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,2,5,-5,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800386,"Dec 08, 2018",MIA @ LAC,W,25,2,5,0.4,0,1,0.0,3,6,0.5,5,6,11,1,1,2,0,4,7,16,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800401,"Dec 10, 2018",MIA @ LAL,L,29,3,4,0.75,0,0,0.0,2,2,1.0,5,9,14,0,3,3,1,1,8,11,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800413,"Dec 12, 2018",MIA @ UTA,L,26,3,6,0.5,0,3,0.0,2,4,0.5,0,4,4,0,5,0,0,2,8,0,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800425,"Dec 14, 2018",MIA @ MEM,W,23,6,10,0.6,1,1,1.0,0,0,0.0,2,6,8,1,0,2,0,4,13,14,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800441,"Dec 16, 2018",MIA @ NOP,W,21,5,7,0.714,1,2,0.5,0,3,0.0,5,3,8,0,2,0,0,1,11,-6,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800467,"Dec 20, 2018",MIA vs. HOU,W,27,3,8,0.375,1,3,0.333,8,11,0.727,6,2,8,1,2,2,0,3,15,11,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800482,"Dec 22, 2018",MIA vs. MIL,W,9,2,5,0.4,0,1,0.0,1,3,0.333,3,0,3,1,0,1,0,2,5,-8,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800491,"Dec 23, 2018",MIA @ ORL,W,22,2,5,0.4,1,2,0.5,1,2,0.5,2,3,5,0,0,1,0,3,6,7,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800506,"Dec 26, 2018",MIA vs. TOR,L,9,2,2,1.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,3,1,5,-3,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800521,"Dec 28, 2018",MIA vs. CLE,W,18,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,3,2,11,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800537,"Dec 30, 2018",MIA vs. MIN,L,25,7,11,0.636,0,1,0.0,2,2,1.0,7,2,9,0,1,1,1,3,16,-9,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800555,"Jan 02, 2019",MIA @ CLE,W,31,4,8,0.5,3,4,0.75,2,3,0.667,3,4,7,2,2,1,1,1,13,27,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800568,"Jan 04, 2019",MIA vs. WAS,W,20,2,2,1.0,1,1,1.0,0,0,0.0,2,2,4,0,1,0,2,4,5,-10,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800587,"Jan 06, 2019",MIA @ ATL,L,29,5,9,0.556,0,3,0.0,4,5,0.8,1,2,3,0,3,0,0,1,14,-3,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800617,"Jan 10, 2019",MIA vs. BOS,W,29,6,9,0.667,2,3,0.667,0,0,0.0,1,6,7,0,2,1,2,1,14,17,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800631,"Jan 12, 2019",MIA vs. MEM,W,18,4,10,0.4,1,2,0.5,2,4,0.5,2,3,5,0,2,1,1,2,11,-1,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800654,"Jan 15, 2019",MIA @ MIL,L,18,3,5,0.6,0,2,0.0,1,1,1.0,0,1,1,3,1,0,0,0,7,-22,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800672,"Jan 18, 2019",MIA @ DET,L,10,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,1,1,1,2,1,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800685,"Jan 19, 2019",MIA @ CHI,W,19,4,4,1.0,0,0,0.0,1,3,0.333,0,2,2,1,0,1,0,3,9,0,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800698,"Jan 21, 2019",MIA @ BOS,L,29,7,12,0.583,1,3,0.333,3,3,1.0,4,5,9,0,1,1,0,2,18,14,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800709,"Jan 23, 2019",MIA vs. LAC,L,11,0,1,0.0,0,0,0.0,1,2,0.5,1,1,2,0,0,0,2,2,1,-4,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800722,"Jan 25, 2019",MIA @ CLE,W,23,6,11,0.545,1,2,0.5,1,3,0.333,3,6,9,0,0,1,0,1,14,-7,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800741,"Jan 27, 2019",MIA @ NYK,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-5,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800868,"Feb 21, 2019",MIA @ PHI,L,17,4,7,0.571,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,4,9,-12,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800888,"Feb 23, 2019",MIA vs. DET,L,27,1,4,0.25,0,2,0.0,2,2,1.0,1,0,1,1,1,2,0,1,4,-18,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800915,"Feb 27, 2019",MIA vs. GSW,W,17,1,5,0.2,0,1,0.0,0,0,0.0,3,0,3,0,0,2,2,5,2,-1,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800925,"Feb 28, 2019",MIA @ HOU,L,20,1,2,0.5,0,0,0.0,1,2,0.5,2,3,5,0,1,0,0,2,3,2,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800937,"Mar 02, 2019",MIA vs. BKN,W,26,7,10,0.7,2,4,0.5,2,2,1.0,0,4,4,0,0,1,0,2,18,8,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800953,"Mar 04, 2019",MIA vs. ATL,W,18,3,4,0.75,0,1,0.0,2,4,0.5,1,3,4,2,2,0,1,4,8,-1,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800965,"Mar 06, 2019",MIA @ CHA,W,4,1,2,0.5,0,0,0.0,0,1,0.0,2,1,3,0,0,0,4,0,2,-6,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800979,"Mar 08, 2019",MIA vs. CLE,W,23,3,6,0.5,1,2,0.5,1,2,0.5,2,4,6,2,0,2,2,2,8,8,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021800993,"Mar 10, 2019",MIA vs. TOR,L,24,2,4,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,3,2,4,-2,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801014,"Mar 13, 2019",MIA vs. DET,W,31,3,7,0.429,1,3,0.333,1,2,0.5,3,1,4,3,2,0,1,2,8,12,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801029,"Mar 15, 2019",MIA vs. MIL,L,15,3,6,0.5,0,2,0.0,3,6,0.5,2,1,3,1,1,0,0,1,9,-18,2,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801045,"Mar 17, 2019",MIA vs. CHA,W,24,2,6,0.333,1,2,0.5,1,4,0.25,2,3,5,1,1,3,1,3,6,11,2,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801054,"Mar 18, 2019",MIA @ OKC,W,17,4,11,0.364,0,2,0.0,0,0,0.0,0,1,1,0,2,0,0,4,8,-9,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801071,"Mar 20, 2019",MIA @ SAS,W,32,1,7,0.143,1,4,0.25,2,2,1.0,0,3,3,0,0,2,0,2,5,15,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801085,"Mar 22, 2019",MIA @ MIL,L,25,4,8,0.5,2,6,0.333,1,3,0.333,4,3,7,3,1,0,0,3,11,-11,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801089,"Mar 23, 2019",MIA @ WAS,W,16,1,5,0.2,0,2,0.0,0,0,0.0,1,2,3,1,0,0,0,4,2,7,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801109,"Mar 26, 2019",MIA vs. ORL,L,27,4,7,0.571,0,0,0.0,1,3,0.333,2,5,7,0,0,1,0,0,9,-7,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801124,"Mar 28, 2019",MIA vs. DAL,W,18,3,6,0.5,0,3,0.0,3,3,1.0,0,4,4,1,1,1,1,2,9,6,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801141,"Mar 30, 2019",MIA @ NYK,W,21,1,1,1.0,0,0,0.0,2,2,1.0,1,3,4,2,4,0,1,3,4,14,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801153,"Apr 01, 2019",MIA @ BOS,L,17,0,1,0.0,0,1,0.0,1,2,0.5,0,2,2,0,0,1,1,1,1,-19,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801195,"Apr 07, 2019",MIA @ TOR,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-9,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801212,"Apr 09, 2019",MIA vs. PHI,W,30,2,2,1.0,0,0,0.0,3,4,0.75,1,2,3,1,0,1,1,1,7,9,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22018,1627884,0021801221,"Apr 10, 2019",MIA @ BKN,L,31,5,9,0.556,0,1,0.0,3,5,0.6,1,3,4,0,0,0,0,1,13,-9,1,2018-19,Regular Season,1627884,Derrick Jones Jr.
22019,1627884,0021900007,"Oct 23, 2019",MIA vs. MEM,W,16,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,5,4,3,1,2019-20,Regular Season,1627884,Derrick Jones Jr.
22019,1627884,0021900026,"Oct 26, 2019",MIA @ MIL,W,16,5,6,0.833,1,2,0.5,3,3,1.0,0,2,2,0,1,0,0,2,14,5,1,2019-20,Regular Season,1627884,Derrick Jones Jr.
22019,1627884,0021900102,"Nov 05, 2019",MIA @ DEN,L,17,4,8,0.5,0,2,0.0,0,0,0.0,1,0,1,0,2,0,0,2,8,-4,1,2019-20,Regular Season,1627884,Derrick Jones Jr.
22019,1627884,0021900114,"Nov 07, 2019",MIA @ PHX,W,9,1,3,0.333,0,0,0.0,0,0,0.0,1,3,4,2,0,0,1,2,2,6,1,2019-20,Regular Season,1627884,Derrick Jones Jr.
22019,1627884,0021900284,"Dec 01, 2019",MIA @ BKN,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2019-20,Regular Season,1627884,Derrick Jones Jr.
22019,1627884,0021900301,"Dec 03, 2019",MIA @ TOR,W,16,1,3,0.333,0,1,0.0,3,5,0.6,0,3,3,1,1,1,1,3,5,1,1,2019-20,Regular Season,1627884,Derrick Jones Jr.
