SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22015,1626164,21500014,28-Oct-15,PHX vs. DAL,L,21,6,7,0.857,1,2,0.5,1,3,0.333,0,3,3,0,1,0,0,2,14,4,1,2015-16,1626164,Devin Booker
22015,1626164,21500032,30-Oct-15,PHX vs. POR,W,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,2015-16,1626164,Devin Booker
22015,1626164,21500067,4-Nov-15,PHX vs. SAC,W,6,2,3,0.667,1,1,1,0,0,0,0,0,0,0,1,1,1,0,5,-3,1,2015-16,1626164,Devin Booker
22015,1626164,21500097,8-Nov-15,PHX @ OKC,L,10,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,-5,1,2015-16,1626164,Devin Booker
22015,1626164,21500126,12-Nov-15,PHX vs. LAC,W,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,2015-16,1626164,Devin Booker
22015,1626164,21500143,14-Nov-15,PHX vs. DEN,W,15,2,8,0.25,2,3,0.667,0,0,0,0,2,2,0,0,0,2,0,6,1,1,2015-16,1626164,Devin Booker
22015,1626164,21500157,16-Nov-15,PHX vs. LAL,W,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2015-16,1626164,Devin Booker
22015,1626164,21500174,18-Nov-15,PHX vs. CHI,L,15,2,3,0.667,2,2,1,0,0,0,0,1,1,0,0,2,0,2,6,9,1,2015-16,1626164,Devin Booker
22015,1626164,21500185,20-Nov-15,PHX @ DEN,W,10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,18,1,2015-16,1626164,Devin Booker
22015,1626164,21500198,22-Nov-15,PHX @ NOP,L,16,5,8,0.625,1,1,1,4,4,1,0,2,2,0,1,0,0,1,15,-3,1,2015-16,1626164,Devin Booker
22015,1626164,21500207,23-Nov-15,PHX @ SAS,L,24,2,5,0.4,0,2,0,0,0,0,1,3,4,1,1,0,1,1,4,-8,1,2015-16,1626164,Devin Booker
22015,1626164,21500225,25-Nov-15,PHX vs. NOP,L,9,2,3,0.667,1,2,0.5,0,0,0,0,3,3,1,1,0,0,1,5,5,1,2015-16,1626164,Devin Booker
22015,1626164,21500236,27-Nov-15,PHX vs. GSW,L,25,2,5,0.4,0,1,0,2,4,0.5,0,0,0,0,1,0,1,3,6,-2,1,2015-16,1626164,Devin Booker
22015,1626164,21500264,1-Dec-15,PHX @ BKN,L,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5,1,2015-16,1626164,Devin Booker
22015,1626164,21500270,2-Dec-15,PHX @ DET,L,23,5,6,0.833,3,3,1,5,5,1,0,1,1,1,0,0,0,5,18,4,1,2015-16,1626164,Devin Booker
22015,1626164,21500284,4-Dec-15,PHX @ WAS,L,16,4,6,0.667,0,0,0,0,0,0,0,1,1,0,1,0,1,1,8,-6,1,2015-16,1626164,Devin Booker
22015,1626164,21500299,6-Dec-15,PHX @ MEM,L,15,2,6,0.333,1,1,1,0,0,0,0,2,2,1,0,0,0,2,5,-2,1,2015-16,1626164,Devin Booker
22015,1626164,21500309,7-Dec-15,PHX @ CHI,W,33,6,10,0.6,2,2,1,0,0,0,0,3,3,5,1,0,1,1,14,6,1,2015-16,1626164,Devin Booker
22015,1626164,21500326,9-Dec-15,PHX vs. ORL,W,19,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,-10,1,2015-16,1626164,Devin Booker
22015,1626164,21500343,11-Dec-15,PHX vs. POR,L,22,3,4,0.75,2,2,1,0,0,0,0,1,1,1,0,1,0,1,8,0,1,2015-16,1626164,Devin Booker
22015,1626164,21500353,13-Dec-15,PHX vs. MIN,W,14,1,5,0.2,0,1,0,2,2,1,1,0,1,1,0,0,1,3,4,1,1,2015-16,1626164,Devin Booker
22015,1626164,21500363,14-Dec-15,PHX @ DAL,L,5,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,2015-16,1626164,Devin Booker
22015,1626164,21500381,16-Dec-15,PHX @ GSW,L,10,0,4,0,0,3,0,0,0,0,0,0,0,2,0,0,2,2,0,-19,1,2015-16,1626164,Devin Booker
22015,1626164,21500406,20-Dec-15,PHX vs. MIL,L,18,1,5,0.2,0,3,0,5,5,1,0,2,2,2,3,0,1,1,7,-1,1,2015-16,1626164,Devin Booker
22015,1626164,21500417,21-Dec-15,PHX @ UTA,L,13,2,4,0.5,0,0,0,2,2,1,0,0,0,0,0,0,1,2,6,-20,1,2015-16,1626164,Devin Booker
22015,1626164,21500451,26-Dec-15,PHX vs. PHI,L,20,6,11,0.545,3,4,0.75,4,7,0.571,1,0,1,0,0,0,0,4,19,13,1,2015-16,1626164,Devin Booker
22015,1626164,21500466,28-Dec-15,PHX vs. CLE,L,29,5,6,0.833,0,1,0,0,0,0,1,2,3,3,0,0,3,2,10,-7,1,2015-16,1626164,Devin Booker
22015,1626164,21500481,30-Dec-15,PHX @ SAS,L,24,4,10,0.4,0,1,0,1,2,0.5,0,3,3,0,0,0,2,2,9,-9,1,2015-16,1626164,Devin Booker
22015,1626164,21500488,31-Dec-15,PHX @ OKC,L,39,4,11,0.364,0,1,0,4,4,1,1,2,3,5,0,0,5,3,12,-1,1,2015-16,1626164,Devin Booker
22015,1626164,21500496,2-Jan-16,PHX @ SAC,L,42,6,10,0.6,2,5,0.4,7,8,0.875,0,1,1,3,4,0,1,2,21,-14,1,2015-16,1626164,Devin Booker
22015,1626164,21500510,3-Jan-16,PHX @ LAL,L,22,5,13,0.385,0,3,0,0,1,0,0,4,4,1,1,0,2,3,10,-30,1,2015-16,1626164,Devin Booker
22015,1626164,21500533,6-Jan-16,PHX vs. CHA,W,32,7,13,0.538,3,5,0.6,0,0,0,1,9,10,2,1,0,1,2,17,10,1,2015-16,1626164,Devin Booker
22015,1626164,21500547,8-Jan-16,PHX vs. MIA,L,37,6,17,0.353,1,7,0.143,3,4,0.75,2,4,6,2,1,0,2,5,16,-2,1,2015-16,1626164,Devin Booker
22015,1626164,21500569,12-Jan-16,PHX @ IND,L,29,8,12,0.667,1,2,0.5,2,3,0.667,1,1,2,2,0,1,4,5,19,-10,1,2015-16,1626164,Devin Booker
22015,1626164,21500595,15-Jan-16,PHX @ BOS,L,24,2,9,0.222,0,4,0,5,6,0.833,1,4,5,0,0,0,3,3,9,4,1,2015-16,1626164,Devin Booker
22015,1626164,21500610,17-Jan-16,PHX @ MIN,L,27,4,8,0.5,0,0,0,3,4,0.75,0,0,0,0,0,0,0,4,11,-15,1,2015-16,1626164,Devin Booker
22015,1626164,21500628,19-Jan-16,PHX vs. IND,L,40,9,16,0.563,6,11,0.545,8,8,1,0,0,0,2,0,0,4,3,32,-7,1,2015-16,1626164,Devin Booker
22015,1626164,21500644,21-Jan-16,PHX vs. SAS,L,44,8,16,0.5,2,6,0.333,6,7,0.857,0,1,1,5,0,0,1,4,24,-23,1,2015-16,1626164,Devin Booker
22015,1626164,21500660,23-Jan-16,PHX vs. ATL,W,36,6,19,0.316,3,9,0.333,0,0,0,0,2,2,1,2,0,3,6,15,13,1,2015-16,1626164,Devin Booker
