SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22024,1642270,0022400072,"Oct 23, 2024",POR vs. GSW,L,13,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,1,1,1,1,2,-9,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400086,"Oct 25, 2024",POR vs. NOP,L,14,1,1,1.0,0,0,0.0,2,3,0.667,2,4,6,0,0,4,2,3,4,0,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400099,"Oct 27, 2024",POR vs. NOP,W,13,4,6,0.667,0,0,0.0,1,1,1.0,6,3,9,0,0,2,0,3,9,6,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400112,"Oct 28, 2024",POR @ SAC,L,12,1,2,0.5,0,0,0.0,0,0,0.0,1,5,6,0,0,1,0,2,2,3,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400127,"Oct 30, 2024",POR @ LAC,W,11,3,5,0.6,1,1,1.0,0,0,0.0,3,3,6,0,1,1,1,4,7,9,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400140,"Nov 01, 2024",POR vs. OKC,L,13,1,3,0.333,0,0,0.0,1,2,0.5,3,4,7,0,0,1,0,3,3,-1,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400149,"Nov 02, 2024",POR @ PHX,L,14,1,3,0.333,0,1,0.0,1,2,0.5,2,2,4,0,0,1,1,2,3,-16,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400164,"Nov 04, 2024",POR @ NOP,W,16,1,1,1.0,0,0,0.0,2,2,1.0,0,3,3,0,0,3,2,4,4,9,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400183,"Nov 07, 2024",POR @ SAS,L,12,0,2,0.0,0,1,0.0,0,0,0.0,4,0,4,2,1,1,1,2,0,-9,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400193,"Nov 08, 2024",POR @ MIN,L,19,3,7,0.429,0,0,0.0,0,0,0.0,1,2,3,0,0,2,0,1,6,-19,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400210,"Nov 10, 2024",POR vs. MEM,L,17,5,7,0.714,0,1,0.0,3,3,1.0,1,2,3,0,1,1,2,3,13,-14,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400008,"Nov 12, 2024",POR vs. MIN,W,21,2,5,0.4,0,1,0.0,0,0,0.0,3,3,6,0,1,1,1,5,4,3,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400226,"Nov 13, 2024",POR vs. MIN,W,31,6,10,0.6,0,0,0.0,5,5,1.0,6,6,12,1,0,8,1,3,17,15,1,2024-25,Regular Season,1642270,Donovan Clingan
22024,1642270,0022400239,"Nov 17, 2024",POR vs. ATL,W,22,3,4,0.75,0,0,0.0,0,0,0.0,5,3,8,0,1,3,1,3,6,-20,1,2024-25,Regular Season,1642270,Donovan Clingan
