SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22017,1628378,0021700010,"Oct 18, 2017",UTA vs. DEN,W,26,3,11,0.273,0,2,0.0,4,4,1.0,0,1,1,4,0,1,3,1,10,22,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700023,"Oct 20, 2017",UTA @ MIN,L,20,1,7,0.143,0,2,0.0,0,1,0.0,0,0,0,2,0,2,1,2,2,3,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700036,"Oct 21, 2017",UTA vs. OKC,W,22,1,7,0.143,0,3,0.0,0,0,0.0,0,2,2,6,1,0,0,4,2,3,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700054,"Oct 24, 2017",UTA @ LAC,L,30,7,20,0.35,3,9,0.333,2,2,1.0,1,1,2,1,1,0,4,4,19,-5,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700062,"Oct 25, 2017",UTA @ PHX,L,13,1,7,0.143,0,2,0.0,0,0,0.0,0,1,1,1,1,1,3,3,2,-2,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700082,"Oct 28, 2017",UTA vs. LAL,W,27,9,16,0.563,3,6,0.5,1,1,1.0,2,1,3,2,3,0,5,5,22,17,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700098,"Oct 30, 2017",UTA vs. DAL,W,17,3,8,0.375,2,4,0.5,0,0,0.0,0,1,1,1,2,0,0,2,8,-10,2,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700115,"Nov 01, 2017",UTA vs. POR,W,35,9,21,0.429,4,10,0.4,6,7,0.857,2,4,6,3,0,0,2,4,28,14,2,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700128,"Nov 03, 2017",UTA vs. TOR,L,32,9,20,0.45,3,7,0.429,4,4,1.0,0,3,3,0,2,2,0,4,25,6,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700140,"Nov 05, 2017",UTA @ HOU,L,25,6,13,0.462,3,7,0.429,2,2,1.0,1,3,4,4,1,0,4,4,17,-14,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700156,"Nov 07, 2017",UTA vs. PHI,L,31,3,21,0.143,2,11,0.182,0,1,0.0,1,2,3,1,1,1,1,3,8,-11,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700175,"Nov 10, 2017",UTA vs. MIA,L,36,5,14,0.357,2,6,0.333,0,1,0.0,0,2,2,1,2,0,1,4,12,-14,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700187,"Nov 11, 2017",UTA vs. BKN,W,26,10,18,0.556,1,5,0.2,5,5,1.0,2,1,3,3,1,0,3,5,26,9,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700197,"Nov 13, 2017",UTA vs. MIN,L,35,10,19,0.526,3,9,0.333,1,2,0.5,1,3,4,4,4,1,2,2,24,-11,2,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700206,"Nov 15, 2017",UTA @ NYK,L,36,8,17,0.471,3,6,0.5,0,0,0.0,0,4,4,3,0,0,4,4,19,-9,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700219,"Nov 17, 2017",UTA @ BKN,L,35,5,15,0.333,1,4,0.25,4,4,1.0,2,5,7,8,1,1,3,1,15,-7,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700229,"Nov 18, 2017",UTA @ ORL,W,26,4,9,0.444,3,4,0.75,1,1,1.0,1,5,6,3,3,0,2,3,12,15,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700244,"Nov 20, 2017",UTA @ PHI,L,37,6,19,0.316,1,7,0.143,4,5,0.8,0,4,4,5,1,1,3,2,17,-13,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700265,"Nov 22, 2017",UTA vs. CHI,W,26,1,10,0.1,0,3,0.0,2,2,1.0,1,4,5,7,1,1,2,2,4,18,2,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700285,"Nov 25, 2017",UTA vs. MIL,W,29,9,16,0.563,6,10,0.6,0,3,0.0,0,4,4,4,2,0,1,2,24,8,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700301,"Nov 28, 2017",UTA vs. DEN,W,30,5,12,0.417,2,5,0.4,4,4,1.0,0,3,3,2,2,0,2,4,16,20,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700317,"Nov 30, 2017",UTA @ LAC,W,36,9,16,0.563,5,10,0.5,1,1,1.0,0,0,0,6,1,0,2,2,24,13,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700325,"Dec 01, 2017",UTA vs. NOP,W,37,13,25,0.52,6,12,0.5,9,11,0.818,0,4,4,4,0,0,2,3,41,11,2,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700349,"Dec 04, 2017",UTA vs. WAS,W,26,8,13,0.615,3,6,0.5,2,2,1.0,2,1,3,2,0,0,3,2,21,13,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700351,"Dec 05, 2017",UTA @ OKC,L,36,11,22,0.5,5,12,0.417,4,5,0.8,0,1,1,4,5,0,5,3,31,2,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700366,"Dec 07, 2017",UTA vs. HOU,L,35,9,19,0.474,2,6,0.333,6,6,1.0,0,4,4,4,1,0,2,5,26,-18,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700381,"Dec 09, 2017",UTA @ MIL,L,37,4,17,0.235,2,6,0.333,2,2,1.0,0,1,1,2,3,1,4,3,12,-17,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700409,"Dec 13, 2017",UTA @ CHI,L,37,15,26,0.577,1,7,0.143,1,1,1.0,0,3,3,6,2,1,3,2,32,-5,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700423,"Dec 15, 2017",UTA @ BOS,W,37,6,18,0.333,2,5,0.4,3,3,1.0,0,5,5,9,0,0,3,3,17,12,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700430,"Dec 16, 2017",UTA @ CLE,L,36,11,16,0.688,3,6,0.5,1,2,0.5,1,1,2,1,1,0,4,4,26,2,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700445,"Dec 18, 2017",UTA @ HOU,L,21,3,7,0.429,0,2,0.0,0,0,0.0,0,2,2,1,4,0,1,4,6,-15,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700488,"Dec 23, 2017",UTA vs. OKC,L,37,12,16,0.75,1,3,0.333,4,4,1.0,0,5,5,1,1,1,3,3,29,-12,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700503,"Dec 26, 2017",UTA @ DEN,L,33,5,10,0.5,1,4,0.25,2,2,1.0,0,3,3,6,1,0,2,5,13,-16,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700514,"Dec 27, 2017",UTA @ GSW,L,35,6,17,0.353,1,6,0.167,4,5,0.8,0,7,7,3,2,1,3,4,17,-11,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700534,"Dec 30, 2017",UTA vs. CLE,W,39,10,17,0.588,2,6,0.333,7,8,0.875,0,4,4,6,3,1,4,4,29,6,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700564,"Jan 03, 2018",UTA vs. NOP,L,38,6,17,0.353,3,11,0.273,9,10,0.9,0,3,3,2,1,0,3,3,24,1,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700574,"Jan 05, 2018",UTA @ DEN,L,36,6,13,0.462,3,6,0.5,0,1,0.0,0,7,7,5,1,1,1,1,15,1,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700586,"Jan 07, 2018",UTA @ MIA,L,36,12,25,0.48,3,10,0.3,0,0,0.0,0,2,2,3,1,0,1,5,27,5,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700605,"Jan 10, 2018",UTA @ WAS,W,31,7,20,0.35,2,10,0.2,0,0,0.0,1,4,5,4,1,1,2,4,16,-8,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700618,"Jan 12, 2018",UTA @ CHA,L,37,10,20,0.5,5,11,0.455,10,11,0.909,1,4,5,0,2,0,5,2,35,-18,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700647,"Jan 15, 2018",UTA vs. IND,L,33,8,16,0.5,2,8,0.25,5,5,1.0,1,1,2,2,2,0,1,0,23,-18,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700661,"Jan 17, 2018",UTA @ SAC,W,34,14,19,0.737,1,4,0.25,5,7,0.714,0,1,1,3,3,0,3,3,34,6,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700672,"Jan 19, 2018",UTA vs. NYK,L,37,7,21,0.333,3,11,0.273,0,0,0.0,1,3,4,7,1,1,5,5,17,-8,1,2017-18,1628378,Donovan Mitchell
22017,1628378,0021700681,"Jan 20, 2018",UTA vs. LAC,W,36,9,16,0.563,1,6,0.167,4,7,0.571,1,4,5,7,2,0,4,3,23,8,2,2017-18,1628378,Donovan Mitchell
