SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22025,1630679,0022500310,"Dec 01, 2025",IND vs. CLE,L,7,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,1,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500325,"Dec 03, 2025",IND vs. DEN,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500345,"Dec 05, 2025",IND @ CHI,W,34,4,6,0.667,3,5,0.6,0,0,0.0,0,2,2,3,1,2,0,4,11,25,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500364,"Dec 08, 2025",IND vs. SAC,W,28,2,4,0.5,2,3,0.667,0,0,0.0,3,2,5,0,2,0,0,2,6,0,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501211,"Dec 12, 2025",IND @ PHI,L,33,4,10,0.4,2,7,0.286,2,3,0.667,1,1,2,3,0,0,0,6,12,-8,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501216,"Dec 14, 2025",IND vs. WAS,L,24,0,4,0.0,0,3,0.0,2,2,1.0,0,0,0,2,0,0,0,1,2,-15,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500372,"Dec 18, 2025",IND vs. NYK,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500389,"Dec 20, 2025",IND @ NOP,L,19,3,7,0.429,1,5,0.2,0,0,0.0,1,1,2,2,1,0,1,4,7,1,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500403,"Dec 22, 2025",IND @ BOS,L,34,5,12,0.417,3,9,0.333,0,0,0.0,2,2,4,4,1,0,2,2,13,0,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500413,"Dec 23, 2025",IND vs. MIL,L,26,1,7,0.143,1,4,0.25,0,0,0.0,1,4,5,1,2,2,1,3,3,1,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500426,"Dec 26, 2025",IND vs. BOS,L,26,4,9,0.444,3,7,0.429,0,0,0.0,2,2,4,6,0,0,2,4,11,-8,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500436,"Dec 27, 2025",IND @ MIA,L,12,0,2,0.0,0,1,0.0,0,1,0.0,0,3,3,0,0,0,3,3,0,-10,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500453,"Dec 29, 2025",IND @ HOU,L,4,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,14,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500476,"Jan 02, 2026",IND vs. SAS,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500510,"Jan 06, 2026",IND vs. CLE,L,9,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,1,2,-10,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500528,"Jan 08, 2026",IND @ CHA,W,8,0,0,0.0,0,0,0.0,3,3,1.0,0,0,0,0,0,0,1,2,3,-2,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500543,"Jan 10, 2026",IND vs. MIA,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,0,0,-4,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500571,"Jan 14, 2026",IND vs. TOR,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500595,"Jan 17, 2026",IND @ DET,L,29,3,13,0.231,1,8,0.125,3,6,0.5,1,4,5,2,1,0,2,2,10,-14,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500659,"Jan 26, 2026",IND @ ATL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500717,"Feb 03, 2026",IND vs. UTA,L,19,4,8,0.5,2,4,0.5,1,1,1.0,0,0,0,3,0,1,0,3,11,0,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500779,"Feb 11, 2026",IND @ BKN,W,27,6,13,0.462,3,6,0.5,0,0,0.0,0,5,5,3,3,0,0,3,15,12,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500795,"Feb 19, 2026",IND @ WAS,L,27,1,7,0.143,0,2,0.0,0,0,0.0,0,2,2,1,1,0,2,1,2,15,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022500954,"Mar 12, 2026",IND vs. PHX,L,38,4,11,0.364,2,7,0.286,1,1,1.0,1,1,2,2,1,0,2,5,11,-3,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501083,"Mar 29, 2026",IND vs. MIA,W,10,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,1,0,2,3,-6,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501109,"Apr 01, 2026",IND @ CHI,W,31,8,15,0.533,5,8,0.625,3,4,0.75,1,1,2,5,2,1,0,4,24,22,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501120,"Apr 03, 2026",IND @ CHA,L,30,1,2,0.5,1,2,0.5,0,0,0.0,0,3,3,0,0,0,1,4,3,-11,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501136,"Apr 05, 2026",IND @ CLE,L,30,1,12,0.083,0,6,0.0,3,4,0.75,1,0,1,1,0,0,0,3,5,1,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501152,"Apr 07, 2026",IND vs. MIN,L,30,4,8,0.5,1,3,0.333,8,10,0.8,1,3,4,1,0,0,2,1,17,-28,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501167,"Apr 09, 2026",IND @ BKN,W,37,6,12,0.5,3,7,0.429,0,0,0.0,0,7,7,6,0,1,0,3,15,29,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501175,"Apr 10, 2026",IND vs. PHI,L,31,4,10,0.4,1,5,0.2,6,6,1.0,0,4,4,3,2,0,3,1,15,1,1,2025-26,Regular Season,1630679,Ethan Thompson
22025,1630679,0022501188,"Apr 12, 2026",IND vs. DET,L,38,5,14,0.357,3,8,0.375,5,6,0.833,2,1,3,6,1,0,3,2,18,-3,1,2025-26,Regular Season,1630679,Ethan Thompson
