SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22018,1629312,0021800600,"Jan 08, 2019",PHI vs. WAS,W,5,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,3,-2,1,2018-19,Regular Season,1629312,Haywood Highsmith
22018,1629312,0021800733,"Jan 26, 2019",PHI @ DEN,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-2,1,2018-19,Regular Season,1629312,Haywood Highsmith
22018,1629312,0021801158,"Apr 01, 2019",PHI @ DAL,L,6,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,0,1,2018-19,Regular Season,1629312,Haywood Highsmith
22018,1629312,0021801212,"Apr 09, 2019",PHI @ MIA,L,10,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-5,1,2018-19,Regular Season,1629312,Haywood Highsmith
22018,1629312,0021801224,"Apr 10, 2019",PHI vs. CHI,W,15,1,2,0.5,0,1,0.0,0,2,0.0,0,1,1,0,1,0,1,0,2,-14,1,2018-19,Regular Season,1629312,Haywood Highsmith
22021,1629312,0022100532,"Dec 31, 2021",MIA @ HOU,W,15,3,4,0.75,3,3,1.0,0,0,0.0,1,0,1,0,0,0,0,2,9,6,1,2021-22,Regular Season,1629312,Haywood Highsmith
22021,1629312,0022100548,"Jan 02, 2022",MIA @ SAC,L,15,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,-2,1,2021-22,Regular Season,1629312,Haywood Highsmith
22021,1629312,0022100576,"Jan 05, 2022",MIA @ POR,W,9,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,1,0,1,3,-14,1,2021-22,Regular Season,1629312,Haywood Highsmith
22021,1629312,0022100596,"Jan 08, 2022",MIA @ PHX,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2021-22,Regular Season,1629312,Haywood Highsmith
22021,1629312,0022100868,"Feb 15, 2022",MIA vs. DAL,L,16,2,6,0.333,2,5,0.4,0,0,0.0,0,2,2,0,0,0,0,2,6,-1,1,2021-22,Regular Season,1629312,Haywood Highsmith
22021,1629312,0022100885,"Feb 17, 2022",MIA @ CHA,W,14,2,7,0.286,0,3,0.0,0,2,0.0,1,1,2,0,0,0,1,1,4,-25,1,2021-22,Regular Season,1629312,Haywood Highsmith
22021,1629312,0022100922,"Feb 28, 2022",MIA vs. CHI,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1,2021-22,Regular Season,1629312,Haywood Highsmith
