SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22020,1630193,0022000971,"May 02, 2021",NYK @ HOU,W,23,5,9,0.556,3,5,0.6,0,0,0.0,1,1,2,4,1,0,1,0,13,15,1,2020-21,Regular Season,1630193,Immanuel Quickley
22020,1630193,0022000980,"May 03, 2021",NYK @ MEM,W,16,3,6,0.5,2,3,0.667,0,0,0.0,0,1,1,0,0,0,2,3,8,1,1,2020-21,Regular Season,1630193,Immanuel Quickley
22020,1630193,0022000995,"May 05, 2021",NYK @ DEN,L,24,4,8,0.5,3,5,0.6,7,9,0.778,0,3,3,0,1,0,1,2,18,-7,1,2020-21,Regular Season,1630193,Immanuel Quickley
22020,1630193,0022000458,"May 13, 2021",NYK vs. SAS,W,11,0,4,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,2020-21,Regular Season,1630193,Immanuel Quickley
22020,1630193,0022001064,"May 15, 2021",NYK vs. CHA,W,24,4,8,0.5,2,6,0.333,3,3,1.0,1,1,2,1,0,0,0,2,13,18,1,2020-21,Regular Season,1630193,Immanuel Quickley
22020,1630193,0022001073,"May 16, 2021",NYK vs. BOS,W,14,1,7,0.143,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-1,1,2020-21,Regular Season,1630193,Immanuel Quickley
42020,1630193,0042000131,"May 23, 2021",NYK vs. ATL,L,21,4,7,0.571,2,2,1.0,0,0,0.0,0,2,2,3,0,0,2,4,10,6,1,2020-21,Playoffs,1630193,Immanuel Quickley
42020,1630193,0042000132,"May 26, 2021",NYK vs. ATL,W,15,2,9,0.222,0,4,0.0,0,0,0.0,0,3,3,1,1,0,1,2,4,8,1,2020-21,Playoffs,1630193,Immanuel Quickley
42020,1630193,0042000133,"May 28, 2021",NYK @ ATL,L,15,2,8,0.25,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,2,4,-3,1,2020-21,Playoffs,1630193,Immanuel Quickley
42020,1630193,0042000134,"May 30, 2021",NYK @ ATL,L,13,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,-1,1,2020-21,Playoffs,1630193,Immanuel Quickley
42022,1630193,0042200202,"May 02, 2023",NYK vs. MIA,W,9,3,7,0.429,0,4,0.0,0,0,0.0,0,1,1,0,0,0,2,2,6,-6,1,2022-23,Playoffs,1630193,Immanuel Quickley
42022,1630193,0042200203,"May 06, 2023",NYK @ MIA,L,20,4,12,0.333,2,8,0.25,2,2,1.0,1,0,1,0,1,0,1,0,12,-8,1,2022-23,Playoffs,1630193,Immanuel Quickley
22020,1630193,0022000937,"Apr 28, 2021",NYK vs. CHI,W,16,4,10,0.4,1,5,0.2,4,4,1.0,0,2,2,1,2,0,1,5,13,8,1,2020-21,Regular Season,1630193,Immanuel Quickley
