SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22018,1628973,0021800013,"Oct 17, 2018",DAL @ PHX,L,19,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,1,3,-3,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800032,"Oct 20, 2018",DAL vs. MIN,W,20,3,7,0.429,1,4,0.25,0,0,0.0,0,0,0,1,1,0,1,0,7,2,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800044,"Oct 22, 2018",DAL vs. CHI,W,15,2,7,0.286,2,4,0.5,0,0,0.0,0,1,1,2,1,0,0,0,6,4,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800052,"Oct 24, 2018",DAL @ ATL,L,19,3,9,0.333,0,3,0.0,0,0,0.0,0,5,5,1,0,0,1,2,6,5,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800069,"Oct 26, 2018",DAL @ TOR,L,30,3,11,0.273,2,4,0.5,0,0,0.0,0,3,3,4,1,0,2,2,8,-3,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800084,"Oct 28, 2018",DAL vs. UTA,L,12,1,5,0.2,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,-14,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800094,"Oct 29, 2018",DAL @ SAS,L,14,2,5,0.4,0,2,0.0,2,2,1.0,0,0,0,1,0,0,1,1,6,-19,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800109,"Oct 31, 2018",DAL @ LAL,L,11,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,1,0,0,0,2,4,12,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800121,"Nov 02, 2018",DAL vs. NYK,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,5,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800150,"Nov 06, 2018",DAL vs. WAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800160,"Nov 07, 2018",DAL @ UTA,L,16,5,7,0.714,1,2,0.5,0,0,0.0,1,1,2,2,1,0,2,0,11,9,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800181,"Nov 10, 2018",DAL vs. OKC,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,0,2,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800193,"Nov 12, 2018",DAL @ CHI,W,13,1,3,0.333,0,0,0.0,0,2,0.0,1,2,3,0,1,0,1,1,2,12,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800210,"Nov 14, 2018",DAL vs. UTA,W,9,4,4,1.0,0,0,0.0,1,1,1.0,0,2,2,4,0,0,1,1,9,19,1,2018-19,1628973,Jalen Brunson
22018,1628973,0021800244,"Nov 19, 2018",DAL @ MEM,L,25,3,9,0.333,0,1,0.0,2,2,1.0,1,3,4,4,1,0,0,4,8,-5,1,2018-19,1628973,Jalen Brunson
