SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22021,1630552,0022100014,"Oct 21, 2021",ATL vs. DAL,W,4,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,0,0,0,0,0,6,-1,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100043,"Oct 25, 2021",ATL vs. DET,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-5,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100082,"Oct 30, 2021",ATL @ PHI,L,5,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,0,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100120,"Nov 04, 2021",ATL vs. UTA,L,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100193,"Nov 14, 2021",ATL vs. MIL,W,2,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100202,"Nov 15, 2021",ATL vs. ORL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100255,"Nov 22, 2021",ATL vs. OKC,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100470,"Dec 22, 2021",ATL vs. ORL,L,11,1,3,0.333,0,1,0.0,2,4,0.5,0,1,1,1,0,0,0,1,4,-8,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100478,"Dec 23, 2021",ATL @ PHI,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100488,"Dec 25, 2021",ATL @ NYK,L,15,2,3,0.667,0,1,0.0,0,0,0.0,0,7,7,0,0,0,2,1,4,7,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100597,"Jan 09, 2022",ATL @ LAC,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100725,"Jan 26, 2022",ATL vs. SAC,W,4,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,0,1,0,3,-6,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100737,"Jan 28, 2022",ATL vs. BOS,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100874,"Feb 16, 2022",ATL @ ORL,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-7,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100906,"Feb 26, 2022",ATL vs. TOR,W,3,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,4,0,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022100984,"Mar 09, 2022",ATL @ MIL,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022101047,"Mar 18, 2022",ATL vs. MEM,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-2,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022101085,"Mar 23, 2022",ATL @ DET,L,25,5,9,0.556,0,3,0.0,1,1,1.0,2,5,7,1,1,0,2,3,11,3,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022101124,"Mar 28, 2022",ATL @ IND,W,17,6,8,0.75,0,1,0.0,0,0,0.0,0,1,1,1,1,1,3,3,12,16,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022101182,"Apr 05, 2022",ATL @ TOR,L,6,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022101192,"Apr 06, 2022",ATL vs. WAS,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4,1,2021-22,1630552,Jalen Johnson
22021,1630552,0022101221,"Apr 10, 2022",ATL @ HOU,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2021-22,1630552,Jalen Johnson
22022,1630552,0022200005,"Oct 19, 2022",ATL vs. HOU,W,14,1,1,1.0,0,0,0.0,3,4,0.75,0,1,1,0,0,0,1,2,5,-1,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200020,"Oct 21, 2022",ATL vs. ORL,W,12,1,4,0.25,0,2,0.0,2,2,1.0,1,0,1,0,0,0,0,1,4,-16,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200038,"Oct 23, 2022",ATL vs. CHA,L,10,1,2,0.5,0,1,0.0,1,2,0.5,1,1,2,0,0,0,1,0,3,-6,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200057,"Oct 26, 2022",ATL @ DET,W,12,2,4,0.5,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,2,5,0,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200070,"Oct 28, 2022",ATL @ DET,W,21,3,5,0.6,1,1,1.0,0,0,0.0,0,5,5,2,0,1,0,1,7,15,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200085,"Oct 29, 2022",ATL @ MIL,L,17,2,7,0.286,0,4,0.0,0,0,0.0,0,2,2,2,1,0,0,4,4,-3,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200099,"Oct 31, 2022",ATL @ TOR,L,11,2,3,0.667,0,0,0.0,1,2,0.5,1,3,4,1,0,0,0,3,5,3,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200110,"Nov 02, 2022",ATL @ NYK,W,12,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,0,1,0,0,1,0,-5,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200134,"Nov 05, 2022",ATL vs. NOP,W,15,5,7,0.714,1,3,0.333,0,0,0.0,0,4,4,1,2,0,1,0,11,4,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200149,"Nov 07, 2022",ATL vs. MIL,W,22,2,5,0.4,0,1,0.0,1,2,0.5,1,7,8,2,2,1,0,2,5,15,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200162,"Nov 09, 2022",ATL vs. UTA,L,20,0,5,0.0,0,1,0.0,0,0,0.0,1,4,5,1,1,1,0,2,0,-22,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200173,"Nov 10, 2022",ATL vs. PHI,W,6,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,8,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200188,"Nov 12, 2022",ATL @ PHI,L,11,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,0,1,0,3,0,4,3,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200204,"Nov 14, 2022",ATL @ MIL,W,15,2,2,1.0,0,0,0.0,1,1,1.0,0,2,2,1,1,0,1,3,5,2,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200214,"Nov 16, 2022",ATL vs. BOS,L,11,3,11,0.273,0,4,0.0,1,2,0.5,2,2,4,0,1,1,0,0,7,-5,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200235,"Nov 19, 2022",ATL vs. TOR,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-8,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200248,"Nov 21, 2022",ATL @ CLE,L,14,3,4,0.75,2,3,0.667,0,0,0.0,0,1,1,1,2,0,0,2,8,5,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200263,"Nov 23, 2022",ATL vs. SAC,W,16,4,7,0.571,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,1,8,8,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200278,"Nov 25, 2022",ATL @ HOU,L,13,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,1,0,2,0,2,4,3,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200293,"Nov 27, 2022",ATL vs. MIA,L,11,0,0,0.0,0,0,0.0,0,0,0.0,1,4,5,1,0,0,1,2,0,-4,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200327,"Dec 02, 2022",ATL vs. DEN,W,33,5,9,0.556,0,1,0.0,0,0,0.0,1,9,10,4,0,1,0,1,10,0,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200354,"Dec 05, 2022",ATL vs. OKC,L,29,3,8,0.375,1,3,0.333,0,0,0.0,3,6,9,3,0,0,1,4,7,2,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200365,"Dec 07, 2022",ATL @ NYK,L,14,2,2,1.0,1,1,1.0,1,1,1.0,0,3,3,1,0,0,0,6,6,-12,1,2022-23,1630552,Jalen Johnson
22022,1630552,0022200380,"Dec 09, 2022",ATL @ BKN,L,33,1,8,0.125,0,5,0.0,0,0,0.0,1,6,7,2,0,1,1,4,2,-8,1,2022-23,1630552,Jalen Johnson
