SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22016,1627750,0021600010,"Oct 26, 2016",DEN @ NOP,W,13,0,2,0.0,0,1,0.0,1,2,0.5,0,4,4,1,0,0,1,0,1,8,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600033,"Oct 29, 2016",DEN vs. POR,L,12,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,1,0,-5,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600042,"Oct 31, 2016",DEN @ TOR,L,12,0,4,0.0,0,1,0.0,1,1,1.0,0,2,2,2,0,0,1,3,1,3,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600067,"Nov 03, 2016",DEN @ MIN,W,29,0,8,0.0,0,4,0.0,0,0,0.0,0,3,3,4,0,0,1,2,0,5,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600082,"Nov 05, 2016",DEN @ DET,L,27,4,10,0.4,1,4,0.25,0,0,0.0,0,1,1,2,1,0,4,0,9,-11,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600091,"Nov 06, 2016",DEN @ BOS,W,13,3,7,0.429,2,4,0.5,1,1,1.0,0,1,1,0,0,0,0,0,9,-2,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600102,"Nov 08, 2016",DEN @ MEM,L,17,4,7,0.571,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,2,10,-3,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600119,"Nov 10, 2016",DEN vs. GSW,L,29,5,15,0.333,2,7,0.286,2,2,1.0,2,1,3,6,0,1,3,3,14,-3,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600138,"Nov 12, 2016",DEN vs. DET,L,20,3,6,0.5,1,3,0.333,0,0,0.0,0,1,1,0,1,0,0,1,7,-12,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600144,"Nov 13, 2016",DEN @ POR,L,28,6,12,0.5,5,9,0.556,2,3,0.667,0,5,5,1,0,0,6,2,19,17,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600166,"Nov 16, 2016",DEN vs. PHX,W,20,3,8,0.375,3,4,0.75,0,0,0.0,0,1,1,1,0,0,0,1,9,4,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600181,"Nov 18, 2016",DEN vs. TOR,L,19,2,8,0.25,0,3,0.0,1,2,0.5,1,2,3,4,1,0,1,2,5,-2,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600197,"Nov 20, 2016",DEN vs. UTA,W,23,6,9,0.667,3,4,0.75,3,4,0.75,1,0,1,4,0,1,0,2,18,15,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600210,"Nov 22, 2016",DEN vs. CHI,W,22,9,13,0.692,3,4,0.75,3,3,1.0,2,4,6,2,0,0,0,2,24,9,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600221,"Nov 23, 2016",DEN @ UTA,L,35,8,19,0.421,5,8,0.625,2,2,1.0,2,2,4,3,0,1,4,2,23,-6,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600235,"Nov 25, 2016",DEN vs. OKC,L,34,5,16,0.313,2,7,0.286,8,10,0.8,1,6,7,0,1,1,2,3,20,1,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600246,"Nov 27, 2016",DEN @ PHX,W,22,3,8,0.375,1,4,0.25,2,2,1.0,1,3,4,2,0,0,1,4,9,6,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600273,"Nov 30, 2016",DEN vs. MIA,L,23,3,10,0.3,2,6,0.333,1,1,1.0,0,3,3,2,0,2,2,4,9,3,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600290,"Dec 02, 2016",DEN vs. HOU,L,17,1,7,0.143,0,5,0.0,0,0,0.0,1,2,3,1,0,0,2,2,2,2,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600297,"Dec 03, 2016",DEN @ UTA,L,18,0,4,0.0,0,1,0.0,0,0,0.0,0,4,4,2,0,0,3,0,0,-12,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600304,"Dec 05, 2016",DEN @ PHI,W,24,8,12,0.667,3,7,0.429,3,3,1.0,0,3,3,2,0,0,1,0,22,12,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600323,"Dec 07, 2016",DEN @ BKN,L,34,4,14,0.286,2,8,0.25,2,2,1.0,1,4,5,3,1,0,0,3,12,21,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600332,"Dec 08, 2016",DEN @ WAS,L,17,2,5,0.4,2,4,0.5,0,0,0.0,1,1,2,2,1,0,5,2,6,-6,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600347,"Dec 10, 2016",DEN @ ORL,W,22,1,6,0.167,0,3,0.0,0,0,0.0,0,1,1,2,1,1,1,2,2,16,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600365,"Dec 12, 2016",DEN @ DAL,L,28,7,14,0.5,1,5,0.2,0,1,0.0,2,4,6,4,1,0,1,0,15,-1,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600386,"Dec 15, 2016",DEN vs. POR,W,16,1,6,0.167,0,2,0.0,2,2,1.0,1,1,2,1,1,0,1,2,4,7,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600404,"Dec 17, 2016",DEN vs. NYK,W,13,2,5,0.4,2,4,0.5,0,0,0.0,2,1,3,0,0,1,0,1,6,-7,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600417,"Dec 19, 2016",DEN vs. DAL,W,14,1,4,0.25,1,2,0.5,0,0,0.0,0,2,2,0,0,0,0,1,3,-16,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600426,"Dec 20, 2016",DEN @ LAC,L,27,3,9,0.333,2,8,0.25,0,1,0.0,2,3,5,5,0,1,0,0,8,12,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600451,"Dec 23, 2016",DEN vs. ATL,L,17,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,2,2,9,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600470,"Dec 26, 2016",DEN @ LAC,W,12,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-1,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600483,"Dec 28, 2016",DEN vs. MIN,W,13,3,5,0.6,1,3,0.333,0,0,0.0,0,1,1,0,3,1,0,3,7,9,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600500,"Dec 30, 2016",DEN vs. PHI,L,12,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-4,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600520,"Jan 02, 2017",DEN @ GSW,L,19,2,7,0.286,1,5,0.2,0,0,0.0,1,3,4,3,1,0,0,0,5,-4,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600526,"Jan 03, 2017",DEN vs. SAC,L,14,1,5,0.2,0,3,0.0,0,0,0.0,0,0,0,1,1,0,2,2,2,-5,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600543,"Jan 05, 2017",DEN vs. SAS,L,23,3,8,0.375,1,4,0.25,1,1,1.0,2,0,2,0,0,0,0,1,8,-25,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600555,"Jan 07, 2017",DEN @ OKC,L,14,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,1,0,1,0,0,4,-4,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600589,"Jan 12, 2017",DEN vs. IND,W,11,3,6,0.5,0,3,0.0,2,2,1.0,1,0,1,2,1,0,2,0,8,3,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600617,"Jan 16, 2017",DEN vs. ORL,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600626,"Jan 17, 2017",DEN @ LAL,W,13,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,0,0,2,3,2,5,-15,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600639,"Jan 19, 2017",DEN @ SAS,L,26,4,15,0.267,2,8,0.25,3,3,1.0,1,5,6,2,0,0,0,2,13,2,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600658,"Jan 21, 2017",DEN vs. LAC,W,19,2,7,0.286,1,3,0.333,0,0,0.0,0,1,1,3,0,0,3,1,5,9,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600664,"Jan 22, 2017",DEN @ MIN,L,20,7,13,0.538,0,2,0.0,3,4,0.75,1,4,5,3,1,0,0,2,17,13,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600678,"Jan 24, 2017",DEN vs. UTA,W,17,1,3,0.333,0,1,0.0,3,4,0.75,0,2,2,5,1,0,2,2,5,0,1,2016-17,1627750,Jamal Murray
22016,1627750,0021600692,"Jan 26, 2017",DEN vs. PHX,W,6,1,3,0.333,0,1,0.0,2,2,1.0,1,0,1,1,0,0,0,0,4,-8,1,2016-17,1627750,Jamal Murray
