SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,201145,0021500011,"Oct 28, 2015",MEM vs. CLE,L,20,3,9,0.333,1,3,0.333,1,2,0.5,0,1,1,2,0,0,0,5,8,-21,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500018,"Oct 29, 2015",MEM @ IND,W,29,5,6,0.833,2,2,1.0,0,0,0.0,0,3,3,3,1,1,3,5,12,14,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500036,"Oct 31, 2015",MEM vs. BKN,W,27,2,5,0.4,1,3,0.333,8,10,0.8,0,4,4,5,0,0,0,3,13,11,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500051,"Nov 02, 2015",MEM @ GSW,L,20,1,8,0.125,0,1,0.0,0,0,0.0,1,2,3,1,0,0,3,1,2,-17,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500058,"Nov 03, 2015",MEM @ SAC,W,22,2,8,0.25,1,4,0.25,0,0,0.0,1,3,4,2,0,0,1,2,5,6,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500074,"Nov 05, 2015",MEM @ POR,L,20,3,8,0.375,0,3,0.0,0,0,0.0,0,2,2,0,1,0,1,1,6,-14,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500091,"Nov 07, 2015",MEM @ UTA,L,29,4,10,0.4,0,2,0.0,0,0,0.0,1,3,4,0,1,0,1,1,8,-4,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500105,"Nov 09, 2015",MEM @ LAC,L,17,2,7,0.286,0,1,0.0,1,2,0.5,0,3,3,0,0,1,2,3,5,-15,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500120,"Nov 11, 2015",MEM vs. GSW,L,17,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,1,0,-4,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500133,"Nov 13, 2015",MEM vs. POR,W,30,4,10,0.4,0,0,0.0,6,6,1.0,3,2,5,2,2,0,0,3,14,4,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500146,"Nov 15, 2015",MEM @ MIN,W,35,7,12,0.583,1,3,0.333,6,6,1.0,1,3,4,3,0,0,2,2,21,2,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500155,"Nov 16, 2015",MEM vs. OKC,W,34,5,13,0.385,2,2,1.0,8,8,1.0,1,4,5,1,2,1,2,2,20,-1,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500180,"Nov 20, 2015",MEM vs. HOU,W,29,2,9,0.222,1,4,0.25,2,2,1.0,1,5,6,1,2,1,0,2,7,-1,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500195,"Nov 21, 2015",MEM @ SAS,L,28,3,7,0.429,0,0,0.0,0,0,0.0,0,7,7,1,1,0,1,2,6,-16,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500211,"Nov 24, 2015",MEM vs. DAL,W,35,8,14,0.571,1,1,1.0,2,2,1.0,1,6,7,3,0,2,1,3,19,14,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500220,"Nov 25, 2015",MEM @ HOU,W,32,5,10,0.5,0,1,0.0,10,10,1.0,2,5,7,1,1,0,0,0,20,3,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500233,"Nov 27, 2015",MEM vs. ATL,L,31,4,7,0.571,1,1,1.0,2,2,1.0,0,7,7,1,0,0,1,5,11,-11,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500251,"Nov 29, 2015",MEM vs. PHI,W,28,4,10,0.4,1,4,0.25,4,4,1.0,2,0,2,2,1,0,3,0,13,7,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500266,"Dec 01, 2015",MEM @ NOP,W,31,3,11,0.273,0,2,0.0,0,0,0.0,0,4,4,1,1,0,0,3,6,-8,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500280,"Dec 03, 2015",MEM vs. SAS,L,27,4,11,0.364,1,2,0.5,1,2,0.5,0,2,2,2,0,0,0,0,10,-11,2,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500299,"Dec 06, 2015",MEM vs. PHX,W,26,5,11,0.455,0,2,0.0,0,1,0.0,3,2,5,2,0,0,2,1,10,-10,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500316,"Dec 08, 2015",MEM vs. OKC,L,30,4,10,0.4,0,1,0.0,1,1,1.0,2,1,3,1,1,0,1,0,9,-27,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500322,"Dec 09, 2015",MEM @ DET,W,25,4,7,0.571,0,1,0.0,0,0,0.0,0,2,2,2,1,0,2,1,8,-6,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500338,"Dec 11, 2015",MEM vs. CHA,L,26,2,8,0.25,0,1,0.0,2,4,0.5,0,3,3,1,0,0,2,1,6,-15,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500354,"Dec 13, 2015",MEM @ MIA,L,45,10,20,0.5,2,6,0.333,4,4,1.0,0,2,2,3,0,1,4,3,26,-3,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500362,"Dec 14, 2015",MEM vs. WAS,W,40,6,12,0.5,0,1,0.0,3,4,0.75,2,4,6,4,1,1,3,3,15,12,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500377,"Dec 16, 2015",MEM @ CHI,L,33,4,12,0.333,1,3,0.333,2,4,0.5,0,1,1,2,1,1,0,1,11,-8,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500394,"Dec 18, 2015",MEM @ DAL,L,35,0,7,0.0,0,1,0.0,2,2,1.0,0,7,7,3,0,0,0,3,2,-8,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500402,"Dec 19, 2015",MEM vs. IND,W,34,5,11,0.455,0,2,0.0,1,1,1.0,1,5,6,0,0,1,0,3,11,10,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500419,"Dec 22, 2015",MEM @ PHI,W,19,3,3,1.0,0,0,0.0,2,2,1.0,2,1,3,0,1,0,0,1,8,-4,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500427,"Dec 23, 2015",MEM @ WAS,L,38,8,14,0.571,0,4,0.0,3,5,0.6,2,10,12,4,3,1,1,2,19,0,1,2015-16,Regular Season,201145,Jeff Green
22015,201145,0021500443,"Dec 26, 2015",MEM @ CHA,L,24,3,5,0.6,1,1,1.0,1,2,0.5,2,2,4,3,2,0,3,1,8,-5,1,2015-16,Regular Season,201145,Jeff Green
