SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,203903,0021500017,"Oct 28, 2015",LAL vs. MIN,L,30,5,10,0.5,0,2,0.0,4,6,0.667,0,2,2,3,0,0,2,4,14,7,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500031,"Oct 30, 2015",LAL @ SAC,L,29,10,15,0.667,2,3,0.667,0,0,0.0,0,4,4,0,1,1,2,1,22,-16,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500045,"Nov 01, 2015",LAL vs. DAL,L,30,2,8,0.25,1,4,0.25,2,2,1.0,0,0,0,3,1,2,1,2,7,-13,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500059,"Nov 03, 2015",LAL vs. DEN,L,37,12,19,0.632,4,6,0.667,2,3,0.667,1,2,3,2,1,0,0,2,30,-9,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500077,"Nov 06, 2015",LAL @ BKN,W,33,6,12,0.5,1,4,0.25,3,4,0.75,1,1,2,3,2,0,3,2,16,3,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500095,"Nov 08, 2015",LAL @ NYK,L,29,4,13,0.308,2,3,0.667,0,0,0.0,0,2,2,1,1,0,2,0,10,-5,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500108,"Nov 10, 2015",LAL @ MIA,L,31,6,16,0.375,0,2,0.0,0,0,0.0,1,1,2,0,2,0,3,1,12,-17,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500114,"Nov 11, 2015",LAL @ ORL,L,26,2,7,0.286,0,2,0.0,0,0,0.0,1,1,2,5,0,0,2,0,4,-4,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500135,"Nov 13, 2015",LAL @ DAL,L,31,9,18,0.5,3,5,0.6,0,0,0.0,2,2,4,1,3,1,0,2,21,4,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500151,"Nov 15, 2015",LAL vs. DET,W,29,5,10,0.5,2,4,0.5,5,8,0.625,0,6,6,3,0,0,5,4,17,0,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500157,"Nov 16, 2015",LAL @ PHX,L,33,6,12,0.5,2,3,0.667,6,6,1.0,1,1,2,1,0,0,0,2,20,-11,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500188,"Nov 20, 2015",LAL vs. TOR,L,32,6,13,0.462,1,3,0.333,0,0,0.0,0,4,4,3,1,0,2,1,13,12,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500201,"Nov 22, 2015",LAL vs. POR,L,35,8,14,0.571,3,5,0.6,0,0,0.0,2,2,4,1,0,0,3,1,19,-5,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500214,"Nov 24, 2015",LAL @ GSW,L,27,2,11,0.182,0,3,0.0,0,0,0.0,2,0,2,2,0,0,2,1,4,-25,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500244,"Nov 28, 2015",LAL @ POR,L,36,8,15,0.533,2,5,0.4,1,2,0.5,0,3,3,4,4,0,2,1,19,0,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500253,"Nov 29, 2015",LAL vs. IND,L,39,8,15,0.533,2,4,0.5,4,4,1.0,2,8,10,6,1,0,0,3,22,-6,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500263,"Dec 01, 2015",LAL @ PHI,L,38,9,19,0.474,1,3,0.333,0,0,0.0,1,4,5,2,0,0,0,1,19,-5,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500269,"Dec 02, 2015",LAL @ WAS,W,36,6,14,0.429,0,2,0.0,6,6,1.0,1,3,4,1,3,0,2,5,18,1,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500286,"Dec 04, 2015",LAL @ ATL,L,29,5,8,0.625,3,3,1.0,0,0,0.0,1,2,3,2,1,0,2,2,13,6,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500301,"Dec 06, 2015",LAL @ DET,L,30,3,11,0.273,0,1,0.0,1,2,0.5,1,2,3,1,1,0,3,2,7,-18,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500308,"Dec 07, 2015",LAL @ TOR,L,32,5,15,0.333,1,4,0.25,2,2,1.0,2,3,5,1,0,0,1,2,13,-5,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500325,"Dec 09, 2015",LAL @ MIN,L,23,7,10,0.7,0,2,0.0,0,0,0.0,0,4,4,1,0,0,3,3,14,-1,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500370,"Dec 15, 2015",LAL vs. MIL,W,33,5,14,0.357,1,2,0.5,1,2,0.5,1,5,6,3,3,0,3,1,12,11,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500385,"Dec 17, 2015",LAL vs. HOU,L,39,6,14,0.429,0,5,0.0,0,0,0.0,2,2,4,4,2,0,2,3,12,-23,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500398,"Dec 19, 2015",LAL @ OKC,L,30,7,15,0.467,0,2,0.0,1,2,0.5,0,4,4,1,1,0,1,0,15,-21,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500422,"Dec 22, 2015",LAL @ DEN,W,38,6,14,0.429,0,2,0.0,7,9,0.778,3,5,8,2,3,0,2,3,19,14,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500435,"Dec 23, 2015",LAL vs. OKC,L,31,4,12,0.333,0,2,0.0,2,2,1.0,2,4,6,2,2,0,1,0,10,-30,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500440,"Dec 25, 2015",LAL vs. LAC,L,31,4,9,0.444,0,3,0.0,3,4,0.75,0,3,3,3,1,0,4,3,11,-24,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500455,"Dec 27, 2015",LAL @ MEM,L,27,5,9,0.556,0,1,0.0,2,2,1.0,1,1,2,3,0,0,1,4,12,-28,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500458,"Dec 28, 2015",LAL @ CHA,L,35,2,14,0.143,1,4,0.25,3,4,0.75,2,4,6,6,1,1,0,4,8,-14,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500476,"Dec 30, 2015",LAL @ BOS,W,33,10,15,0.667,1,1,1.0,3,5,0.6,0,2,2,3,1,0,1,2,24,2,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500494,"Jan 01, 2016",LAL vs. PHI,W,33,6,17,0.353,0,1,0.0,7,9,0.778,1,1,2,3,0,0,0,3,19,0,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500510,"Jan 03, 2016",LAL vs. PHX,W,34,5,11,0.455,0,2,0.0,2,2,1.0,1,4,5,7,3,1,2,4,12,23,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500524,"Jan 05, 2016",LAL vs. GSW,L,29,8,20,0.4,2,5,0.4,5,5,1.0,3,2,5,2,0,0,3,0,23,-34,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500539,"Jan 07, 2016",LAL @ SAC,L,35,6,14,0.429,0,2,0.0,3,3,1.0,2,3,5,4,1,0,4,4,15,-16,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500549,"Jan 08, 2016",LAL vs. OKC,L,35,6,12,0.5,2,3,0.667,3,4,0.75,0,3,3,2,2,0,3,3,17,-19,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500565,"Jan 10, 2016",LAL vs. UTA,L,38,6,19,0.316,1,4,0.25,1,1,1.0,1,1,2,1,4,1,0,2,14,0,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500576,"Jan 12, 2016",LAL vs. NOP,W,37,5,17,0.294,1,6,0.167,7,9,0.778,4,3,7,2,2,0,3,4,18,7,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500592,"Jan 14, 2016",LAL @ GSW,L,36,10,17,0.588,1,3,0.333,1,3,0.333,2,2,4,1,1,0,4,2,22,-9,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500608,"Jan 16, 2016",LAL @ UTA,L,25,5,13,0.385,0,1,0.0,0,1,0.0,3,1,4,1,0,0,3,2,10,-22,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500614,"Jan 17, 2016",LAL vs. HOU,L,29,8,18,0.444,0,2,0.0,0,0,0.0,0,3,3,3,2,0,0,3,16,-11,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500638,"Jan 20, 2016",LAL vs. SAC,L,35,5,15,0.333,0,2,0.0,4,6,0.667,1,4,5,1,1,0,2,1,14,-9,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500653,"Jan 22, 2016",LAL vs. SAS,L,29,6,12,0.5,2,3,0.667,2,2,1.0,0,3,3,1,0,0,0,0,16,-12,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500662,"Jan 23, 2016",LAL @ POR,L,25,2,8,0.25,1,3,0.333,5,5,1.0,0,1,1,3,0,0,1,4,10,-25,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500683,"Jan 26, 2016",LAL vs. DAL,L,37,6,15,0.4,2,4,0.5,4,5,0.8,3,3,6,7,0,0,2,2,18,-7,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500697,"Jan 28, 2016",LAL vs. CHI,L,27,5,14,0.357,2,3,0.667,4,5,0.8,2,2,4,4,0,0,2,0,16,-29,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500706,"Jan 29, 2016",LAL @ LAC,L,36,7,16,0.438,0,3,0.0,3,3,1.0,2,6,8,2,0,0,3,3,17,7,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500720,"Jan 31, 2016",LAL vs. CHA,L,30,5,10,0.5,2,3,0.667,1,1,1.0,0,0,0,1,0,0,1,3,13,-10,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500734,"Feb 02, 2016",LAL vs. MIN,W,35,8,13,0.615,0,2,0.0,0,2,0.0,0,3,3,2,2,0,1,1,16,-2,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500747,"Feb 04, 2016",LAL @ NOP,W,35,8,14,0.571,2,3,0.667,0,0,0.0,2,3,5,2,0,0,4,4,18,17,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500767,"Feb 06, 2016",LAL @ SAS,L,36,9,14,0.643,1,2,0.5,2,2,1.0,2,4,6,4,1,0,1,3,21,2,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500776,"Feb 08, 2016",LAL @ IND,L,33,4,12,0.333,0,2,0.0,2,2,1.0,1,2,3,2,2,0,1,6,10,-3,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500795,"Feb 10, 2016",LAL @ CLE,L,36,8,15,0.533,3,5,0.6,3,3,1.0,1,5,6,7,1,0,2,1,22,-11,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500818,"Feb 19, 2016",LAL vs. SAS,L,34,6,11,0.545,4,5,0.8,4,4,1.0,2,1,3,6,2,0,2,3,20,-7,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500831,"Feb 21, 2016",LAL @ CHI,L,37,7,16,0.438,2,5,0.4,4,6,0.667,4,5,9,4,1,0,1,4,20,-4,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500837,"Feb 22, 2016",LAL @ MIL,L,25,5,10,0.5,4,6,0.667,1,1,1.0,1,2,3,3,2,0,3,2,15,-14,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500851,"Feb 24, 2016",LAL @ MEM,L,41,10,18,0.556,6,11,0.545,2,3,0.667,1,5,6,3,0,0,2,3,28,-17,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500868,"Feb 26, 2016",LAL vs. MEM,L,29,4,16,0.25,0,7,0.0,0,0,0.0,0,2,2,2,1,0,0,0,8,-23,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500896,"Mar 01, 2016",LAL vs. BKN,W,34,6,15,0.4,1,5,0.2,3,4,0.75,2,5,7,7,0,0,1,0,16,-2,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500906,"Mar 02, 2016",LAL @ DEN,L,23,4,13,0.308,3,8,0.375,2,2,1.0,2,1,3,0,1,0,1,1,13,-3,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500931,"Mar 06, 2016",LAL vs. GSW,W,37,10,21,0.476,4,7,0.571,1,1,1.0,2,2,4,0,2,0,2,4,25,11,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500949,"Mar 08, 2016",LAL vs. ORL,W,36,9,17,0.529,5,12,0.417,1,1,1.0,0,5,5,3,0,0,1,3,24,15,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500962,"Mar 10, 2016",LAL vs. CLE,L,34,2,12,0.167,0,6,0.0,1,1,1.0,0,1,1,1,2,0,0,0,5,-17,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021500987,"Mar 13, 2016",LAL vs. NYK,L,22,6,16,0.375,0,3,0.0,0,0,0.0,2,1,3,2,3,0,1,3,12,-8,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501002,"Mar 15, 2016",LAL vs. SAC,L,26,5,16,0.313,2,8,0.25,0,0,0.0,0,1,1,1,1,0,2,1,12,-16,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501027,"Mar 18, 2016",LAL vs. PHX,L,25,2,13,0.154,1,5,0.2,3,3,1.0,1,0,1,2,0,0,1,0,8,-14,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501055,"Mar 22, 2016",LAL vs. MEM,W,33,8,13,0.615,2,3,0.667,4,4,1.0,2,3,5,1,2,0,3,2,22,14,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501065,"Mar 23, 2016",LAL @ PHX,L,30,5,14,0.357,1,5,0.2,2,2,1.0,1,1,2,2,0,0,1,4,13,-14,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501081,"Mar 25, 2016",LAL vs. DEN,L,35,8,16,0.5,4,7,0.571,0,0,0.0,0,4,4,1,1,0,0,3,20,-17,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501096,"Mar 27, 2016",LAL vs. WAS,L,30,1,7,0.143,0,4,0.0,0,0,0.0,1,4,5,3,0,0,3,2,2,-10,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501104,"Mar 28, 2016",LAL @ UTA,L,34,5,18,0.278,1,4,0.25,1,2,0.5,0,8,8,2,2,0,1,1,12,-36,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501121,"Mar 30, 2016",LAL vs. MIA,W,36,9,19,0.474,2,6,0.333,6,8,0.75,2,4,6,1,1,0,0,0,26,-5,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501153,"Apr 03, 2016",LAL vs. BOS,L,36,6,16,0.375,2,5,0.4,3,4,0.75,3,2,5,1,3,0,2,4,17,-6,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501164,"Apr 05, 2016",LAL @ LAC,L,31,4,13,0.308,2,6,0.333,0,0,0.0,0,1,1,1,2,0,1,2,10,-27,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501172,"Apr 06, 2016",LAL vs. LAC,L,32,5,15,0.333,1,7,0.143,2,2,1.0,0,2,2,2,2,0,1,3,13,-2,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501184,"Apr 08, 2016",LAL @ NOP,L,34,10,15,0.667,5,8,0.625,1,2,0.5,1,2,3,0,1,0,2,3,26,-5,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501195,"Apr 10, 2016",LAL @ HOU,L,36,9,17,0.529,3,8,0.375,0,0,0.0,2,6,8,4,0,0,3,0,21,-24,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501209,"Apr 11, 2016",LAL @ OKC,L,35,2,14,0.143,1,9,0.111,6,6,1.0,1,1,2,4,0,0,3,2,11,-22,1,2015-16,Regular Season,203903,Jordan Clarkson
22015,203903,0021501228,"Apr 13, 2016",LAL vs. UTA,W,34,6,10,0.6,0,1,0.0,0,0,0.0,2,5,7,1,1,0,1,1,12,9,1,2015-16,Regular Season,203903,Jordan Clarkson
22016,203903,0021600013,"Oct 26, 2016",LAL vs. HOU,W,25,8,12,0.667,2,3,0.667,7,7,1.0,1,2,3,1,3,0,4,3,25,6,1,2016-17,Regular Season,203903,Jordan Clarkson
22016,203903,0021600024,"Oct 28, 2016",LAL @ UTA,L,25,2,9,0.222,0,3,0.0,0,0,0.0,0,2,2,0,0,1,3,2,4,-2,1,2016-17,Regular Season,203903,Jordan Clarkson
22016,203903,0021600040,"Oct 30, 2016",LAL @ OKC,L,29,6,14,0.429,0,3,0.0,0,0,0.0,2,3,5,2,3,0,4,2,12,-13,1,2016-17,Regular Season,203903,Jordan Clarkson
22016,203903,0021600048,"Nov 01, 2016",LAL @ IND,L,31,7,16,0.438,0,4,0.0,1,1,1.0,1,0,1,0,0,0,0,2,15,-12,1,2016-17,Regular Season,203903,Jordan Clarkson
22016,203903,0021600059,"Nov 02, 2016",LAL @ ATL,W,23,8,13,0.615,1,3,0.333,1,2,0.5,0,2,2,3,1,1,3,4,18,-5,1,2016-17,Regular Season,203903,Jordan Clarkson
22016,203903,0021600078,"Nov 04, 2016",LAL vs. GSW,W,29,4,13,0.308,1,3,0.333,0,0,0.0,0,1,1,5,2,0,1,1,9,18,1,2016-17,Regular Season,203903,Jordan Clarkson
