SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1641757,0022300074,"Oct 25, 2023",LAC vs. POR,W,4,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-7,1,2023-24,Regular Season,1641757,Jordan Miller
22023,1641757,0022300114,"Oct 31, 2023",LAC vs. ORL,W,3,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,2,1,2023-24,Regular Season,1641757,Jordan Miller
22023,1641757,0022300343,"Dec 16, 2023",LAC vs. NYK,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-2,1,2023-24,Regular Season,1641757,Jordan Miller
22023,1641757,0022300537,"Jan 12, 2024",LAC @ MEM,W,4,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,-11,1,2023-24,Regular Season,1641757,Jordan Miller
22023,1641757,0022300770,"Feb 12, 2024",LAC vs. MIN,L,5,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,4,3,1,2023-24,Regular Season,1641757,Jordan Miller
22023,1641757,0022300917,"Mar 09, 2024",LAC vs. CHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2023-24,Regular Season,1641757,Jordan Miller
22023,1641757,0022300944,"Mar 12, 2024",LAC vs. MIN,L,4,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,2,1,2023-24,Regular Season,1641757,Jordan Miller
22023,1641757,0022300982,"Mar 17, 2024",LAC vs. ATL,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2023-24,Regular Season,1641757,Jordan Miller
22024,1641757,0022400150,"Nov 02, 2024",LAC vs. OKC,L,4,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,0,1,3,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400179,"Nov 06, 2024",LAC vs. PHI,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-7,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400222,"Nov 13, 2024",LAC @ HOU,L,12,3,8,0.375,1,3,0.333,1,1,1.0,2,1,3,1,0,0,1,1,8,2,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400016,"Nov 15, 2024",LAC @ HOU,L,10,1,3,0.333,0,1,0.0,9,10,0.9,1,1,2,1,0,0,0,0,11,-1,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400259,"Nov 20, 2024",LAC vs. ORL,W,16,3,7,0.429,0,0,0.0,2,2,1.0,1,2,3,1,2,0,0,2,8,3,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400034,"Nov 22, 2024",LAC vs. SAC,W,13,2,4,0.5,1,2,0.5,0,0,0.0,1,0,1,1,1,0,1,1,5,3,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400274,"Nov 24, 2024",LAC @ PHI,W,23,3,6,0.5,1,2,0.5,0,0,0.0,1,3,4,3,1,1,2,4,7,-8,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400281,"Nov 25, 2024",LAC @ BOS,L,20,4,10,0.4,0,1,0.0,2,2,1.0,1,0,1,0,1,0,2,1,10,-19,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400291,"Nov 27, 2024",LAC @ WAS,W,20,7,10,0.7,1,3,0.333,0,2,0.0,1,1,2,2,0,0,3,1,15,3,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400044,"Nov 29, 2024",LAC @ MIN,L,11,1,5,0.2,0,1,0.0,1,2,0.5,0,3,3,1,0,0,0,1,3,2,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400314,"Dec 01, 2024",LAC vs. DEN,W,15,4,6,0.667,0,2,0.0,0,0,0.0,1,1,2,2,0,0,1,0,8,-6,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400060,"Dec 03, 2024",LAC vs. POR,W,24,6,9,0.667,1,1,1.0,1,1,1.0,2,2,4,3,0,1,1,1,14,2,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400324,"Dec 04, 2024",LAC vs. MIN,L,24,4,11,0.364,0,2,0.0,0,0,0.0,3,1,4,1,0,0,0,3,8,-7,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400356,"Dec 08, 2024",LAC vs. HOU,L,32,5,12,0.417,2,4,0.5,0,0,0.0,3,3,6,2,0,0,1,1,12,-2,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022401213,"Dec 13, 2024",LAC @ DEN,L,15,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,1,0,-11,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022401226,"Dec 16, 2024",LAC vs. UTA,W,20,1,6,0.167,0,4,0.0,0,0,0.0,0,0,0,0,0,1,0,1,2,10,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400368,"Dec 19, 2024",LAC @ DAL,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,6,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400385,"Dec 21, 2024",LAC @ DAL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400426,"Dec 27, 2024",LAC vs. GSW,W,4,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-5,1,2024-25,Regular Season,1641757,Jordan Miller
22024,1641757,0022400451,"Dec 31, 2024",LAC @ SAS,L,14,0,1,0.0,0,0,0.0,2,2,1.0,2,4,6,3,2,0,1,0,2,-7,1,2024-25,Regular Season,1641757,Jordan Miller
