SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22023,1641775,0022300571,"Jan 17, 2024",BOS vs. SAS,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0,-1,1,2023-24,Regular Season,1641775,Jordan Walsh
22023,1641775,0022300630,"Jan 25, 2024",BOS @ MIA,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,2,1,2023-24,Regular Season,1641775,Jordan Walsh
22023,1641775,0022300706,"Feb 04, 2024",BOS vs. MEM,W,9,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,2,2,16,1,2023-24,Regular Season,1641775,Jordan Walsh
22023,1641775,0022300780,"Feb 14, 2024",BOS vs. BKN,W,18,0,3,0.0,0,2,0.0,0,0,0.0,1,4,5,0,1,1,2,3,0,8,1,2023-24,Regular Season,1641775,Jordan Walsh
22023,1641775,0022300984,"Mar 18, 2024",BOS vs. DET,W,4,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,0,2,3,1,2023-24,Regular Season,1641775,Jordan Walsh
22023,1641775,0022301011,"Mar 22, 2024",BOS @ DET,W,3,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,6,1,2023-24,Regular Season,1641775,Jordan Walsh
22023,1641775,0022301118,"Apr 05, 2024",BOS vs. SAC,W,6,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-5,1,2023-24,Regular Season,1641775,Jordan Walsh
22023,1641775,0022301173,"Apr 12, 2024",BOS vs. CHA,W,20,3,4,0.75,2,3,0.667,0,0,0.0,1,2,3,0,1,0,0,3,8,8,1,2023-24,Regular Season,1641775,Jordan Walsh
22023,1641775,0022301186,"Apr 14, 2024",BOS vs. WAS,W,17,0,2,0.0,0,1,0.0,1,2,0.5,0,3,3,1,2,0,1,1,1,10,1,2023-24,Regular Season,1641775,Jordan Walsh
42023,1641775,0042300202,"May 09, 2024",BOS vs. CLE,L,5,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,1,1,2023-24,Playoffs,1641775,Jordan Walsh
42023,1641775,0042300203,"May 11, 2024",BOS @ CLE,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2023-24,Playoffs,1641775,Jordan Walsh
42023,1641775,0042300404,"Jun 14, 2024",BOS @ DAL,L,5,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,7,1,2023-24,Playoffs,1641775,Jordan Walsh
22024,1641775,0022400061,"Oct 22, 2024",BOS vs. NYK,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-9,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400073,"Oct 24, 2024",BOS @ WAS,W,10,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,-10,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400104,"Oct 28, 2024",BOS vs. MIL,W,13,1,3,0.333,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,1,2,10,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400119,"Oct 30, 2024",BOS @ IND,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,6,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400132,"Nov 01, 2024",BOS @ CHA,W,6,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,0,6,6,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400141,"Nov 02, 2024",BOS @ CHA,W,13,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400157,"Nov 04, 2024",BOS @ ATL,W,19,1,3,0.333,0,2,0.0,0,1,0.0,1,3,4,0,2,1,2,1,2,3,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400172,"Nov 06, 2024",BOS vs. GSW,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,6,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400187,"Nov 08, 2024",BOS vs. BKN,W,11,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,2,0,-7,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400001,"Nov 12, 2024",BOS vs. ATL,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400218,"Nov 13, 2024",BOS @ BKN,W,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,1,3,-2,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400230,"Nov 16, 2024",BOS vs. TOR,W,8,1,2,0.5,1,2,0.5,0,0,0.0,1,1,2,1,0,0,0,2,3,2,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400028,"Nov 22, 2024",BOS @ WAS,W,5,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,5,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400281,"Nov 25, 2024",BOS vs. LAC,W,7,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,0,2,0,1,5,8,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400316,"Dec 02, 2024",BOS vs. MIA,W,13,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,1,0,10,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400319,"Dec 04, 2024",BOS vs. DET,W,7,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,1,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022401205,"Dec 12, 2024",BOS vs. DET,W,13,1,3,0.333,0,2,0.0,0,0,0.0,1,2,3,1,1,0,0,0,2,-5,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022401217,"Dec 15, 2024",BOS @ WAS,W,2,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-7,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400363,"Dec 19, 2024",BOS vs. CHI,L,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400381,"Dec 21, 2024",BOS @ CHI,W,3,1,2,0.5,0,1,0.0,1,1,1.0,1,0,1,0,0,0,0,0,3,0,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400407,"Dec 25, 2024",BOS vs. PHI,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400420,"Dec 27, 2024",BOS vs. IND,W,21,2,3,0.667,2,3,0.667,3,4,0.75,2,3,5,2,0,1,1,2,9,16,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400437,"Dec 29, 2024",BOS vs. IND,L,19,0,2,0.0,0,1,0.0,0,2,0.0,1,2,3,0,1,1,0,2,0,4,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400449,"Dec 31, 2024",BOS vs. TOR,W,12,4,6,0.667,1,1,1.0,1,2,0.5,0,1,1,2,0,0,0,1,10,17,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400464,"Jan 02, 2025",BOS @ MIN,W,7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-2,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400471,"Jan 03, 2025",BOS @ HOU,W,9,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,0,0,-2,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400562,"Jan 15, 2025",BOS @ TOR,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400577,"Jan 17, 2025",BOS vs. ORL,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400604,"Jan 20, 2025",BOS @ GSW,W,8,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,0,1,0,0,0,6,1,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400620,"Jan 22, 2025",BOS @ LAC,W,9,1,1,1.0,1,1,1.0,0,0,0.0,1,0,1,1,0,0,0,0,3,-5,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400629,"Jan 23, 2025",BOS @ LAL,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400635,"Jan 25, 2025",BOS @ DAL,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,2024-25,Regular Season,1641775,Jordan Walsh
22024,1641775,0022400650,"Jan 27, 2025",BOS vs. HOU,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2024-25,Regular Season,1641775,Jordan Walsh
