SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22020,1630182,0022000970,"May 02, 2021",DAL vs. SAC,L,8,0,3,0.0,0,2,0.0,0,0,0.0,1,0,1,0,2,0,0,0,0,7,1,2020-21,Regular Season,1630182,Josh Green
22020,1630182,0022000986,"May 04, 2021",DAL @ MIA,W,24,1,2,0.5,0,1,0.0,2,2,1.0,2,2,4,3,3,0,1,1,4,17,1,2020-21,Regular Season,1630182,Josh Green
22020,1630182,0022000998,"May 06, 2021",DAL vs. BKN,W,8,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,0,2,0,0,0,4,-4,1,2020-21,Regular Season,1630182,Josh Green
22020,1630182,0022001007,"May 07, 2021",DAL vs. CLE,W,26,2,3,0.667,1,2,0.5,1,3,0.333,1,4,5,1,0,0,0,4,6,12,1,2020-21,Regular Season,1630182,Josh Green
22020,1630182,0022001021,"May 09, 2021",DAL @ CLE,W,20,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,4,0,0,0,3,2,6,1,2020-21,Regular Season,1630182,Josh Green
22020,1630182,0022001037,"May 11, 2021",DAL @ MEM,L,12,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,1,0,0,0,1,2,-15,1,2020-21,Regular Season,1630182,Josh Green
22020,1630182,0022000154,"May 12, 2021",DAL vs. NOP,W,6,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,2,3,-5,1,2020-21,Regular Season,1630182,Josh Green
22020,1630182,0022001071,"May 16, 2021",DAL @ MIN,L,17,4,8,0.5,0,2,0.0,0,1,0.0,1,1,2,1,1,0,0,1,8,2,1,2020-21,Regular Season,1630182,Josh Green
42020,1630182,0042000174,"May 30, 2021",DAL vs. LAC,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,2020-21,Playoffs,1630182,Josh Green
42021,1630182,0042100221,"May 02, 2022",DAL @ PHX,L,10,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,11,1,2021-22,Playoffs,1630182,Josh Green
42021,1630182,0042100222,"May 04, 2022",DAL @ PHX,L,12,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,4,1,2021-22,Playoffs,1630182,Josh Green
42021,1630182,0042100224,"May 08, 2022",DAL vs. PHX,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,2021-22,Playoffs,1630182,Josh Green
42021,1630182,0042100225,"May 10, 2022",DAL @ PHX,L,5,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,0,0,-11,1,2021-22,Playoffs,1630182,Josh Green
