SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22018,1629006,0021800032,"Oct 20, 2018",MIN @ DAL,L,29,2,5,0.4,1,3,0.333,1,2,0.5,1,4,5,2,1,0,3,5,6,3,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800043,"Oct 22, 2018",MIN vs. IND,W,24,5,13,0.385,1,6,0.167,1,1,1.0,1,3,4,0,3,0,2,1,12,8,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800055,"Oct 24, 2018",MIN @ TOR,L,27,4,14,0.286,2,4,0.5,0,0,0.0,5,6,11,1,0,1,2,2,10,-7,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800071,"Oct 26, 2018",MIN vs. MIL,L,29,2,10,0.2,0,5,0.0,0,0,0.0,2,2,4,1,1,0,0,0,4,-27,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800093,"Oct 29, 2018",MIN vs. LAL,W,30,6,13,0.462,1,5,0.2,4,4,1.0,0,4,4,3,3,1,0,2,17,1,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800107,"Oct 31, 2018",MIN vs. UTA,W,37,4,5,0.8,0,1,0.0,2,3,0.667,1,3,4,1,2,2,2,5,10,12,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800124,"Nov 02, 2018",MIN @ GSW,L,25,4,10,0.4,1,2,0.5,6,7,0.857,0,5,5,1,1,0,2,0,15,-4,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800138,"Nov 04, 2018",MIN @ POR,L,30,2,8,0.25,1,3,0.333,1,2,0.5,1,2,3,1,0,0,0,3,6,-19,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800148,"Nov 05, 2018",MIN @ LAC,L,20,3,6,0.5,1,3,0.333,0,0,0.0,0,1,1,2,0,0,1,4,7,-1,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800162,"Nov 07, 2018",MIN @ LAL,L,12,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,-12,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800173,"Nov 09, 2018",MIN @ SAC,L,27,2,7,0.286,0,2,0.0,2,2,1.0,0,2,2,1,0,0,2,3,6,-5,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800195,"Nov 12, 2018",MIN vs. BKN,W,20,3,7,0.429,1,4,0.25,1,2,0.5,0,4,4,1,0,1,1,1,8,4,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800208,"Nov 14, 2018",MIN vs. NOP,W,17,4,9,0.444,3,5,0.6,0,0,0.0,1,4,5,1,3,0,1,3,11,15,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800221,"Nov 16, 2018",MIN vs. POR,W,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800281,"Nov 24, 2018",MIN vs. CHI,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800311,"Nov 28, 2018",MIN vs. SAS,W,10,4,7,0.571,3,4,0.75,1,2,0.5,0,2,2,2,1,0,0,3,12,2,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800362,"Dec 05, 2018",MIN vs. CHA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800385,"Dec 08, 2018",MIN @ POR,L,26,3,5,0.6,1,1,1.0,1,2,0.5,0,2,2,1,1,1,1,3,8,7,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800400,"Dec 10, 2018",MIN @ GSW,L,3,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-2,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800414,"Dec 12, 2018",MIN @ SAC,L,6,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-2,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800435,"Dec 15, 2018",MIN @ PHX,L,4,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,0,1,0,0,2,-3,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800446,"Dec 17, 2018",MIN vs. SAC,W,28,4,9,0.444,1,3,0.333,1,2,0.5,0,3,3,3,2,1,1,4,10,33,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800463,"Dec 19, 2018",MIN vs. DET,L,31,1,4,0.25,0,2,0.0,5,6,0.833,2,4,6,0,0,0,0,1,7,9,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800475,"Dec 21, 2018",MIN @ SAS,L,26,2,6,0.333,0,1,0.0,4,5,0.8,2,1,3,1,1,1,1,2,8,-19,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800493,"Dec 23, 2018",MIN @ OKC,W,25,3,10,0.3,1,4,0.25,2,5,0.4,0,2,2,2,3,1,1,2,9,0,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800507,"Dec 26, 2018",MIN @ CHI,W,14,1,4,0.25,0,3,0.0,0,0,0.0,1,4,5,0,0,0,1,1,2,12,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800522,"Dec 28, 2018",MIN vs. ATL,L,9,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,1,0,0,2,1,-13,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800537,"Dec 30, 2018",MIN @ MIA,W,24,1,7,0.143,0,3,0.0,5,8,0.625,1,5,6,3,0,1,0,5,7,2,1,2018-19,Regular Season,1629006,Josh Okogie
22018,1629006,0021800546,"Dec 31, 2018",MIN @ NOP,L,19,2,5,0.4,0,1,0.0,2,2,1.0,1,1,2,1,2,0,1,2,6,-22,1,2018-19,Regular Season,1629006,Josh Okogie
