SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22015,201950,0021500015,"Oct 28, 2015",NOP @ POR,L,21,5,14,0.357,1,4,0.25,1,1,1.0,0,1,1,3,0,0,2,2,12,-13,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500035,"Oct 31, 2015",NOP vs. GSW,L,27,8,19,0.421,1,4,0.25,5,5,1.0,0,2,2,6,0,0,4,4,22,-11,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500056,"Nov 03, 2015",NOP vs. ORL,L,23,4,13,0.308,2,3,0.667,4,6,0.667,0,2,2,4,2,1,3,0,14,8,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500081,"Nov 06, 2015",NOP vs. ATL,L,23,1,2,0.5,1,2,0.5,1,2,0.5,0,1,1,8,1,0,7,0,4,0,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500112,"Nov 10, 2015",NOP vs. DAL,W,15,4,5,0.8,2,2,1.0,0,0,0.0,0,1,1,3,2,0,1,2,10,10,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500131,"Nov 13, 2015",NOP @ TOR,L,21,8,14,0.571,2,4,0.5,1,2,0.5,0,0,0,3,2,0,2,1,19,-14,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500145,"Nov 15, 2015",NOP @ NYK,L,25,2,8,0.25,0,1,0.0,3,4,0.75,0,3,3,4,1,0,3,3,7,-9,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500163,"Nov 17, 2015",NOP vs. DEN,L,23,4,13,0.308,0,4,0.0,2,2,1.0,0,1,1,7,0,1,1,1,10,-20,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500182,"Nov 20, 2015",NOP vs. SAS,W,24,3,10,0.3,0,2,0.0,3,3,1.0,0,3,3,7,0,1,1,4,9,6,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500198,"Nov 22, 2015",NOP vs. PHX,W,23,3,6,0.5,0,0,0.0,2,4,0.5,0,0,0,4,0,0,1,6,8,-7,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500225,"Nov 25, 2015",NOP @ PHX,W,25,6,15,0.4,1,4,0.25,6,6,1.0,0,2,2,5,0,1,2,4,19,8,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500238,"Nov 27, 2015",NOP @ LAC,L,13,3,6,0.5,0,2,0.0,1,2,0.5,0,2,2,3,0,0,2,4,7,-4,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500243,"Nov 28, 2015",NOP @ UTA,L,14,0,4,0.0,0,1,0.0,2,2,1.0,0,2,2,2,0,0,4,1,2,-6,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500266,"Dec 01, 2015",NOP vs. MEM,L,26,4,7,0.571,2,4,0.5,2,2,1.0,0,1,1,4,1,0,2,1,12,6,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500288,"Dec 04, 2015",NOP vs. CLE,W,25,5,10,0.5,1,2,0.5,2,3,0.667,2,5,7,5,2,0,2,3,13,11,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500312,"Dec 07, 2015",NOP vs. BOS,L,22,4,9,0.444,1,2,0.5,5,5,1.0,0,2,2,6,1,1,1,1,14,-4,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500339,"Dec 11, 2015",NOP vs. WAS,W,27,6,10,0.6,5,7,0.714,2,2,1.0,0,0,0,6,3,0,4,3,19,3,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500366,"Dec 14, 2015",NOP @ POR,L,29,7,14,0.5,3,6,0.5,2,2,1.0,0,5,5,2,2,1,2,3,19,17,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500380,"Dec 16, 2015",NOP @ UTA,W,24,6,10,0.6,2,3,0.667,1,1,1.0,2,1,3,4,2,1,0,2,15,11,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500396,"Dec 18, 2015",NOP @ PHX,L,27,4,13,0.308,1,6,0.167,5,8,0.625,0,2,2,4,0,0,2,2,14,-18,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500409,"Dec 20, 2015",NOP @ DEN,W,25,7,13,0.538,2,5,0.4,5,8,0.625,0,3,3,5,2,1,1,3,21,-11,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500432,"Dec 23, 2015",NOP vs. POR,W,21,7,13,0.538,3,5,0.6,2,2,1.0,0,2,2,5,0,0,0,1,19,7,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500436,"Dec 25, 2015",NOP @ MIA,L,27,4,9,0.444,1,3,0.333,0,0,0.0,0,3,3,2,0,0,2,2,9,-2,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500445,"Dec 26, 2015",NOP vs. HOU,W,27,3,7,0.429,1,2,0.5,2,3,0.667,0,2,2,3,1,1,2,3,9,6,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500460,"Dec 28, 2015",NOP @ ORL,L,26,4,10,0.4,1,2,0.5,2,2,1.0,0,2,2,4,1,1,1,0,11,5,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500487,"Dec 31, 2015",NOP vs. LAC,L,28,4,8,0.5,1,2,0.5,2,2,1.0,1,1,2,6,1,0,5,5,11,-1,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500501,"Jan 02, 2016",NOP @ DAL,W,30,8,14,0.571,2,6,0.333,2,4,0.5,0,3,3,5,2,1,3,1,20,1,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500531,"Jan 06, 2016",NOP vs. DAL,L,29,5,13,0.385,1,3,0.333,0,0,0.0,1,5,6,6,1,0,2,5,11,-16,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500544,"Jan 08, 2016",NOP vs. IND,L,35,5,12,0.417,1,2,0.5,4,6,0.667,0,0,0,4,4,2,3,2,15,-4,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500558,"Jan 10, 2016",NOP @ LAC,L,36,11,27,0.407,1,4,0.25,6,8,0.75,3,8,11,4,3,0,3,3,29,-4,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500576,"Jan 12, 2016",NOP @ LAL,L,26,7,18,0.389,0,4,0.0,0,0,0.0,0,5,5,4,0,0,0,1,14,-5,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500585,"Jan 13, 2016",NOP @ SAC,W,27,2,12,0.167,0,4,0.0,2,2,1.0,0,3,3,10,1,0,1,4,6,8,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500598,"Jan 15, 2016",NOP vs. CHA,W,27,6,14,0.429,1,3,0.333,0,0,0.0,1,5,6,10,0,0,2,2,13,6,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500618,"Jan 18, 2016",NOP @ MEM,L,29,9,13,0.692,1,2,0.5,4,4,1.0,0,2,2,9,0,0,3,2,23,4,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500626,"Jan 19, 2016",NOP vs. MIN,W,27,7,14,0.5,2,3,0.667,3,4,0.75,1,1,2,9,1,0,1,0,19,17,1,2015-16,Regular Season,201950,Jrue Holiday
22015,201950,0021500641,"Jan 21, 2016",NOP vs. DET,W,22,3,11,0.273,0,1,0.0,0,0,0.0,0,2,2,4,1,0,1,0,6,6,1,2015-16,Regular Season,201950,Jrue Holiday
